Löporder, Tid (mikrosekund) 
1, 24766987
2, 16431593
3, 20470055
4, 8661539
5, 7958153
6, 8010064
7, 7676866
8, 7892543
9, 6024104
10, 5564435
11, 5710885
12, 5649285
13, 5731470
14, 6988749
15, 6767874
16, 19487701
17, 4084662
18, 4266756
19, 4159782
20, 4436062
21, 4307846
22, 4290995
23, 4325476
24, 4386439
25, 4452856
26, 4229097
27, 4316808
28, 4108877
29, 4247806
30, 4148407
31, 4459670
32, 4359541
33, 4368003
34, 4231154
35, 4263134
36, 4346556
37, 4329235
38, 4314054
39, 4326189
40, 4388003
41, 4241370
42, 4733231
43, 4245930
44, 4411332
45, 4244361
46, 4438954
47, 4266945
48, 4366985
49, 4319682
50, 4623601
51, 4283203
52, 4311508
53, 6396575
54, 6741696
55, 6476323
56, 6463913
57, 7664413
58, 5923863
59, 6766487
60, 5498898
61, 17115256
62, 5529163
63, 5515717
64, 5353447
65, 5549298
66, 5816719
67, 5532612
68, 5650661
69, 5360222
70, 5470112
71, 5810985
72, 5674242
73, 5425949
74, 5601265
75, 5323368
76, 5618333
77, 5364520
78, 5470850
79, 5591851
80, 5660959
81, 5322970
82, 5381176
83, 5243681
84, 5526268
85, 5658356
86, 5474244
87, 5468628
88, 5325938
89, 5327822
90, 5198750
91, 5469480
92, 5500857
93, 5525538
94, 5505680
95, 5714632
96, 5359020
97, 5561614
98, 5539713
99, 6154157
100, 8685491
101, 6331402
102, 6167102
103, 6297933
104, 5402645
105, 4349246
106, 4426619
107, 6360016
108, 5454582
109, 4143995
110, 4355639
111, 4258881
112, 4806400
113, 4358170
114, 4441756
115, 4256277
116, 4254009
117, 4273184
118, 4187538
119, 4182785
120, 4337883
121, 4501089
122, 4240303
123, 4521077
124, 4326372
125, 4645467
126, 4197234
127, 4590303
128, 4220399
129, 4313429
130, 4300999
131, 4516978
132, 4491629
133, 4431965
134, 4447499
135, 9958439
136, 4235199
137, 4126573
138, 4309164
139, 4138721
140, 4297634
141, 4099100
142, 4465089
143, 4196999
144, 4249182
145, 4110175
146, 4220308
147, 4118383
148, 4167413
149, 4059337
150, 4047191
151, 4079135
152, 5020421
153, 5828378
154, 4269620
155, 4265594
156, 3947509
157, 4207971
158, 3974257
159, 4356290
160, 3896220
161, 4128751
162, 3994917
163, 4185062
164, 4049665
165, 4327310
166, 4490848
167, 4161638
168, 4179430
169, 4192790
170, 4270178
171, 4006702
172, 4339283
173, 4039225
174, 4254833
175, 4187388
176, 4225911
177, 4214996
178, 4137307
179, 4050797
180, 4183252
181, 4008009
182, 4232703
183, 4152318
184, 4233807
185, 4260447
186, 3992348
187, 4167104
188, 3951206
189, 4180201
190, 3931388
191, 4328526
192, 4052321
193, 4224255
194, 4072548
195, 6271275
196, 4538147
197, 4168678
198, 4178591
199, 4156192
200, 4402433
201, 4152959
202, 4131654
203, 3953454
204, 4393673
205, 4057158
206, 4121782
207, 3983790
208, 4307308
209, 9937877
210, 5866266
211, 4798330
212, 4217725
213, 4222205
214, 4380103
215, 4255711
216, 4162919
217, 4176215
218, 4299824
219, 4296376
220, 4166697
221, 4320175
222, 4032932
223, 4212915
224, 4257718
225, 4495561
226, 4111430
227, 4216392
228, 4002764
229, 4236598
230, 4296986
231, 4606380
232, 6239926
233, 5711582
234, 5304041
235, 5005549
236, 5055351
237, 4693859
238, 4926010
239, 4662527
240, 5282910
241, 4805358
242, 4794627
243, 4813927
244, 5334235
245, 4971531
246, 6734269
247, 5861815
248, 5054445
249, 5251148
250, 6249727
251, 5914406
252, 5015553
253, 4246411
254, 4237708
255, 4319165
256, 3994989
257, 4456788
258, 4069849
259, 4221944
260, 4184184
261, 4238512
262, 4279062
263, 4159854
264, 4155314
265, 4131147
266, 4308636
267, 4093003
268, 4362841
269, 4083391
270, 5416887
271, 5043999
272, 4282183
273, 4136031
274, 4171393
275, 4110100
276, 5674885
277, 4739795
278, 4202641
279, 4098226
280, 4122014
281, 4026727
282, 4299940
283, 9715859
284, 4178673
285, 4295607
286, 4107520
287, 4342231
288, 4285042
289, 4388173
290, 4169317
291, 4370873
292, 4213512
293, 4591917
294, 4170053
295, 4077426
296, 4185819
297, 4075446
298, 4213354
299, 4092521
300, 4307210
301, 4092435
302, 4244418
303, 4100668
304, 4218541
305, 4008003
306, 4220654
307, 4159682
308, 4317401
309, 4176075
310, 4238498
311, 5860576
312, 5122360
313, 4246617
314, 4248350
315, 4304820
316, 4093753
317, 4309781
318, 4078525
319, 6337956
320, 5216703
321, 5162773
322, 4911396
323, 4836232
324, 4206049
325, 4299524
326, 4319024
327, 4217549
328, 4147958
329, 4086440
330, 4372879
331, 4272849
332, 4377366
333, 4131765
334, 4421258
335, 4146232
336, 4426238
337, 5240525
338, 4361264
339, 3992709
340, 4083274
341, 4025953
342, 4263938
343, 4252208
344, 4164964
345, 4059371
346, 4084112
347, 4137914
348, 4079219
349, 4268832
350, 3992166
351, 6177892
352, 4843374
353, 4535595
354, 4036641
355, 4302396
356, 4141820
357, 9558949
358, 4155734
359, 4286096
360, 4082547
361, 4213677
362, 4443784
363, 4254423
364, 4635245
365, 4138890
366, 4362063
367, 4069848
368, 4318592
369, 4142129
370, 4139550
371, 4058647
372, 4279984
373, 4588616
374, 4394087
375, 4254916
376, 4180251
377, 4079260
378, 4119798
379, 4185178
380, 4048159
381, 4372781
382, 4268847
383, 4293213
384, 4061899
385, 4377377
386, 3972527
387, 4367287
388, 4119285
389, 4228620
390, 4176772
391, 5303001
392, 6343342
393, 4336970
394, 4362372
395, 4305749
396, 4339900
397, 4177436
398, 4308716
399, 4072474
400, 4264945
401, 4298439
402, 4226709
403, 4125750
404, 4231978
405, 4097602
406, 4091516
407, 4159216
408, 4082996
409, 4109812
410, 4268916
411, 4209343
412, 4015766
413, 4208504
414, 4046450
415, 4247330
416, 3896170
417, 4230378
418, 3948188
419, 4126047
420, 4087658
421, 4078966
422, 4173113
423, 4157973
424, 4021173
425, 4149254
426, 4217288
427, 3985197
428, 4210390
429, 4016730
430, 4321179
431, 11264632
432, 4466367
433, 4185096
434, 4200809
435, 4143144
436, 4215628
437, 4201329
438, 4236646
439, 4366889
440, 4331525
441, 4073097
442, 4169263
443, 4213284
444, 4103423
445, 4289687
446, 4000811
447, 4291274
448, 4047535
449, 4422497
450, 4078430
451, 4259036
452, 4289644
453, 4194295
454, 4162311
455, 4223164
456, 4088941
457, 4163203
458, 4318509
459, 4035920
460, 4277202
461, 3995379
462, 4321400
463, 3990256
464, 4219417
465, 4147728
466, 4098172
467, 3961947
468, 4228799
469, 4084424
470, 6559278
471, 4380298
472, 4187770
473, 4195006
474, 4247721
475, 4317116
476, 4115292
477, 4212110
478, 4001891
479, 4266409
480, 4202376
481, 4440588
482, 4019631
483, 4277238
484, 4063276
485, 4129070
486, 4149201
487, 4213180
488, 4228267
489, 4076428
490, 4252412
491, 4137975
492, 4279019
493, 4162399
494, 4236092
495, 4087456
496, 4201055
497, 4121918
498, 4259247
499, 4067722
500, 4131732
501, 4171110
502, 4172403
503, 4212579
504, 4271181
505, 9429082
506, 4296582
507, 4049096
508, 4428646
509, 6672038
510, 7167070
511, 5546403
512, 5628461
513, 5028849
514, 4941582
515, 4920789
516, 4840928
517, 5023821
518, 4837724
519, 5119496
520, 6228155
521, 5153216
522, 4722510
523, 4962866
524, 4919019
525, 4709001
526, 5157337
527, 5214411
528, 5747514
529, 5732408
530, 4241299
531, 4125182
532, 4309240
533, 4087892
534, 4293394
535, 3989519
536, 4245226
537, 4158852
538, 4253690
539, 4105583
540, 4111298
541, 4163415
542, 4224677
543, 4687799
544, 5243913
545, 4534989
546, 5284066
547, 7135400
548, 4215072
549, 4205857
550, 4037909
551, 4215253
552, 4006087
553, 4384796
554, 4027455
555, 4170749
556, 4130076
557, 4197792
558, 4385974
559, 4082713
560, 4069910
561, 4285386
562, 4271324
563, 4070538
564, 4208067
565, 4038088
566, 4257741
567, 3990860
568, 4280861
569, 4136340
570, 4209117
571, 4035514
572, 4185164
573, 4087578
574, 4283603
575, 4098232
576, 4162495
577, 4274127
578, 4412944
579, 9937623
580, 4280589
581, 4347619
582, 4082476
583, 4212669
584, 4007626
585, 4314034
586, 4635909
587, 6020569
588, 4291352
589, 4182378
590, 4116935
591, 4174880
592, 4062851
593, 4119920
594, 4193304
595, 4163417
596, 4282528
597, 4139464
598, 4507456
599, 4054428
600, 4211656
