Löporder, Tid (mikrosekund) 
1, 26877312
2, 25310419
3, 38122401
4, 25358938
5, 15252118
6, 10610460
7, 11118362
8, 10599499
9, 10449853
10, 10754496
11, 13579002
12, 13398303
13, 10949877
14, 10091824
15, 10049065
16, 59534858
17, 10478619
18, 10365744
19, 10062091
20, 10198671
21, 10209478
22, 9938028
23, 9991402
24, 34666708
25, 10751147
26, 10185796
27, 10495130
28, 10310380
29, 10248040
30, 9971330
31, 10164324
32, 10014296
33, 9973888
34, 10278160
35, 10188958
36, 10444561
37, 12644548
38, 57940343
39, 12169943
40, 12454571
41, 11752480
42, 11677661
43, 11545419
44, 12145789
45, 11965993
46, 16243637
47, 13666802
48, 12149306
49, 11639453
50, 12227250
51, 14146294
52, 19095417
53, 11964486
54, 13129829
55, 12538509
56, 16153825
57, 12572657
58, 12450619
59, 12310374
60, 11993918
61, 11836943
62, 12081182
63, 11790797
64, 76869710
65, 10326303
66, 10567550
67, 10113183
68, 10045344
69, 10142976
70, 9815329
71, 9827316
72, 9972905
73, 9788510
74, 9780650
75, 10223631
76, 10010825
77, 9997288
78, 9661500
79, 10767098
80, 10443615
81, 10199100
82, 10286765
83, 11736262
84, 13828713
85, 10811726
86, 11479774
87, 10078354
88, 10485754
89, 11312068
90, 77440750
91, 10741430
92, 27521622
93, 13324397
94, 13726202
95, 12514083
96, 13615958
97, 12442088
98, 14471533
99, 12842499
100, 13756959
101, 11798038
102, 13190451
103, 10391316
104, 11223337
105, 10606310
106, 11196359
107, 11299813
108, 10710495
109, 10227374
110, 10265124
111, 9915417
112, 10004196
113, 10494856
114, 9836421
115, 9810913
116, 10169898
117, 10214093
118, 10646599
119, 10103232
120, 13795734
121, 12581629
122, 10730572
123, 10997207
124, 11238491
125, 10255394
126, 115515811
127, 13155772
128, 11020298
129, 10431390
130, 10100690
131, 10106869
132, 9939443
133, 9527149
134, 10037704
135, 9564702
136, 10179302
137, 10052348
138, 11084694
139, 52338531
140, 12375748
141, 12077703
142, 11485851
143, 10121763
144, 10426912
145, 10176700
146, 10243947
147, 9962520
148, 10342100
149, 10662123
150, 10027462
151, 9825637
152, 12811748
153, 16075615
154, 12590481
155, 12342565
156, 11896632
157, 11805529
158, 11588377
159, 11872337
160, 11478651
161, 12394498
162, 11683436
163, 12134163
164, 11715404
165, 12100363
166, 12121404
167, 12088967
168, 12415628
169, 12542650
170, 12231897
171, 12541772
172, 12883136
173, 12505011
174, 12496298
175, 12508734
176, 112038316
177, 10164439
178, 10920663
179, 10082576
180, 10372337
181, 10549263
182, 10570331
183, 10664580
184, 10519961
185, 11244442
186, 11434264
187, 14835844
188, 11264057
189, 10818921
190, 10232495
191, 10586494
192, 10656733
193, 10338955
194, 10351248
195, 9905149
196, 10638344
197, 10435068
198, 11162000
199, 10690702
200, 12913770
201, 14871224
202, 101014173
203, 13274950
204, 13496216
205, 13596108
206, 14083302
207, 14006760
208, 14190767
209, 12770464
210, 13716085
211, 12835714
212, 14973621
213, 12153287
214, 12726795
215, 12308604
216, 12346976
217, 12977571
218, 12847110
219, 12725295
220, 17309716
221, 12829660
222, 13149137
223, 10640920
224, 11105415
225, 10766387
226, 10519782
227, 10565065
228, 10225366
229, 9923742
230, 9962087
231, 10123209
232, 10056181
233, 10113913
234, 9972071
235, 10778474
236, 10293938
237, 9641152
238, 9587509
239, 9835291
240, 9744281
241, 9989778
242, 10274906
243, 108746984
244, 13051105
245, 13442465
246, 12116349
247, 13334757
248, 13246216
249, 14335396
250, 13596150
251, 12989613
252, 13972808
253, 14100969
254, 13310032
255, 14644168
256, 11870393
257, 10546022
258, 10510922
259, 10069348
260, 10268800
261, 10659589
262, 10237467
263, 78380843
264, 11932431
265, 12293686
266, 11840241
267, 16260676
268, 18120452
269, 14204001
270, 12995660
271, 12153486
272, 11765313
273, 11794739
274, 12004703
275, 11674284
276, 11937698
277, 12016950
278, 12342755
279, 11902783
280, 11963966
281, 11921132
282, 11990331
283, 11798613
284, 11704648
285, 11756818
286, 11935573
287, 12236108
288, 12166254
289, 12041612
290, 15846330
291, 14738913
292, 12183091
293, 12261551
294, 12011970
295, 11550437
296, 12313046
297, 12105262
298, 12117606
299, 11743492
300, 12022692
301, 12725683
302, 11762885
303, 11775677
304, 12282755
305, 12123051
306, 12131432
307, 12038267
308, 11881297
309, 12916551
310, 12646651
311, 12753448
312, 12400298
313, 12562463
314, 12284197
315, 12275545
316, 12208527
317, 15149489
318, 15463394
319, 14395584
320, 14916650
321, 14411322
322, 14344938
323, 14546027
324, 200884483
325, 13808127
326, 14347442
327, 13546796
328, 13776541
329, 12922205
330, 13357960
331, 13579053
332, 11536425
333, 11626851
334, 11705868
335, 14847756
336, 19616143
337, 17332595
338, 14618633
339, 14062083
340, 12896951
341, 13761574
342, 14039551
343, 12997840
344, 12626858
345, 10538274
346, 11682409
347, 10543232
348, 11081153
349, 10320949
350, 10327358
351, 10171121
352, 10486740
353, 13509490
354, 12721410
355, 9975580
356, 10398176
357, 10029199
358, 10111872
359, 10023652
360, 10065161
361, 9919582
362, 110003069
363, 9964074
364, 10971556
365, 10006772
366, 10829566
367, 9928640
368, 9756602
369, 9979972
370, 10371750
371, 10048333
372, 10157362
373, 10036105
374, 10135837
375, 10511278
376, 65102729
377, 12822748
378, 12018341
379, 12727881
380, 12034755
381, 12594423
382, 13526916
383, 11885710
384, 12311736
385, 16212271
386, 11125911
387, 10273032
388, 10153902
389, 10401080
390, 10409580
391, 10262452
392, 10471660
393, 10466684
394, 10421536
395, 10099589
396, 10077591
397, 10433805
398, 11005562
399, 11485230
400, 10004964
401, 10226897
402, 10096199
403, 9892283
404, 10418975
405, 10592346
406, 108195271
407, 15210016
408, 11646263
409, 10831653
410, 10029220
411, 10188957
412, 9881048
413, 9993618
414, 9977699
415, 10065738
416, 51433610
417, 13090181
418, 15845618
419, 14718622
420, 12520503
421, 13462395
422, 26724891
423, 11925561
424, 11201356
425, 9918429
426, 9702411
427, 10046666
428, 9962366
429, 11052648
430, 10176419
431, 10310270
432, 10092180
433, 48355206
434, 10892613
435, 10150457
436, 11620197
437, 10084155
438, 10138427
439, 34577242
440, 13358269
441, 12660970
442, 13413337
443, 12881695
444, 13584375
445, 11392909
446, 11293269
447, 10164632
448, 10777978
449, 10501009
450, 10245762
451, 10423913
452, 10361263
453, 10377399
454, 10697543
455, 12203606
456, 14291280
457, 10435202
458, 10173935
459, 11199192
460, 10036511
461, 10389263
462, 10488266
463, 74874140
464, 10620008
465, 9918057
466, 10415026
467, 10219478
468, 9741641
469, 9955126
470, 9885887
471, 44200228
472, 13006015
473, 12013387
474, 13472055
475, 12247780
476, 25327739
477, 13661053
478, 13485667
479, 13570879
480, 13288635
481, 12013946
482, 11529863
483, 11682079
484, 12038299
485, 17667338
486, 18227641
487, 14617612
488, 16647054
489, 12693447
490, 15261697
491, 17002783
492, 15989238
493, 12752871
494, 12231758
495, 13606951
496, 12201783
497, 10201269
498, 10303029
499, 9919798
500, 10243894
501, 10594641
502, 10280526
503, 10138923
504, 9693382
505, 9797781
506, 112097041
507, 14746775
508, 14268453
509, 15420796
510, 11456487
511, 12534780
512, 12740134
513, 11795601
514, 10433532
515, 10445471
516, 9984173
517, 58004533
518, 15406646
519, 12214947
520, 13014526
521, 12395919
522, 13859469
523, 25924895
524, 11513367
525, 12535062
526, 10177445
527, 10179338
528, 9925981
529, 10723455
530, 15177355
531, 14014129
532, 10280861
533, 10168901
534, 40590837
535, 10287039
536, 10284108
537, 10399097
538, 10060024
539, 9980934
540, 10064609
541, 39318119
542, 13074449
543, 14802132
544, 14909958
545, 14683740
546, 12917577
547, 11275350
548, 12820729
549, 11697000
550, 13328745
551, 14563411
552, 13803871
553, 13382774
554, 10138378
555, 12610476
556, 14571418
557, 17549058
558, 14972666
559, 10514462
560, 10584487
561, 10308972
562, 10139321
563, 9968376
564, 10230686
565, 10689258
566, 77235348
567, 10101798
568, 10057850
569, 10442821
570, 10249229
571, 10166585
572, 10019085
573, 12561483
574, 53695498
575, 20003415
576, 17342160
577, 19402970
578, 18244181
579, 32837804
580, 15947732
581, 18625075
582, 18684797
583, 15512432
584, 11211476
585, 11150518
586, 10152580
587, 10280753
588, 9652508
589, 10206209
590, 39097233
591, 10373099
592, 9705216
593, 10402012
594, 12239535
595, 11465104
596, 11503738
597, 9937146
598, 9969580
599, 10110794
600, 9858448
