Löporder, Tid (mikrosekund) 
1, 26478045
2, 18812752
3, 18599863
4, 18695789
5, 19399409
6, 6980975
7, 6426255
8, 6138508
9, 6540515
10, 7316242
11, 6331859
12, 6084126
13, 6267333
14, 7025303
15, 6599083
16, 6513930
17, 5952815
18, 5982670
19, 6292334
20, 6011085
21, 6304058
22, 6195146
23, 6200214
24, 5947634
25, 5822100
26, 6089605
27, 6124134
28, 6165701
29, 6339757
30, 6231661
31, 15131970
32, 6349284
33, 6257515
34, 6708686
35, 6371406
36, 6576997
37, 6373913
38, 6401553
39, 6304577
40, 6696837
41, 6616796
42, 6848819
43, 6772305
44, 6513105
45, 6427137
46, 6205624
47, 7012127
48, 7799747
49, 9055327
50, 8991213
51, 6631232
52, 6984813
53, 6451803
54, 6537744
55, 6454001
56, 6585615
57, 6462985
58, 6743405
59, 6354212
60, 7253665
61, 6489923
62, 6302058
63, 6299888
64, 6587296
65, 6706864
66, 6668053
67, 6427927
68, 6534252
69, 6182690
70, 7852620
71, 8861899
72, 10174451
73, 7775020
74, 8077007
75, 9371065
76, 8275257
77, 6527212
78, 6792406
79, 6622049
80, 7116138
81, 6451915
82, 6912087
83, 6726120
84, 6589858
85, 6736280
86, 6520611
87, 6373463
88, 6642775
89, 6395322
90, 6328147
91, 6284143
92, 6621675
93, 7645545
94, 6573640
95, 6498006
96, 7539970
97, 6527760
98, 6775623
99, 6378340
100, 6440044
101, 6406280
102, 16421558
103, 6726169
104, 6738712
105, 6610303
106, 6701999
107, 6720492
108, 6521256
109, 6851834
110, 6471638
111, 6473064
112, 6549216
113, 6413091
114, 6871486
115, 6773699
116, 6712711
117, 6969445
118, 6497132
119, 7268560
120, 9544129
121, 8918887
122, 6805879
123, 7042165
124, 6546573
125, 6901128
126, 6491197
127, 6361611
128, 6478539
129, 6506387
130, 6578819
131, 6921717
132, 7080594
133, 6590351
134, 6354922
135, 6397685
136, 6719570
137, 6907815
138, 7103779
139, 8083454
140, 7136427
141, 6676219
142, 6301287
143, 7269599
144, 6884629
145, 6624021
146, 7287537
147, 6868391
148, 6618102
149, 6601765
150, 6605549
151, 6499582
152, 6473654
153, 6533211
154, 6745021
155, 6687339
156, 6828872
157, 6590202
158, 6481221
159, 6427271
160, 6427956
161, 6808767
162, 6899212
163, 6639839
164, 6993429
165, 6602419
166, 6623385
167, 6639413
168, 7001118
169, 6487316
170, 6932095
171, 6875727
172, 6570799
173, 15554258
174, 6845394
175, 6608214
176, 6415962
177, 6645188
178, 6802423
179, 6991214
180, 7139713
181, 7391399
182, 6414109
183, 6345610
184, 6807976
185, 6647908
186, 6622243
187, 6996235
188, 6649436
189, 6758265
190, 6676826
191, 7163313
192, 9124161
193, 9355618
194, 6820620
195, 6947863
196, 6879012
197, 6692757
198, 6407198
199, 6355494
200, 6341749
201, 6376051
202, 6655624
203, 6945739
204, 6925524
205, 6644661
206, 6254973
207, 6497921
208, 6641781
209, 6387989
210, 6445781
211, 6715210
212, 6566517
213, 6427768
214, 6452309
215, 6247581
216, 6360335
217, 6399486
218, 7541426
219, 6876401
220, 6767758
221, 6708943
222, 6626676
223, 7123107
224, 6608944
225, 6428610
226, 7363642
227, 6692484
228, 6714258
229, 6452736
230, 6404350
231, 6506989
