Löporder, Tid (mikrosekund) 
1, 544
2, 183
3, 178
4, 167
5, 172
6, 172
7, 167
8, 166
9, 168
10, 172
11, 172
12, 166
13, 173
14, 167
15, 168
16, 172
17, 174
18, 172
19, 1255
20, 181
21, 170
22, 164
23, 164
24, 165
25, 165
26, 164
27, 169
28, 165
29, 164
30, 165
31, 163
32, 164
33, 164
34, 169
35, 168
36, 164
37, 164
38, 164
39, 170
40, 158
41, 158
42, 157
43, 158
44, 154
45, 157
46, 156
47, 159
48, 159
49, 155
50, 157
51, 151
52, 156
53, 158
54, 158
55, 153
56, 160
57, 148
58, 154
59, 149
60, 153
61, 152
62, 152
63, 323
64, 214
65, 161
66, 163
67, 164
68, 162
69, 162
70, 153
71, 152
72, 157
73, 152
74, 156
75, 153
76, 156
77, 159
78, 313
79, 336
80, 200
81, 179
82, 167
83, 166
84, 167
85, 162
86, 157
87, 159
88, 162
89, 160
90, 183
91, 156
92, 190
93, 149
94, 152
95, 149
96, 172
97, 173
98, 157
99, 163
100, 161
101, 182
102, 169
103, 166
104, 162
105, 161
106, 161
107, 167
108, 162
109, 165
110, 169
111, 165
112, 164
113, 168
114, 164
115, 168
116, 176
117, 169
118, 164
119, 164
120, 164
121, 169
122, 169
123, 168
124, 333
125, 189
126, 171
127, 171
128, 172
129, 173
130, 173
131, 171
132, 267
133, 176
134, 165
135, 157
136, 158
137, 158
138, 166
139, 160
140, 160
141, 161
142, 156
143, 155
144, 156
145, 157
146, 155
147, 158
148, 158
149, 158
150, 157
151, 159
152, 158
153, 159
154, 159
155, 161
156, 156
157, 160
158, 157
159, 159
160, 152
161, 160
162, 157
163, 159
164, 157
165, 160
166, 158
167, 159
168, 157
169, 160
170, 159
171, 156
172, 157
173, 159
174, 153
175, 159
176, 157
177, 159
178, 158
179, 159
180, 152
181, 339
182, 182
183, 168
184, 171
185, 176
186, 168
187, 168
188, 167
189, 172
190, 171
191, 167
192, 173
193, 167
194, 173
195, 173
196, 173
197, 163
198, 171
199, 170
200, 165
201, 171
202, 172
203, 167
204, 165
205, 166
206, 168
207, 167
208, 172
209, 166
210, 173
211, 165
212, 168
213, 164
214, 164
215, 175
216, 171
217, 167
218, 165
219, 167
220, 167
221, 171
222, 172
223, 157
224, 153
225, 152
226, 158
227, 156
228, 159
229, 152
230, 179
231, 160
232, 159
233, 158
234, 160
235, 159
236, 164
237, 158
238, 289
239, 184
240, 162
241, 167
242, 170
243, 165
244, 165
245, 169
246, 205
247, 174
248, 173
249, 185
250, 175
251, 172
252, 174
253, 173
254, 173
255, 175
256, 169
257, 183
258, 175
259, 174
260, 174
261, 171
262, 171
263, 170
264, 165
265, 171
266, 174
267, 172
268, 171
269, 173
270, 180
271, 172
272, 175
273, 175
274, 170
275, 176
276, 176
277, 176
278, 176
279, 176
280, 175
281, 171
282, 176
283, 175
284, 175
285, 175
286, 172
287, 170
288, 176
289, 175
290, 175
291, 175
292, 171
293, 171
294, 175
295, 310
296, 168
297, 169
298, 161
299, 160
300, 158
301, 159
302, 161
303, 161
304, 161
305, 160
306, 170
307, 169
308, 161
309, 164
310, 161
311, 162
312, 163
313, 163
314, 161
315, 163
316, 163
317, 163
318, 163
319, 167
320, 162
321, 164
322, 161
323, 165
324, 164
325, 157
326, 162
327, 165
328, 163
329, 167
330, 163
331, 163
332, 195
333, 174
334, 162
335, 894
336, 190
337, 177
338, 165
339, 163
340, 161
341, 162
342, 163
343, 168
344, 164
345, 161
346, 160
347, 161
348, 166
349, 161
350, 161
351, 308
352, 178
353, 165
354, 159
355, 160
356, 160
357, 159
358, 159
359, 158
360, 159
361, 159
362, 158
