Löporder, Tid (mikrosekund) 
1, 265
2, 134
3, 121
4, 120
5, 134
6, 99
7, 102
8, 100
9, 98
10, 100
11, 100
12, 99
13, 99
14, 99
15, 102
16, 98
17, 102
18, 98
19, 101
20, 101
21, 99
22, 100
23, 98
24, 98
25, 104
26, 98
27, 100
28, 100
29, 99
30, 99
31, 101
32, 98
33, 101
34, 99
35, 108
36, 100
37, 99
38, 109
39, 102
40, 103
41, 104
42, 99
43, 100
44, 99
45, 101
46, 102
47, 101
48, 99
49, 101
50, 99
51, 100
52, 100
53, 100
54, 103
55, 96
56, 100
57, 100
58, 98
59, 103
60, 97
61, 99
62, 100
63, 100
64, 102
65, 99
66, 193
67, 103
68, 99
69, 99
70, 99
71, 101
72, 99
73, 99
74, 100
75, 98
76, 100
77, 99
78, 100
79, 103
80, 99
81, 101
82, 98
83, 98
84, 102
85, 100
86, 102
87, 98
88, 99
89, 102
90, 99
91, 99
92, 102
93, 98
94, 98
95, 100
96, 106
97, 108
98, 102
99, 99
100, 99
101, 99
102, 99
103, 99
104, 98
105, 98
106, 100
107, 99
108, 98
109, 101
110, 100
111, 100
112, 99
113, 99
114, 101
115, 100
116, 99
117, 99
118, 99
119, 99
120, 100
121, 99
122, 99
123, 101
124, 98
125, 109
126, 102
127, 100
128, 99
129, 100
130, 99
131, 172
132, 102
133, 99
134, 103
135, 100
136, 100
137, 100
138, 98
139, 102
140, 101
141, 99
142, 100
143, 100
144, 97
145, 100
146, 100
147, 99
148, 105
149, 99
150, 98
151, 99
152, 100
153, 106
154, 102
155, 100
156, 99
157, 104
158, 99
159, 98
160, 101
161, 101
162, 99
163, 99
164, 99
165, 99
166, 99
167, 99
168, 101
169, 97
170, 100
171, 100
172, 100
173, 98
174, 101
175, 98
176, 96
177, 99
178, 101
179, 97
180, 98
181, 101
182, 107
183, 100
184, 99
185, 105
186, 97
187, 98
188, 99
189, 99
190, 98
191, 169
192, 103
193, 100
194, 100
195, 99
196, 104
197, 100
198, 102
199, 99
200, 100
201, 102
202, 100
203, 102
204, 98
205, 100
206, 127
207, 99
208, 100
209, 126
210, 103
211, 101
212, 97
213, 98
214, 102
215, 102
216, 99
217, 97
218, 99
219, 98
220, 99
221, 99
222, 100
223, 99
224, 99
225, 99
226, 99
227, 99
228, 105
229, 101
230, 99
231, 101
232, 107
233, 99
234, 99
235, 102
236, 99
237, 103
238, 107
239, 99
240, 99
241, 103
242, 104
243, 100
244, 101
245, 99
246, 99
247, 99
248, 99
249, 98
250, 98
251, 122
252, 109
253, 101
254, 109
255, 99
256, 103
257, 96
258, 99
259, 101
260, 99
261, 101
262, 99
263, 98
264, 99
265, 102
266, 101
267, 109
268, 102
269, 101
270, 99
271, 99
272, 96
273, 101
274, 100
275, 99
276, 102
277, 98
278, 99
279, 100
280, 101
281, 99
282, 101
283, 100
284, 100
285, 99
286, 101
287, 99
288, 99
289, 106
290, 99
291, 100
292, 99
293, 98
294, 100
295, 114
296, 104
297, 101
298, 101
299, 99
300, 100
301, 100
302, 99
303, 99
304, 101
305, 100
306, 100
307, 103
308, 99
309, 105
310, 99
311, 240
312, 102
313, 103
314, 102
315, 100
316, 99
317, 101
318, 96
319, 100
320, 97
321, 101
322, 105
323, 129
324, 101
325, 100
326, 100
327, 97
328, 97
329, 98
330, 98
331, 99
332, 99
333, 100
334, 99
335, 88
336, 92
337, 89
338, 89
339, 95
340, 89
341, 90
342, 89
343, 89
344, 96
345, 97
346, 100
347, 89
348, 93
349, 99
350, 87
351, 89
352, 101
353, 91
354, 89
355, 90
356, 87
357, 96
358, 89
359, 93
360, 98
361, 88
362, 89
363, 89
364, 88
365, 87
366, 89
367, 96
368, 98
369, 89
370, 89
371, 89
372, 88
373, 151
374, 88
375, 95
376, 91
377, 88
378, 89
379, 96
380, 90
381, 88
382, 98
383, 90
384, 96
385, 97
386, 88
387, 97
388, 88
389, 97
390, 87
391, 88
392, 89
393, 88
394, 96
395, 88
396, 90
397, 89
398, 89
399, 89
400, 88
401, 89
402, 97
403, 89
404, 89
405, 98
406, 90
407, 90
408, 95
409, 92
410, 89
411, 89
412, 104
413, 99
414, 97
415, 94
416, 88
417, 88
418, 88
419, 94
420, 96
421, 94
422, 96
423, 88
424, 88
425, 95
426, 95
427, 96
428, 99
429, 90
430, 87
431, 97
432, 96
433, 96
434, 95
435, 89
436, 133
437, 89
438, 95
439, 89
440, 88
441, 90
442, 94
443, 90
444, 91
445, 99
446, 89
447, 87
448, 100
449, 88
450, 96
451, 90
452, 87
453, 100
454, 90
455, 89
456, 97
457, 89
458, 89
459, 88
460, 87
461, 89
462, 87
463, 96
464, 96
465, 88
466, 88
467, 87
468, 89
469, 87
470, 90
471, 96
472, 105
473, 89
474, 95
475, 99
476, 90
477, 98
478, 89
479, 93
480, 90
481, 88
482, 89
483, 94
484, 88
485, 94
486, 89
487, 86
488, 89
489, 92
490, 98
491, 96
492, 97
493, 87
494, 87
495, 95
496, 91
497, 88
498, 91
499, 88
500, 188
501, 94
502, 102
503, 97
504, 96
505, 95
506, 98
507, 95
508, 98
509, 89
510, 87
511, 90
512, 89
513, 95
514, 95
515, 95
516, 96
517, 90
518, 90
519, 90
520, 88
521, 98
522, 87
523, 88
524, 96
525, 87
526, 88
527, 91
528, 89
529, 88
530, 90
531, 91
532, 96
533, 92
534, 88
535, 88
536, 89
537, 89
538, 89
539, 90
540, 97
541, 88
542, 89
543, 96
544, 98
545, 92
546, 91
547, 132
548, 92
