Löporder, Tid (mikrosekund) 
1, 8142
2, 204
3, 115
4, 116
5, 119
6, 118
7, 118
8, 119
9, 114
10, 119
11, 118
12, 118
13, 118
14, 115
15, 115
16, 118
17, 117
18, 114
19, 118
20, 116
21, 118
22, 116
23, 116
24, 119
25, 117
26, 114
27, 117
28, 118
29, 118
30, 119
31, 119
32, 119
33, 118
34, 118
35, 118
36, 120
37, 119
38, 119
39, 116
40, 119
41, 116
42, 118
43, 117
44, 117
45, 119
46, 117
47, 115
48, 117
49, 115
50, 118
51, 118
52, 119
53, 120
54, 119
55, 118
56, 119
57, 118
58, 117
59, 117
60, 119
61, 116
62, 117
63, 302
64, 128
65, 118
66, 118
67, 116
68, 116
69, 115
70, 115
71, 117
72, 115
73, 118
74, 117
75, 119
76, 118
77, 117
78, 116
79, 115
80, 117
81, 113
82, 118
83, 115
84, 117
85, 118
86, 115
87, 119
88, 118
89, 119
90, 116
91, 117
92, 117
93, 115
94, 118
95, 117
96, 116
97, 116
98, 119
99, 117
100, 117
101, 117
102, 116
103, 118
104, 119
105, 118
106, 118
107, 116
108, 114
109, 115
110, 117
111, 118
112, 115
113, 117
114, 116
115, 116
116, 116
117, 117
118, 118
119, 117
120, 116
121, 118
122, 116
123, 119
124, 241
125, 117
126, 118
127, 120
128, 121
129, 114
130, 115
131, 118
132, 118
133, 117
134, 117
135, 114
136, 115
137, 119
138, 119
139, 117
140, 118
141, 117
142, 118
143, 119
144, 116
145, 117
146, 117
147, 115
148, 115
149, 114
150, 116
151, 117
152, 117
153, 117
154, 119
155, 119
156, 122
157, 117
158, 116
159, 116
160, 118
161, 160
162, 117
163, 115
164, 118
165, 116
166, 121
167, 115
168, 118
169, 115
170, 116
171, 119
172, 119
173, 173
174, 191
175, 136
176, 116
177, 125
178, 117
179, 119
180, 118
181, 203
182, 119
183, 118
184, 113
185, 115
186, 118
187, 116
188, 116
189, 119
190, 117
191, 115
192, 114
193, 117
194, 116
195, 116
196, 117
197, 114
198, 117
199, 115
200, 114
201, 118
202, 114
203, 116
204, 114
205, 115
206, 115
207, 116
208, 119
209, 114
210, 115
211, 116
212, 115
213, 116
214, 116
215, 119
216, 116
217, 115
218, 115
219, 115
220, 116
221, 116
222, 116
223, 116
224, 116
225, 117
226, 117
227, 115
228, 116
229, 117
230, 116
231, 116
232, 116
233, 117
234, 119
235, 116
236, 115
237, 117
238, 190
239, 119
240, 118
241, 118
242, 116
243, 118
244, 119
245, 119
246, 118
247, 116
248, 116
249, 116
250, 116
251, 117
252, 118
253, 118
254, 121
255, 117
256, 115
257, 115
258, 116
259, 117
260, 116
261, 115
262, 115
263, 115
264, 116
265, 117
266, 117
267, 115
268, 114
269, 115
270, 114
271, 115
272, 118
273, 115
274, 116
275, 118
276, 117
277, 116
278, 116
279, 116
280, 117
281, 114
282, 117
283, 119
284, 116
285, 115
286, 116
287, 114
288, 115
289, 116
290, 118
291, 116
292, 117
293, 114
294, 117
