Löporder, Tid (mikrosekund) 
1, 5778
2, 218
3, 161
4, 168
5, 162
6, 160
7, 159
8, 168
9, 165
10, 157
11, 163
12, 159
13, 160
14, 165
15, 213
16, 163
17, 161
18, 160
19, 165
20, 159
21, 168
22, 167
23, 173
24, 158
25, 162
26, 167
27, 159
28, 157
29, 157
30, 154
31, 164
32, 167
33, 162
34, 168
35, 165
36, 248
37, 198
38, 167
39, 1900
40, 167
41, 161
42, 164
43, 164
44, 185
45, 170
46, 173
47, 171
48, 168
49, 165
50, 171
51, 166
52, 168
53, 169
54, 168
55, 165
56, 169
57, 166
58, 167
59, 168
60, 166
61, 158
62, 172
63, 310
64, 275
65, 163
66, 157
67, 176
68, 170
69, 178
70, 174
71, 167
72, 176
73, 175
74, 170
75, 165
76, 175
77, 164
78, 162
79, 211
80, 166
81, 185
82, 169
83, 170
84, 165
85, 158
86, 165
87, 167
88, 179
89, 169
90, 168
91, 153
92, 181
93, 165
94, 155
95, 171
96, 156
97, 167
98, 159
99, 175
100, 167
101, 164
102, 159
103, 164
104, 163
105, 154
106, 167
107, 167
108, 164
109, 160
110, 165
111, 168
112, 168
113, 161
114, 160
115, 172
116, 6105
117, 140
118, 109
119, 110
120, 110
121, 109
122, 114
123, 109
124, 243
125, 114
126, 116
127, 110
128, 120
129, 109
130, 111
131, 113
132, 109
133, 108
134, 109
135, 112
136, 110
137, 111
138, 110
139, 111
140, 109
141, 109
142, 115
143, 112
144, 111
145, 111
146, 110
147, 326
148, 122
149, 111
150, 110
151, 114
152, 110
153, 118
154, 118
155, 114
156, 111
157, 113
158, 113
159, 113
160, 112
161, 115
162, 128
163, 108
164, 110
165, 160
166, 145
167, 115
168, 120
169, 110
170, 113
171, 117
172, 120
173, 112
174, 110
175, 112
176, 116
177, 113
178, 112
179, 109
180, 112
181, 162
182, 117
183, 111
184, 111
185, 108
186, 111
187, 109
188, 108
189, 109
190, 111
191, 113
192, 110
193, 115
194, 114
195, 111
196, 109
197, 152
198, 122
199, 109
200, 111
201, 109
202, 110
203, 112
204, 118
205, 113
206, 110
207, 113
208, 111
209, 126
210, 115
211, 111
212, 109
213, 109
214, 111
215, 110
216, 109
217, 109
218, 110
219, 111
220, 114
221, 119
222, 110
223, 119
224, 112
225, 129
226, 115
227, 112
228, 136
229, 114
230, 105
231, 113
232, 110
233, 106
234, 109
235, 107
236, 109
237, 158
238, 109
239, 109
240, 110
241, 109
242, 108
243, 109
244, 106
245, 109
246, 111
247, 107
248, 108
249, 108
250, 108
251, 105
252, 106
253, 110
254, 112
255, 109
256, 107
257, 111
258, 110
259, 134
260, 108
261, 105
262, 112
263, 109
264, 114
265, 112
266, 111
267, 112
268, 110
269, 112
270, 113
271, 111
272, 112
273, 117
274, 114
275, 116
276, 110
277, 112
278, 115
279, 110
280, 112
281, 113
282, 115
283, 110
284, 108
285, 115
286, 110
287, 111
288, 112
289, 110
290, 110
291, 110
292, 112
293, 111
294, 136
295, 120
296, 111
297, 112
298, 113
299, 107
300, 151
301, 116
302, 111
303, 113
304, 110
305, 109
306, 112
307, 111
308, 111
309, 110
310, 112
311, 109
312, 113
313, 110
314, 109
315, 111
316, 110
317, 107
318, 108
319, 112
320, 168
321, 142
322, 108
323, 108
324, 107
325, 150
326, 110
327, 109
328, 109
329, 111
330, 112
331, 107
332, 111
333, 111
334, 109
335, 109
336, 110
337, 110
338, 113
339, 111
340, 110
341, 109
342, 109
343, 111
344, 107
345, 109
346, 109
347, 112
348, 107
349, 111
350, 110
351, 201
352, 109
353, 109
354, 107
355, 109
356, 110
357, 136
358, 118
359, 110
360, 109
361, 106
362, 111
363, 109
364, 112
365, 105
366, 108
367, 106
368, 110
369, 109
370, 111
371, 106
372, 108
373, 107
374, 108
375, 109
376, 106
377, 108
378, 109
379, 107
380, 107
381, 106
382, 107
383, 107
384, 109
385, 109
386, 109
387, 106
388, 109
389, 108
390, 108
391, 109
392, 108
393, 110
394, 107
395, 109
396, 108
397, 110
398, 109
399, 112
400, 110
401, 109
402, 95
403, 101
404, 105
405, 102
406, 95
407, 105
408, 146
409, 112
410, 103
411, 104
412, 95
413, 103
414, 95
415, 97
416, 103
417, 102
418, 93
419, 96
420, 102
421, 96
422, 102
423, 161
424, 140
425, 142
426, 107
427, 102
428, 102
429, 102
430, 102
431, 102
432, 103
433, 101
434, 100
435, 105
436, 114
437, 101
438, 101
439, 102
440, 96
441, 103
442, 103
443, 95
444, 97
445, 93
446, 96
447, 103
448, 94
449, 103
450, 103
451, 96
452, 101
453, 95
454, 97
455, 95
456, 103
457, 103
458, 95
459, 104
460, 102
461, 102
462, 96
463, 102
464, 103
465, 94
466, 95
467, 142
468, 108
469, 98
470, 96
471, 107
472, 102
473, 95
474, 104
475, 97
476, 103
477, 95
478, 96
479, 110
480, 105
481, 105
482, 103
483, 94
484, 96
485, 96
486, 94
487, 96
488, 163
489, 109
490, 104
491, 108
492, 99
493, 98
494, 105
495, 97
496, 97
497, 107
498, 97
499, 98
500, 97
501, 105
502, 107
503, 98
504, 100
505, 103
506, 105
507, 104
508, 98
509, 107
510, 97
511, 104
512, 105
513, 97
514, 104
515, 97
516, 105
517, 97
518, 95
519, 98
520, 106
521, 102
522, 105
523, 104
524, 97
525, 107
526, 98
527, 200
528, 104
529, 102
530, 103
531, 108
532, 107
533, 104
534, 104
535, 107
536, 103
537, 103
538, 103
539, 108
540, 107
541, 107
542, 103
543, 102
544, 103
545, 103
546, 103
547, 107
548, 103
549, 103
550, 101
551, 112
552, 98
553, 96
554, 97
555, 96
556, 99
557, 104
558, 98
559, 99
560, 96
561, 103
562, 96
563, 147
564, 108
565, 105
566, 98
567, 105
568, 99
569, 107
570, 105
571, 97
572, 106
573, 95
574, 96
575, 97
576, 97
577, 96
578, 103
579, 98
580, 99
581, 96
582, 96
583, 97
584, 99
585, 99
586, 96
587, 120
588, 96
589, 96
590, 98
591, 100
592, 97
593, 97
594, 95
595, 98
596, 96
597, 96
598, 97
599, 97
600, 108
