Löporder, Tid (mikrosekund) 
1, 389
2, 218
3, 182
4, 170
5, 157
6, 151
7, 156
8, 154
9, 149
10, 143
11, 142
12, 151
13, 148
14, 152
15, 151
16, 143
17, 139
18, 143
19, 150
20, 159
21, 158
22, 160
23, 156
24, 143
25, 151
26, 152
27, 152
28, 154
29, 152
30, 153
31, 149
32, 153
33, 150
34, 144
35, 142
36, 145
37, 162
38, 160
39, 161
40, 158
41, 164
42, 304
43, 177
44, 182
45, 164
46, 159
47, 153
48, 160
49, 145
50, 157
51, 145
52, 157
53, 155
54, 161
55, 154
56, 159
57, 146
58, 157
59, 147
60, 160
61, 155
62, 170
63, 288
64, 178
65, 175
66, 162
67, 157
68, 158
69, 7441
70, 169
71, 167
72, 169
73, 169
74, 165
75, 152
76, 159
77, 159
78, 152
79, 155
80, 156
81, 1630
82, 179
83, 171
84, 157
85, 170
86, 162
87, 157
88, 157
89, 156
90, 159
91, 150
92, 157
93, 156
94, 237
95, 166
96, 159
97, 161
98, 163
99, 156
100, 149
101, 153
102, 153
103, 152
104, 150
105, 152
106, 152
107, 152
108, 153
109, 148
110, 154
111, 147
112, 148
113, 148
114, 151
115, 152
116, 149
117, 152
118, 153
119, 151
120, 153
121, 153
122, 153
123, 152
124, 267
125, 200
126, 165
127, 162
128, 179
129, 173
130, 184
131, 178
132, 176
133, 177
134, 176
135, 176
136, 178
137, 190
138, 174
139, 176
140, 169
141, 174
142, 169
143, 179
144, 173
145, 171
146, 168
147, 174
148, 167
149, 169
150, 172
151, 177
152, 172
153, 164
154, 161
155, 175
156, 166
157, 169
158, 166
159, 170
160, 168
161, 175
162, 159
163, 162
164, 159
165, 162
166, 160
167, 166
168, 160
169, 162
170, 167
171, 176
172, 164
173, 180
174, 171
175, 166
176, 162
177, 161
178, 162
179, 173
180, 163
181, 299
182, 209
183, 181
184, 183
185, 186
186, 182
187, 187
188, 189
189, 191
190, 185
191, 186
192, 185
193, 188
194, 189
195, 182
196, 176
197, 174
198, 174
199, 175
200, 176
201, 169
202, 171
203, 168
204, 172
205, 174
206, 175
207, 163
208, 172
209, 167
210, 170
211, 163
212, 166
213, 169
214, 170
215, 164
216, 170
217, 164
218, 170
219, 163
220, 170
221, 167
222, 166
223, 170
224, 166
225, 164
226, 165
227, 169
228, 168
229, 163
230, 165
231, 173
232, 182
233, 190
234, 179
235, 162
236, 160
237, 160
238, 276
239, 194
240, 178
241, 171
242, 162
243, 166
244, 165
245, 169
246, 164
247, 166
248, 162
249, 165
250, 163
251, 164
252, 161
253, 165
254, 161
255, 165
256, 162
257, 166
258, 162
259, 164
260, 150
261, 159
262, 193
263, 152
264, 156
265, 155
266, 155
267, 156
268, 153
269, 156
270, 152
271, 156
272, 156
273, 158
274, 159
275, 161
276, 157
277, 150
278, 155
279, 159
280, 156
281, 149
282, 153
283, 157
284, 157
285, 152
286, 156
287, 165
288, 156
289, 157
290, 155
291, 157
292, 151
293, 152
294, 271
295, 197
296, 347
297, 165
298, 165
299, 171
300, 183
301, 171
302, 203
303, 169
304, 166
305, 179
306, 170
307, 155
308, 158
309, 151
310, 158
311, 155
312, 159
313, 179
314, 179
315, 150
316, 157
317, 154
318, 156
319, 153
320, 160
321, 149
322, 156
323, 154
324, 158
325, 153
326, 152
327, 159
328, 159
329, 160
330, 151
331, 154
332, 156
333, 154
334, 156
335, 154
336, 156
337, 153
338, 155
339, 149
340, 151
341, 153
342, 155
343, 153
344, 152
345, 1064
346, 179
347, 172
348, 164
349, 160
350, 254
351, 358
352, 194
353, 158
354, 160
355, 158
356, 158
357, 153
358, 158
359, 158
360, 154
361, 158
362, 158
363, 158
364, 158
365, 158
366, 159
367, 157
368, 158
369, 158
370, 154
371, 153
372, 158
373, 159
374, 159
375, 157
376, 153
377, 153
378, 158
379, 158
380, 153
381, 151
382, 158
383, 157
384, 157
385, 158
386, 157
387, 154
388, 158
389, 160
390, 158
391, 157
392, 156
393, 149
394, 156
395, 149
396, 156
397, 147
398, 173
399, 182
400, 166
401, 169
402, 144
403, 148
404, 167
405, 160
406, 160
407, 153
408, 290
409, 219
410, 164
411, 164
412, 168
413, 165
414, 163
415, 168
416, 169
417, 172
418, 164
419, 165
420, 164
421, 165
422, 157
423, 156
424, 154
425, 199
426, 173
427, 176
428, 182
429, 180
430, 163
431, 163
432, 163
433, 163
434, 164
435, 165
436, 174
437, 165
438, 162
439, 161
440, 164
441, 161
442, 163
443, 170
444, 166
445, 160
446, 164
447, 161
448, 165
449, 161
450, 167
451, 160
452, 163
453, 161
454, 163
455, 161
456, 168
457, 160
458, 163
459, 160
460, 164
461, 160
462, 163
463, 161
464, 167
465, 876
466, 202
467, 183
468, 185
469, 184
470, 179
471, 179
472, 179
473, 179
474, 179
475, 178
476, 180
477, 180
478, 189
479, 181
480, 176
481, 169
482, 173
483, 170
484, 162
485, 172
486, 163
487, 164
488, 162
489, 166
490, 161
491, 166
492, 162
493, 164
494, 162
495, 169
496, 167
497, 169
498, 163
499, 171
500, 167
501, 169
502, 162
503, 165
504, 162
505, 172
506, 168
507, 177
508, 174
509, 176
510, 169
511, 176
512, 169
513, 176
514, 180
515, 181
516, 174
517, 175
518, 293
519, 207
520, 181
521, 176
522, 375
523, 210
524, 172
525, 173
526, 180
527, 170
528, 173
529, 178
530, 172
531, 172
532, 158
533, 159
534, 156
535, 158
536, 156
537, 156
538, 159
539, 161
540, 168
541, 168
542, 161
543, 156
544, 161
545, 161
546, 171
547, 161
548, 161
549, 159
550, 168
551, 158
552, 163
553, 159
554, 163
555, 171
556, 162
557, 175
558, 171
559, 162
560, 160
561, 158
562, 156
563, 153
564, 157
565, 153
566, 156
567, 152
568, 156
569, 196
570, 163
571, 163
572, 169
573, 178
574, 162
575, 159
576, 154
577, 157
578, 148
579, 631
580, 195
581, 178
582, 176
583, 175
584, 164
585, 162
586, 169
587, 167
588, 175
589, 166
590, 199
591, 169
592, 178
593, 168
594, 168
595, 162
596, 176
597, 164
598, 177
599, 166
600, 172
