Löporder, Tid (mikrosekund) 
1, 757
2, 229
3, 181
4, 174
5, 185
6, 184
7, 161
8, 163
9, 167
10, 166
11, 162
12, 165
13, 166
14, 165
15, 161
16, 164
17, 166
18, 165
19, 161
20, 165
21, 166
22, 163
23, 161
24, 165
25, 175
26, 167
27, 171
28, 166
29, 165
30, 165
31, 249
32, 193
33, 181
34, 859
35, 178
36, 176
37, 178
38, 167
39, 170
40, 171
41, 176
42, 169
43, 165
44, 173
45, 164
46, 176
47, 164
48, 175
49, 195
50, 183
51, 620
52, 414
53, 402
54, 382
55, 337
56, 173
57, 172
58, 165
59, 173
60, 159
61, 170
62, 164
63, 411
64, 182
65, 184
66, 166
67, 158
68, 195
69, 178
70, 177
71, 172
72, 162
73, 163
74, 165
75, 170
76, 164
77, 170
78, 169
79, 167
80, 158
81, 168
82, 170
83, 163
84, 176
85, 167
86, 169
87, 167
88, 178
89, 168
90, 168
91, 169
92, 169
93, 174
94, 170
95, 166
96, 175
97, 169
98, 167
99, 176
100, 199
101, 187
102, 174
103, 158
104, 159
105, 154
106, 164
107, 158
108, 168
109, 151
110, 155
111, 159
112, 159
113, 158
114, 172
115, 151
116, 154
117, 172
118, 167
119, 155
120, 166
121, 161
122, 157
123, 174
124, 316
125, 214
126, 171
127, 169
128, 165
129, 170
130, 167
131, 162
132, 171
133, 170
134, 177
135, 173
136, 166
137, 159
138, 164
139, 162
140, 163
141, 169
142, 162
143, 162
144, 192
145, 173
146, 167
147, 184
148, 162
149, 164
150, 158
151, 156
152, 158
153, 165
154, 159
155, 195
156, 164
157, 176
158, 167
159, 161
160, 166
161, 148
162, 156
163, 161
164, 158
165, 159
166, 165
167, 160
168, 163
169, 158
170, 157
171, 158
172, 154
173, 161
174, 314
175, 368
176, 397
177, 367
178, 319
179, 449
180, 390
181, 395
182, 191
183, 182
184, 180
185, 164
186, 164
187, 167
188, 171
189, 169
190, 160
191, 171
192, 162
193, 172
194, 175
195, 173
196, 181
197, 158
198, 167
199, 161
200, 164
201, 151
202, 163
203, 159
204, 162
205, 164
206, 162
207, 160
208, 161
209, 160
210, 159
211, 158
212, 158
213, 161
214, 157
215, 159
216, 157
217, 160
218, 157
219, 160
220, 156
221, 159
222, 162
223, 161
224, 156
225, 160
226, 158
227, 160
228, 159
229, 159
230, 159
231, 159
232, 158
233, 219
234, 178
235, 183
236, 159
237, 163
238, 280
239, 198
240, 183
241, 183
242, 174
243, 172
244, 164
245, 150
246, 163
247, 163
248, 157
249, 161
250, 165
251, 161
252, 162
253, 181
254, 159
255, 169
256, 162
257, 159
258, 163
259, 160
260, 158
261, 156
262, 156
263, 158
264, 151
265, 156
266, 155
267, 157
268, 157
269, 149
270, 148
271, 155
272, 155
273, 190
274, 156
275, 174
276, 173
277, 168
278, 171
279, 162
280, 163
281, 189
282, 171
283, 174
284, 172
285, 159
286, 170
287, 164
288, 162
289, 161
290, 156
291, 159
292, 159
293, 171
294, 149
295, 327
296, 223
297, 155
298, 156
299, 160
300, 160
301, 167
302, 162
303, 154
304, 161
305, 159
306, 155
307, 164
308, 149
309, 141
310, 192
311, 160
312, 199
313, 171
314, 176
315, 163
316, 162
317, 146
318, 164
319, 163
320, 159
321, 160
322, 159
323, 161
324, 194
325, 179
326, 162
327, 173
328, 160
329, 176
330, 159
331, 161
332, 159
333, 167
334, 150
335, 162
336, 156
337, 161
338, 152
339, 162
340, 160
341, 158
342, 149
343, 157
344, 156
345, 160
346, 158
347, 160
348, 156
349, 160
350, 158
351, 158
352, 294
353, 189
354, 180
355, 155
356, 163
357, 164
358, 283
359, 383
360, 391
361, 463
362, 414
363, 360
364, 358
365, 392
366, 382
367, 549
368, 310
369, 192
370, 172
371, 163
372, 161
373, 171
374, 166
375, 171
376, 166
377, 161
378, 181
379, 204
380, 182
381, 180
382, 167
383, 178
384, 178
385, 172
386, 166
387, 169
388, 169
389, 166
390, 170
391, 177
392, 163
393, 166
394, 166
395, 159
396, 166
397, 166
398, 163
399, 168
400, 178
401, 162
402, 165
403, 177
404, 162
405, 166
406, 170
407, 442
408, 2401
409, 360
410, 215
411, 355
412, 215
413, 194
414, 188
415, 174
416, 176
417, 171
418, 173
419, 163
420, 175
421, 158
422, 161
423, 159
424, 169
425, 239
426, 191
427, 178
428, 189
429, 170
430, 189
431, 180
432, 163
433, 170
434, 166
435, 170
436, 178
437, 163
438, 163
439, 167
440, 199
441, 191
442, 186
443, 171
444, 203
445, 166
446, 171
447, 156
448, 176
449, 173
450, 175
451, 170
452, 231
453, 9086
454, 176
455, 173
456, 168
457, 161
458, 169
459, 168
460, 165
461, 155
462, 168
463, 163
464, 163
465, 372
466, 187
467, 183
468, 161
469, 165
470, 164
471, 161
472, 160
473, 165
474, 151
475, 155
476, 161
477, 531
478, 344
479, 381
480, 356
481, 408
482, 360
483, 1246
484, 365
485, 325
486, 353
487, 433
488, 271
489, 159
490, 165
491, 158
492, 174
493, 166
494, 160
495, 161
496, 156
497, 162
498, 160
499, 150
500, 159
501, 159
502, 157
503, 155
504, 162
505, 154
506, 154
507, 159
508, 152
509, 160
510, 156
511, 155
512, 151
513, 156
514, 151
515, 156
516, 153
517, 155
518, 151
519, 158
520, 149
521, 157
522, 388
523, 169
524, 172
525, 167
526, 167
527, 179
528, 171
529, 164
530, 165
531, 164
532, 156
533, 159
534, 149
535, 158
536, 161
537, 159
538, 163
539, 165
540, 162
541, 160
542, 160
543, 151
544, 162
545, 160
546, 163
547, 156
548, 159
549, 155
550, 159
551, 162
552, 155
553, 160
554, 161
555, 151
556, 160
557, 162
558, 156
559, 155
560, 161
561, 154
562, 160
563, 159
564, 154
565, 158
566, 161
567, 153
568, 202
569, 178
570, 165
571, 168
572, 164
573, 247
574, 163
575, 173
576, 169
577, 167
578, 175
579, 506
580, 200
581, 193
582, 178
583, 182
584, 179
585, 8816
586, 250
587, 175
588, 173
589, 161
590, 162
591, 170
592, 162
593, 164
594, 177
595, 167
596, 160
597, 168
598, 157
599, 162
600, 166
