Löporder, Tid (mikrosekund) 
1, 15676
2, 1354
3, 492
4, 318
5, 298
6, 247
7, 241
8, 260
9, 228
10, 249
11, 328
12, 299
13, 250
14, 243
15, 279
16, 268
17, 240
18, 245
19, 241
20, 241
21, 241
22, 239
23, 242
24, 241
25, 239
26, 242
27, 246
28, 248
29, 238
30, 395
31, 259
32, 277
33, 269
34, 247
35, 269
36, 261
37, 300
38, 245
39, 274
40, 242
41, 280
42, 241
43, 273
44, 250
45, 275
46, 245
47, 270
48, 248
49, 269
50, 244
51, 267
52, 244
53, 276
54, 244
55, 272
56, 631
57, 291
58, 336
59, 1542
60, 364
61, 264
62, 10504
63, 270
64, 259
65, 253
66, 254
67, 246
68, 256
69, 254
70, 254
71, 251
72, 247
73, 246
74, 246
75, 242
76, 245
77, 239
78, 248
79, 386
80, 254
81, 245
82, 243
83, 268
84, 247
85, 254
86, 246
87, 247
88, 259
89, 246
90, 244
91, 251
92, 243
93, 247
94, 248
95, 249
96, 244
97, 244
98, 244
99, 246
100, 243
101, 259
102, 257
103, 243
104, 244
105, 232
106, 246
107, 247
108, 240
109, 242
110, 253
111, 240
112, 249
113, 245
114, 259
115, 253
116, 255
117, 344
118, 732
119, 284
120, 252
121, 245
122, 240
123, 523
124, 248
125, 243
126, 244
127, 680
128, 275
129, 251
130, 249
131, 244
132, 270
133, 248
134, 253
135, 250
136, 243
137, 243
138, 242
139, 240
140, 244
141, 245
142, 243
143, 240
144, 242
145, 233
146, 246
147, 240
148, 249
149, 254
150, 240
151, 243
152, 244
153, 247
154, 247
155, 241
156, 239
157, 241
158, 236
159, 241
160, 245
161, 250
162, 258
163, 284
164, 244
165, 233
166, 235
167, 233
168, 239
169, 231
170, 236
171, 233
172, 245
173, 240
174, 237
175, 236
176, 241
177, 233
178, 234
179, 233
180, 1833
181, 708
182, 306
183, 255
184, 4852
185, 334
186, 265
187, 262
188, 255
189, 267
190, 261
191, 263
192, 267
193, 265
194, 258
195, 267
196, 261
197, 266
198, 262
199, 261
200, 266
201, 259
202, 253
203, 255
204, 253
205, 254
206, 252
207, 262
208, 249
209, 259
210, 259
211, 252
212, 254
213, 251
214, 254
215, 327
216, 255
217, 265
218, 269
219, 270
220, 258
221, 262
222, 250
223, 249
224, 260
225, 249
226, 252
227, 253
228, 265
229, 257
230, 252
231, 250
232, 260
233, 256
234, 265
235, 264
236, 265
237, 626
238, 298
239, 305
240, 268
241, 261
242, 257
243, 267
244, 267
245, 252
246, 3592
247, 299
248, 265
249, 265
250, 290
251, 275
252, 262
253, 265
254, 271
255, 654
256, 314
257, 290
258, 273
259, 275
260, 271
261, 274
262, 273
263, 272
264, 274
265, 267
266, 257
267, 262
268, 259
269, 263
270, 271
271, 269
272, 269
273, 288
274, 251
275, 257
276, 260
277, 251
278, 268
279, 256
280, 257
281, 312
282, 247
283, 255
284, 251
285, 257
286, 264
287, 250
288, 265
289, 262
290, 263
291, 252
292, 326
293, 288
294, 1989
295, 651
296, 401
297, 285
298, 274
299, 266
300, 247
301, 249
302, 246
303, 253
304, 254
305, 252
306, 252
307, 248
308, 244
309, 245
310, 244
311, 244
312, 246
313, 240
314, 243
315, 245
316, 243
317, 247
318, 241
319, 244
320, 244
321, 241
322, 241
323, 248
324, 247
325, 4782
326, 390
327, 248
328, 255
329, 246
330, 247
331, 246
332, 244
333, 245
334, 239
335, 241
336, 232
337, 240
338, 241
339, 240
340, 240
341, 243
342, 245
343, 252
344, 246
345, 245
346, 240
347, 241
348, 239
349, 238
350, 14453
351, 371
352, 207
353, 138
354, 128
355, 134
356, 128
357, 126
358, 131
359, 124
360, 130
361, 124
362, 128
363, 128
364, 123
365, 127
366, 130
367, 126
368, 130
369, 121
370, 129
371, 132
372, 123
373, 127
374, 127
375, 125
376, 129
377, 128
378, 127
379, 125
380, 127
381, 122
382, 126
383, 543
384, 164
385, 136
386, 158
387, 135
388, 171
389, 142
390, 164
391, 128
392, 162
393, 132
394, 156
395, 133
396, 162
397, 136
398, 164
399, 138
400, 132
401, 181
402, 9031
403, 152
404, 129
405, 170
406, 125
407, 1013
408, 400
409, 174
410, 154
411, 181
412, 154
413, 185
414, 145
415, 188
416, 146
417, 174
418, 142
419, 172
420, 148
421, 207
422, 166
423, 174
424, 143
425, 149
426, 183
427, 137
428, 179
429, 142
430, 172
431, 146
432, 174
433, 147
434, 168
435, 149
436, 175
437, 146
438, 171
439, 143
440, 170
441, 143
442, 169
443, 146
444, 173
445, 143
446, 178
447, 148
448, 178
449, 144
450, 178
451, 148
452, 171
453, 141
454, 170
455, 146
456, 176
457, 142
458, 172
459, 147
460, 169
461, 149
462, 172
463, 148
464, 982
465, 255
466, 158
467, 150
468, 161
469, 149
470, 146
471, 142
472, 145
473, 144
474, 148
475, 141
476, 142
477, 139
478, 142
479, 143
480, 139
481, 136
482, 141
483, 139
484, 143
485, 152
486, 139
487, 141
488, 141
489, 141
490, 139
491, 138
492, 136
493, 144
494, 138
495, 140
496, 140
497, 138
498, 137
499, 143
500, 135
501, 138
502, 139
503, 140
504, 139
505, 137
506, 137
507, 137
508, 140
509, 138
510, 142
511, 2152
512, 249
513, 150
514, 149
515, 153
516, 152
517, 152
518, 146
519, 152
520, 317
521, 196
522, 202
523, 185
524, 192
525, 198
526, 197
527, 191
528, 195
529, 198
530, 188
531, 186
532, 224
533, 148
534, 154
535, 148
536, 153
537, 149
538, 147
539, 155
540, 148
541, 148
542, 149
543, 152
544, 146
545, 140
546, 142
547, 152
548, 148
549, 149
550, 158
551, 154
552, 147
553, 152
554, 152
555, 154
556, 150
557, 153
558, 150
559, 154
560, 161
561, 156
562, 154
563, 158
564, 152
565, 155
566, 148
567, 161
568, 152
569, 161
570, 155
571, 152
572, 155
573, 150
574, 153
575, 203
576, 155
577, 227
578, 160
579, 147
580, 159
581, 149
582, 153
583, 154
584, 150
585, 151
586, 149
587, 154
588, 157
589, 152
590, 168
591, 154
592, 151
593, 156
594, 155
595, 151
596, 160
597, 149
598, 148
599, 155
600, 152
