Löporder, Tid (mikrosekund) 
1, 7030
2, 997
3, 174
4, 138
5, 139
6, 141
7, 129
8, 129
9, 128
10, 140
11, 124
12, 123
13, 132
14, 125
15, 124
16, 122
17, 124
18, 121
19, 124
20, 121
21, 123
22, 120
23, 123
24, 122
25, 123
26, 118
27, 125
28, 122
29, 133
30, 120
31, 124
32, 126
33, 124
34, 119
35, 123
36, 123
37, 123
38, 120
39, 123
40, 122
41, 122
42, 123
43, 121
44, 238
45, 144
46, 138
47, 157
48, 145
49, 147
50, 155
51, 148
52, 134
53, 161
54, 160
55, 147
56, 245
57, 153
58, 146
59, 149
60, 137
61, 135
62, 133
63, 432
64, 143
65, 136
66, 121
67, 127
68, 128
69, 123
70, 124
71, 125
72, 128
73, 119
74, 119
75, 122
76, 125
77, 119
78, 123
79, 124
80, 123
81, 127
82, 121
83, 122
84, 124
85, 156
86, 145
87, 143
88, 124
89, 127
90, 130
91, 122
92, 119
93, 137
94, 122
95, 8856
96, 154
97, 147
98, 138
99, 134
100, 133
101, 126
102, 136
103, 127
104, 124
105, 134
106, 128
107, 135
108, 121
109, 132
110, 123
111, 127
112, 138
113, 147
114, 121
115, 115
116, 112
117, 109
118, 113
119, 121
120, 109
121, 108
122, 114
123, 112
124, 242
125, 157
126, 148
127, 131
128, 140
129, 143
130, 147
131, 128
132, 124
133, 127
134, 145
135, 252
136, 149
137, 149
138, 130
139, 362
140, 404
141, 265
142, 253
143, 325
144, 244
145, 245
146, 294
147, 130
148, 143
149, 139
150, 139
151, 129
152, 134
153, 131
154, 137
155, 127
156, 127
157, 125
158, 130
159, 127
160, 132
161, 135
162, 132
163, 126
164, 133
165, 133
166, 135
167, 131
168, 132
169, 135
170, 110
171, 127
172, 124
173, 127
174, 123
175, 132
176, 119
177, 117
178, 133
179, 153
180, 143
181, 240
182, 178
183, 137
184, 127
185, 131
186, 132
187, 123
188, 127
189, 126
190, 134
191, 8924
192, 162
193, 131
194, 126
195, 136
196, 128
197, 132
198, 126
199, 128
200, 125
201, 125
202, 134
203, 123
204, 131
205, 132
206, 126
207, 123
208, 130
209, 126
210, 125
211, 127
212, 133
213, 134
214, 124
215, 125
216, 130
217, 140
218, 128
219, 141
220, 133
221, 122
222, 123
223, 125
224, 124
225, 127
226, 126
227, 131
228, 119
229, 124
230, 134
231, 128
232, 123
233, 120
234, 121
235, 132
236, 118
237, 784
238, 334
239, 308
240, 302
241, 297
242, 285
243, 392
244, 293
245, 294
246, 285
247, 278
248, 288
249, 292
250, 304
251, 289
252, 285
253, 284
254, 289
255, 287
256, 380
257, 311
258, 277
259, 283
260, 283
261, 267
262, 293
263, 284
264, 290
265, 281
266, 286
267, 272
268, 320
269, 301
270, 306
271, 281
272, 288
273, 278
274, 285
275, 287
276, 282
277, 262
278, 293
279, 265
280, 287
281, 279
282, 277
283, 296
284, 278
285, 290
286, 281
287, 281
288, 276
289, 280
290, 283
291, 279
292, 263
293, 264
294, 401
295, 316
296, 343
297, 263
298, 258
299, 282
300, 302
301, 281
302, 281
303, 303
304, 286
305, 256
306, 280
307, 264
308, 270
309, 283
310, 271
311, 263
312, 275
313, 272
314, 276
315, 282
316, 284
317, 344
318, 333
319, 676
320, 390
321, 303
322, 363
323, 285
324, 223
325, 136
326, 139
327, 140
328, 145
329, 147
330, 141
331, 136
332, 135
333, 142
334, 136
335, 135
336, 130
337, 134
338, 137
339, 130
340, 130
341, 126
342, 127
343, 128
344, 129
345, 144
346, 125
347, 129
348, 126
349, 130
350, 127
351, 1447
352, 292
353, 338
354, 277
355, 284
356, 280
357, 284
358, 297
359, 306
360, 318
361, 292
362, 280
363, 293
364, 298
365, 274
366, 290
367, 273
368, 288
369, 285
370, 279
371, 295
372, 270
373, 283
374, 257
375, 268
376, 274
377, 263
378, 276
379, 281
380, 281
381, 276
382, 281
383, 296
384, 338
385, 285
386, 287
387, 273
388, 280
389, 311
390, 280
391, 297
392, 277
393, 263
394, 328
395, 284
396, 279
397, 275
398, 338
399, 262
400, 294
401, 284
402, 275
403, 278
404, 273
405, 277
406, 356
407, 280
408, 367
409, 295
410, 281
411, 269
412, 281
413, 293
414, 287
415, 282
416, 275
417, 264
418, 279
419, 285
420, 286
421, 268
422, 262
423, 280
424, 306
425, 286
426, 292
427, 289
428, 278
429, 281
430, 278
431, 286
432, 276
433, 285
434, 255
435, 364
436, 344
437, 285
438, 290
439, 388
440, 271
441, 218
442, 146
443, 134
444, 127
445, 124
446, 128
447, 127
448, 126
449, 125
450, 134
451, 124
452, 128
453, 124
454, 125
455, 124
456, 124
457, 141
458, 126
459, 133
460, 133
461, 133
462, 124
463, 124
464, 125
465, 984
466, 453
467, 435
468, 419
469, 422
470, 377
471, 418
472, 359
473, 293
474, 291
475, 274
476, 287
477, 269
478, 287
479, 280
480, 279
481, 281
482, 310
483, 343
484, 280
485, 280
486, 286
487, 284
488, 317
489, 291
490, 279
491, 298
492, 296
493, 293
494, 293
495, 272
496, 259
497, 272
498, 278
499, 290
500, 298
501, 288
502, 276
503, 279
504, 281
505, 287
506, 289
507, 281
508, 344
509, 274
510, 277
511, 281
512, 290
513, 293
514, 266
515, 273
516, 271
517, 268
518, 276
519, 295
520, 277
521, 261
522, 458
523, 320
524, 291
525, 284
526, 267
527, 276
528, 287
529, 295
530, 271
531, 284
532, 275
533, 272
534, 258
535, 295
536, 285
537, 311
538, 359
539, 272
540, 309
541, 264
542, 266
543, 256
544, 157
545, 121
546, 134
547, 121
548, 123
549, 119
550, 119
551, 123
552, 120
553, 121
554, 121
555, 120
556, 122
557, 120
558, 119
559, 120
560, 121
561, 122
562, 122
563, 121
564, 122
565, 123
566, 121
567, 123
568, 122
569, 121
570, 123
571, 122
572, 121
573, 134
574, 122
575, 120
576, 121
577, 121
578, 121
579, 952
580, 552
581, 432
582, 403
583, 337
584, 301
585, 271
586, 283
587, 292
588, 274
589, 287
590, 283
591, 281
592, 279
593, 304
594, 266
595, 255
596, 292
597, 295
598, 285
599, 289
600, 272
