Löporder, Tid (mikrosekund) 
1, 23832
2, 928
3, 227
4, 191
5, 171
6, 197
7, 180
8, 173
9, 175
10, 168
11, 183
12, 174
13, 162
14, 168
15, 176
16, 216
17, 193
18, 185
19, 174
20, 180
21, 171
22, 168
23, 9240
24, 204
25, 192
26, 181
27, 191
28, 229
29, 185
30, 190
31, 157
32, 168
33, 168
34, 168
35, 170
36, 172
37, 169
38, 162
39, 169
40, 173
41, 170
42, 180
43, 183
44, 178
45, 170
46, 175
47, 168
48, 176
49, 180
50, 172
51, 207
52, 203
53, 166
54, 173
55, 289
56, 180
57, 175
58, 176
59, 162
60, 163
61, 340
62, 167
63, 373
64, 159
65, 181
66, 169
67, 170
68, 175
69, 181
70, 184
71, 182
72, 172
73, 171
74, 170
75, 166
76, 173
77, 176
78, 178
79, 179
80, 172
81, 173
82, 174
83, 174
84, 175
85, 175
86, 177
87, 168
88, 160
89, 163
90, 165
91, 164
92, 160
93, 169
94, 165
95, 166
96, 266
97, 175
98, 178
99, 296
100, 201
101, 176
102, 177
103, 170
104, 157
105, 165
106, 166
107, 165
108, 170
109, 167
110, 171
111, 168
112, 168
113, 167
114, 202
115, 172
116, 163
117, 175
118, 182
119, 171
120, 177
121, 180
122, 181
123, 164
124, 338
125, 188
126, 191
127, 160
128, 166
129, 165
130, 166
131, 170
132, 174
133, 168
134, 171
135, 164
136, 171
137, 170
138, 173
139, 175
140, 168
141, 161
142, 184
143, 167
144, 221
145, 189
146, 187
147, 183
148, 188
149, 173
150, 175
151, 181
152, 164
153, 180
154, 180
155, 173
156, 171
157, 175
158, 163
159, 170
160, 179
161, 174
162, 169
163, 180
164, 163
165, 171
166, 179
167, 167
168, 168
169, 185
170, 164
171, 168
172, 190
173, 166
174, 168
175, 177
176, 161
177, 178
178, 174
179, 166
180, 176
181, 310
182, 189
183, 188
184, 162
185, 162
186, 163
187, 162
188, 162
189, 309
190, 449
191, 391
192, 319
193, 445
194, 301
195, 301
196, 324
197, 308
198, 331
199, 314
200, 291
201, 305
202, 303
203, 415
204, 290
205, 282
206, 332
207, 266
208, 291
209, 326
210, 371
211, 701
212, 296
213, 310
214, 321
215, 277
216, 165
217, 176
218, 182
219, 178
220, 170
221, 163
222, 171
223, 160
224, 173
225, 167
226, 158
227, 160
228, 159
229, 160
230, 160
231, 170
232, 160
233, 160
234, 161
235, 159
236, 159
237, 2408
238, 384
239, 191
240, 176
241, 179
242, 181
243, 224
244, 195
245, 183
246, 178
247, 175
248, 174
249, 178
250, 177
251, 170
252, 182
253, 175
254, 169
255, 174
256, 177
257, 174
258, 177
259, 172
260, 183
261, 178
262, 170
263, 173
264, 169
265, 176
266, 177
267, 171
268, 169
269, 176
270, 173
271, 169
272, 179
273, 167
274, 189
275, 173
276, 182
277, 164
278, 177
279, 170
280, 177
281, 175
282, 169
283, 173
284, 178
285, 172
286, 167
287, 174
288, 178
289, 178
290, 179
291, 168
292, 179
293, 176
294, 314
295, 174
296, 176
297, 166
298, 179
299, 170
300, 163
301, 167
302, 172
303, 177
304, 168
305, 166
306, 170
307, 163
308, 165
309, 164
310, 172
311, 168
312, 161
313, 162
314, 164
315, 172
316, 486
317, 361
318, 353
319, 407
320, 361
321, 360
322, 343
323, 389
324, 368
325, 362
326, 312
327, 192
328, 189
329, 167
330, 177
331, 158
332, 155
333, 164
334, 161
335, 155
336, 154
337, 160
338, 170
339, 156
340, 167
341, 167
342, 153
343, 166
344, 168
345, 152
346, 168
347, 160
348, 151
349, 168
350, 160
351, 2393
352, 493
353, 340
354, 235
355, 194
356, 173
357, 184
358, 157
359, 172
360, 154
361, 163
362, 154
363, 158
364, 161
365, 163
366, 177
367, 162
368, 167
369, 177
370, 158
371, 166
372, 162
373, 176
374, 181
375, 159
376, 169
377, 163
378, 205
379, 157
380, 167
381, 163
382, 169
383, 175
384, 161
385, 176
386, 199
387, 161
388, 173
389, 170
390, 182
391, 159
392, 161
393, 160
394, 162
395, 150
396, 162
397, 164
398, 165
399, 164
400, 160
401, 168
402, 164
403, 158
404, 175
405, 164
406, 161
407, 174
408, 358
409, 211
410, 190
411, 185
412, 169
413, 176
414, 175
415, 180
416, 171
417, 173
418, 163
419, 167
420, 178
421, 164
422, 159
423, 165
424, 161
425, 161
426, 167
427, 166
428, 159
429, 165
430, 161
431, 160
432, 169
433, 165
434, 161
435, 171
436, 161
437, 160
438, 167
439, 167
440, 162
441, 179
442, 161
443, 158
444, 164
445, 165
446, 162
447, 170
448, 164
449, 162
450, 171
451, 165
452, 162
453, 179
454, 164
455, 170
456, 177
457, 167
458, 162
459, 180
460, 171
461, 164
462, 171
463, 167
464, 162
465, 10482
466, 375
467, 199
468, 171
469, 192
470, 178
471, 169
472, 174
473, 170
474, 173
475, 174
476, 169
477, 164
478, 172
479, 174
480, 171
481, 164
482, 170
483, 169
484, 2682
485, 168
486, 166
487, 173
488, 163
489, 203
490, 172
491, 164
492, 160
493, 171
494, 167
495, 166
496, 173
497, 174
498, 165
499, 211
500, 211
501, 183
502, 186
503, 177
504, 170
505, 174
506, 159
507, 160
508, 167
509, 163
510, 169
511, 172
512, 167
513, 162
514, 167
515, 179
516, 168
517, 178
518, 171
519, 184
520, 180
521, 399
522, 185
523, 197
524, 167
525, 176
526, 176
527, 162
528, 161
529, 171
530, 169
531, 173
532, 169
533, 165
534, 167
535, 172
536, 308
537, 387
538, 340
539, 380
540, 390
541, 364
542, 333
543, 347
544, 427
545, 315
546, 383
547, 369
548, 300
549, 189
550, 182
551, 183
552, 184
553, 187
554, 175
555, 171
556, 180
557, 174
558, 170
559, 173
560, 179
561, 168
562, 170
563, 170
564, 174
565, 177
566, 171
567, 169
568, 180
569, 173
570, 175
571, 173
572, 171
573, 170
574, 179
575, 171
576, 183
577, 173
578, 1058
579, 274
580, 205
581, 187
582, 193
583, 193
584, 190
585, 185
586, 188
587, 185
588, 170
589, 167
590, 162
591, 178
592, 170
593, 170
594, 180
595, 169
596, 174
597, 170
598, 170
599, 172
600, 183
