Löporder, Tid (mikrosekund) 
1, 106179193
2, 82821331
3, 62885180
4, 62161999
5, 63626682
6, 67280093
7, 62412727
8, 55339785
9, 62464084
10, 74158087
11, 66617584
12, 44841745
13, 23233201
14, 23679250
15, 23756002
16, 34126431
17, 25696122
18, 24842737
19, 29612478
20, 24686238
21, 23841562
22, 23423153
23, 23289437
24, 23633930
25, 23872181
26, 23531042
27, 23287795
28, 32258528
29, 25175898
30, 23295064
31, 23654038
32, 23704474
33, 23530567
34, 25487010
35, 24618963
36, 24395364
37, 25529524
38, 26866276
39, 24708764
40, 23329131
41, 24495778
42, 37978819
43, 38107414
44, 36881823
45, 41565543
46, 32054290
47, 24481564
48, 51026771
49, 44676531
50, 30678189
51, 22713100
52, 40248889
53, 27739502
54, 23425239
55, 23421115
56, 23352934
57, 32601023
58, 36270429
59, 45079966
60, 43473270
61, 38405472
62, 36261635
63, 33296154
64, 33979897
65, 32534640
66, 33728522
67, 39710957
68, 46542110
69, 47227053
70, 47250468
71, 45129185
72, 48207781
73, 46773032
74, 39418208
75, 36838720
76, 45441925
77, 32779023
78, 23230406
79, 23315521
80, 23861869
81, 23575723
82, 35230536
83, 48376452
84, 41812931
85, 33273974
86, 23740288
87, 23494875
88, 34216565
89, 29634560
90, 30402998
91, 38205066
92, 51580065
93, 43465742
94, 34301164
95, 26863979
96, 30654894
97, 43188407
98, 39039071
99, 37487147
100, 37570882
101, 37668666
102, 34444539
103, 40871138
104, 38280742
105, 43189631
106, 39777171
107, 42950702
108, 49081047
109, 42991009
110, 47929538
111, 44606056
112, 43877295
113, 37060218
114, 39615811
115, 36945944
116, 35336606
117, 35313314
118, 42508559
119, 53619040
120, 46720765
121, 37096031
122, 35864771
123, 34535496
124, 34976787
125, 48446344
126, 54565131
127, 59572304
128, 65606902
129, 39749682
130, 45038044
131, 44044993
132, 59020810
133, 56303348
134, 47676312
135, 53792015
136, 50541785
137, 48364163
138, 49591431
139, 45897643
140, 52907409
141, 38503068
142, 40050288
143, 36388746
144, 45365635
145, 39287492
146, 35266043
147, 40371889
148, 27282133
149, 28352761
150, 30754115
151, 25965694
152, 25129839
153, 25372363
154, 24673027
155, 26477226
156, 40952184
157, 53504140
158, 54214036
159, 31555136
160, 25340884
161, 34102976
162, 29352541
163, 25026963
164, 26193848
165, 34653721
166, 25475322
167, 25831202
168, 42295252
169, 26910047
170, 31318001
171, 58934596
172, 51301539
173, 39206770
174, 35679232
175, 36694413
176, 38478283
177, 35911761
178, 41558058
179, 41249631
180, 39618914
181, 41965220
182, 36052001
183, 49246924
184, 50241875
185, 36931176
186, 37253993
187, 37410791
188, 36936104
189, 38215365
190, 38694601
191, 26193712
192, 35187946
193, 38622584
194, 42478529
195, 33136573
196, 24705798
197, 23592581
198, 26719561
199, 38298102
200, 52799831
201, 31304326
202, 24933907
203, 24090827
204, 28424007
205, 39009203
206, 25219430
207, 24145187
208, 45462046
209, 36658067
210, 41016431
211, 38232328
212, 39258710
213, 39989628
214, 41373618
215, 44706048
216, 55811718
217, 48823173
218, 41246027
219, 40027411
220, 49489904
221, 39187496
222, 38878217
223, 40351393
224, 39698870
225, 39680969
226, 40320751
227, 40484088
228, 44241112
229, 43771710
230, 37864298
231, 36473110
232, 26761337
233, 37931781
234, 30139789
235, 26625674
236, 30436828
237, 42785412
238, 44438413
239, 52943700
240, 35603221
241, 48096940
242, 43844006
243, 41911630
244, 38580992
245, 42248979
246, 38888973
247, 39971304
248, 40877986
249, 40319032
250, 42329072
251, 37809071
252, 36294702
253, 44722978
254, 49431571
255, 52882387
256, 51357657
257, 35731173
258, 36160492
259, 36315937
260, 35262361
261, 24370188
262, 23548763
263, 24269399
264, 23498895
265, 23168331
266, 42265933
267, 37222980
268, 37930571
269, 38013893
270, 25556969
271, 23594482
272, 32669617
273, 27800233
274, 24413579
275, 24504942
276, 23981659
277, 24574641
278, 23490115
279, 26347377
280, 38868821
281, 26895261
282, 23764659
283, 45177030
284, 41517742
285, 46938719
286, 49129917
287, 36274463
288, 36903692
289, 37651633
290, 37513374
291, 43905196
292, 49142839
293, 62967035
294, 61346918
295, 49845392
296, 49781597
297, 50037740
298, 43267879
299, 54327888
300, 47679749
301, 25033735
302, 43933997
303, 56336267
304, 39670987
305, 28977917
306, 24310347
307, 34596085
308, 31500730
309, 28835823
310, 26966019
311, 26455098
312, 25863692
313, 25377401
314, 39478926
315, 32314949
316, 25355461
317, 30077062
318, 43483649
319, 39812776
320, 45305550
321, 42160828
322, 35386729
323, 40558468
324, 49078669
325, 50102920
326, 40963756
327, 38731094
328, 35505302
329, 40917925
330, 34356392
331, 38310333
332, 35270890
333, 34083675
334, 33765850
335, 36537711
336, 34305379
337, 35308909
338, 44917446
339, 41243250
340, 35966487
341, 34757897
342, 26090224
343, 24019835
344, 33751038
345, 27241288
346, 23693424
347, 24545076
348, 23762179
349, 24028973
350, 23218456
351, 23432343
352, 42232616
353, 24710679
354, 23502141
355, 39520579
356, 40810548
357, 37868228
358, 35019668
359, 34566320
360, 34427417
361, 34604370
362, 36232336
363, 37627953
364, 39329287
365, 37341235
366, 36883672
367, 37370777
368, 35060893
369, 36840787
370, 37096915
371, 37530615
372, 42907203
373, 35513561
374, 33999941
375, 42858909
376, 49824076
377, 42122262
378, 24416299
379, 23847416
380, 23997572
381, 33292596
382, 26562504
383, 23684021
384, 23810275
385, 23943433
386, 23691232
387, 23098454
388, 22812694
389, 43459242
390, 26126971
391, 24160236
392, 38871515
393, 37028015
394, 35069130
395, 40935019
396, 50225153
397, 50056123
398, 57106360
399, 47346250
400, 37338575
401, 35816275
402, 33953552
403, 36413041
404, 42536479
405, 37684129
406, 34145677
407, 33465147
408, 36852248
409, 35989081
410, 40066978
411, 44765233
412, 38558397
413, 38827457
414, 34347235
415, 26840200
416, 25254307
417, 36113272
418, 29767613
419, 25097046
420, 26213732
421, 25178068
422, 24894885
423, 24623935
424, 39486007
425, 32833687
426, 35346120
427, 54890895
428, 42539585
429, 43241089
430, 38502371
431, 37954175
432, 38623520
433, 42797861
434, 43715791
435, 43058667
436, 50268822
437, 41555079
438, 37964976
439, 39312734
440, 38031775
441, 44526399
442, 39995377
443, 40337803
444, 38175586
445, 37359446
446, 39718908
447, 26201333
448, 36556519
449, 38929410
450, 35402999
451, 36816003
452, 24319739
453, 23772992
454, 24609058
455, 31734621
456, 43995047
457, 45932350
458, 24023704
459, 23923639
460, 23328515
461, 40530995
462, 26157925
463, 23915323
464, 31311305
465, 35526017
466, 35734044
467, 35089685
468, 36585054
469, 35634081
470, 35509930
471, 34762392
472, 33866338
473, 34351775
474, 35100882
475, 36659838
476, 36802145
477, 39375609
478, 38479736
479, 35972183
480, 34273401
481, 35786443
482, 35698276
483, 34458424
484, 39276283
485, 44071748
486, 38458877
487, 31723629
488, 24463144
489, 23417212
490, 35919152
491, 26720155
492, 25278227
493, 24124133
494, 24299799
495, 24047210
496, 23532056
497, 23584426
498, 45464951
499, 25832735
500, 23964230
501, 35730452
502, 33748402
503, 43994052
504, 33758658
505, 37898541
506, 35743305
507, 34905931
508, 35910496
509, 34805081
510, 34374165
511, 36555018
512, 35772161
513, 38254683
514, 38612248
515, 34398786
516, 35057429
517, 34944545
518, 34352847
519, 33840708
520, 33804206
521, 44829896
522, 36862182
523, 35722749
524, 36371259
525, 25209920
526, 23967992
527, 28007991
528, 28257462
529, 26405721
530, 26621246
531, 23752957
532, 23570088
533, 23496283
534, 23087008
535, 37313790
536, 30505145
537, 23905329
538, 26788344
539, 37208671
540, 47070718
541, 45363015
542, 45608773
543, 54028149
544, 40494820
545, 37605965
546, 35692033
547, 35454456
548, 33271255
549, 34985404
550, 34713953
551, 35333042
552, 35139946
553, 33725371
554, 34260509
555, 33432526
556, 33247574
557, 34253643
558, 37935519
559, 43816283
560, 38031623
561, 31867250
562, 23447177
563, 23192463
564, 25242879
565, 34311036
566, 25302455
567, 23209777
568, 23663423
569, 23514480
570, 27084372
571, 23321204
572, 42974672
573, 27105597
574, 32688072
575, 60115792
576, 53956611
577, 55533504
578, 46269024
579, 46877520
580, 47514668
581, 47171421
582, 50962136
583, 47675538
584, 47276666
585, 44099304
586, 38678718
587, 43101219
588, 48565075
589, 50890369
590, 50386136
591, 50105978
592, 33633760
593, 24168228
594, 28903680
595, 46122830
596, 53869546
597, 46414078
598, 24542067
599, 23930085
600, 36343525
