Löporder, Tid (mikrosekund) 
1, 71294810
2, 54212921
3, 55734474
4, 39263596
5, 36486903
6, 37392884
7, 37259882
8, 36769765
9, 39512781
10, 37769187
11, 37223870
12, 37716894
13, 36541342
14, 37947833
15, 37140461
16, 36777277
17, 37875318
18, 37248031
19, 37508244
20, 37037361
21, 36288816
22, 37345516
23, 37224455
24, 37140023
25, 37624979
26, 36531253
27, 36050212
28, 38300414
29, 38096484
30, 57164592
31, 38556420
32, 37019682
33, 37514183
34, 36855961
35, 37251526
36, 36038035
37, 37837270
38, 44786908
39, 51136252
40, 56160403
41, 60138197
42, 61438678
43, 38758415
44, 39765684
45, 39792245
46, 37123333
47, 50854362
48, 39826847
49, 37361450
50, 36950669
51, 38447800
52, 37791748
53, 38376760
54, 38360262
55, 53187144
56, 39137239
57, 37798196
58, 36685257
59, 39988322
60, 37321869
61, 36681186
62, 37647981
63, 37265366
64, 38393029
65, 37050887
66, 36487465
67, 37425193
68, 37332674
69, 37320638
70, 36251798
71, 36413234
72, 37458779
73, 37486354
74, 37095168
75, 37493574
76, 36092837
77, 37106214
78, 38148666
79, 36313620
80, 37337036
81, 37723183
82, 37665447
83, 38275712
84, 37404068
85, 37223686
86, 36825856
87, 42394288
88, 36689674
89, 37531023
90, 37675413
91, 45606634
92, 47052190
93, 38780206
94, 37097117
95, 37085897
96, 37686174
97, 37036623
98, 45049613
99, 37617081
100, 37489919
101, 37178761
102, 36156500
103, 36386908
104, 37211843
105, 36804447
106, 37751002
107, 36844508
108, 36298050
109, 38495195
110, 37028361
111, 37279090
112, 37920623
113, 36957527
114, 36747091
115, 37297740
116, 37912984
117, 38453965
118, 38163932
119, 37057420
120, 37830475
121, 37440732
122, 36654207
123, 36766167
124, 35971062
125, 38599872
126, 36826422
127, 37669527
128, 37074095
129, 39058657
130, 54446410
131, 37728428
132, 36562920
133, 36446371
134, 36632962
135, 37015975
136, 37436159
137, 36982154
138, 37273779
139, 36369515
140, 36741427
141, 37526910
142, 37295739
143, 37036016
144, 37425073
145, 36712549
146, 36874251
147, 37923744
148, 37071110
149, 44598109
150, 36792017
151, 37973651
152, 36875769
153, 38445958
154, 36894602
155, 36500999
156, 37153634
157, 38407843
158, 36669968
159, 37600300
160, 37377112
161, 38317943
162, 37703954
163, 37527850
164, 36813526
165, 39827772
166, 52493910
167, 51807431
168, 51790306
169, 56874228
170, 41567361
171, 43977202
172, 49190398
173, 39777509
174, 37671959
175, 41419713
176, 36498493
177, 37130979
178, 36859435
179, 45331246
180, 37079924
181, 37376388
182, 36478798
183, 37741626
184, 37606963
185, 36549827
186, 40258272
187, 42910386
188, 37073017
189, 37543236
190, 37520863
191, 36839385
192, 37973781
193, 36683781
194, 37698359
195, 36401156
196, 36053535
197, 36834578
198, 38274646
199, 37863061
200, 47679899
201, 37187767
202, 46740546
203, 44472187
204, 40801213
205, 37162947
206, 36612769
207, 37136295
208, 36723840
209, 37835758
210, 37631868
211, 36570463
212, 36821073
213, 37190116
214, 36871079
215, 36809806
216, 37330298
217, 36967247
218, 37666076
219, 36662563
220, 37307457
221, 36482768
222, 36733548
223, 37366675
224, 36929085
225, 37453506
226, 36626670
227, 37910710
228, 36306940
229, 38702784
230, 37727841
231, 36865739
232, 36967158
233, 37279104
234, 36811396
235, 38508126
236, 37462160
237, 37796941
238, 36492221
239, 40267762
240, 52633556
241, 37371694
242, 37510491
243, 36875008
244, 36883369
245, 36640734
246, 36790895
247, 38033346
248, 36024362
249, 37080630
250, 37220009
251, 44927847
252, 36828405
253, 38163334
254, 36591366
255, 37722621
256, 38050771
257, 37157099
258, 36824233
259, 37237870
260, 37470146
261, 37397307
262, 37276627
263, 37383741
264, 35875210
265, 37943991
266, 37834218
267, 36686303
268, 36553635
269, 38793220
270, 36967940
271, 39120230
272, 36473472
273, 38132909
274, 37156308
275, 38882576
276, 52479615
277, 37992826
278, 36777324
279, 37155392
280, 37077353
281, 37260283
282, 37676973
283, 37559342
284, 36204703
285, 36791044
286, 37356154
287, 37191493
288, 36652130
289, 47281755
290, 41450278
291, 38394380
292, 39715498
293, 39170922
294, 37753448
295, 37841743
296, 47071545
297, 51828976
298, 54700786
299, 51619033
300, 38488162
301, 38523597
302, 49027804
303, 52604923
304, 38478078
305, 41645450
306, 39034222
307, 39235223
308, 36860755
309, 50202028
310, 36833513
311, 51063765
312, 42132362
313, 37483452
314, 37786302
315, 39037147
316, 46856872
317, 40853725
318, 37384207
319, 37132226
320, 37234585
321, 38160757
322, 37280551
323, 37413483
324, 37053696
325, 36678162
326, 38093044
327, 37931782
328, 37112958
329, 36899024
330, 36911264
331, 37696913
332, 37016142
333, 36425600
334, 37451936
335, 37444817
336, 37328200
337, 37346494
338, 38018878
339, 37387080
340, 37251127
341, 37708394
342, 38999048
343, 38556937
344, 39145511
345, 39846573
346, 36926322
347, 37845455
348, 46391865
349, 45911945
350, 37210048
351, 36727979
352, 37730355
353, 37657891
354, 36820312
355, 41693273
356, 37103911
357, 40308642
358, 37333244
359, 37026929
360, 36944480
361, 37451347
362, 36965830
363, 37396398
364, 37783299
365, 36613529
366, 37741814
367, 37292869
368, 38114877
369, 37402517
370, 36538224
371, 36611469
372, 36930658
373, 38133771
374, 36920000
375, 38332466
376, 36820621
377, 36846317
378, 36502372
379, 37413749
380, 37129133
381, 39128737
382, 37276440
383, 37679263
384, 37515578
385, 42665369
386, 49276399
387, 37931352
388, 36681552
389, 38077794
390, 36880399
391, 37501648
392, 37696070
393, 37768097
394, 37894950
395, 37152478
396, 35943160
397, 37477955
