Löporder, Tid (mikrosekund) 
1, 65105296
2, 54295101
3, 46878386
4, 41780324
5, 52705898
6, 42405436
7, 44540783
8, 45907048
9, 42905630
10, 42489761
11, 41329453
12, 42584516
13, 42481045
14, 42345729
15, 42496837
16, 43214660
17, 42882756
18, 43049933
19, 43484209
20, 42075871
21, 44409096
22, 52673816
23, 72629703
24, 62840080
25, 62612879
26, 52305244
27, 43512985
28, 44858551
29, 42755451
30, 42679505
31, 51947692
32, 43276366
33, 42860368
34, 41793819
35, 42447703
36, 42077854
37, 42346417
38, 48949155
39, 42722052
40, 44409954
41, 41607178
42, 43122592
43, 41892937
44, 41848946
45, 42665199
46, 43422470
47, 43909120
48, 42698174
49, 42332715
50, 59179094
51, 42128452
52, 42336974
53, 42918470
54, 43763108
55, 41478661
56, 42057419
57, 41958306
58, 42352186
59, 43034622
60, 44380100
61, 43815479
62, 42606697
63, 43482157
64, 42016580
65, 43621144
66, 48422522
67, 40327960
68, 41399078
69, 41852758
70, 41145556
71, 40963690
72, 40249711
73, 42891670
74, 42426890
75, 41437020
76, 40722606
77, 40153716
78, 41350603
79, 40531544
80, 41750609
81, 41232975
82, 40445237
83, 41659828
84, 40413117
85, 43210801
86, 43535691
87, 43618825
88, 43893783
89, 41549191
90, 48184279
91, 50806961
92, 40799537
93, 39906424
94, 40871077
95, 41122554
96, 41052821
97, 41650514
98, 41003581
99, 42248763
100, 41082514
101, 41549513
102, 41947998
103, 41942168
104, 42226776
105, 41797636
106, 40984013
107, 41212187
108, 40380850
109, 42476161
110, 41494077
111, 41525477
112, 40756604
113, 41515630
114, 40573120
115, 41596732
116, 42359089
117, 42892650
118, 41715960
119, 41207495
120, 42242500
121, 42152276
122, 40625505
123, 41011687
124, 43013385
125, 41336788
126, 41935982
127, 66120465
128, 41615061
129, 40497641
130, 42202269
131, 41791009
132, 42844086
133, 41321617
134, 41925318
135, 40766078
136, 41581566
137, 51392405
138, 58434144
139, 64192363
140, 48817317
141, 46782587
142, 53174505
143, 50833229
144, 42137900
145, 63063525
146, 62605593
147, 53240512
148, 41781461
149, 42435352
150, 40657393
151, 42715590
152, 41319651
153, 44510601
154, 51578981
155, 41913286
156, 41902716
157, 41535247
158, 41552587
