Löporder, Tid (mikrosekund) 
1, 2265
2, 509
3, 418
4, 434
5, 401
6, 390
7, 398
8, 431
9, 398
10, 400
11, 392
12, 399
13, 1604
14, 406
15, 394
16, 400
17, 442
18, 398
19, 402
20, 404
21, 403
22, 397
23, 399
24, 391
25, 399
26, 398
27, 399
28, 388
29, 402
30, 393
31, 399
32, 398
33, 400
34, 388
35, 436
36, 395
37, 422
38, 395
39, 434
40, 387
41, 432
42, 391
43, 426
44, 395
45, 423
46, 390
47, 433
48, 385
49, 428
50, 474
51, 381
52, 400
53, 399
54, 420
55, 410
56, 411
57, 402
58, 405
59, 403
60, 407
61, 401
62, 404
63, 751
64, 412
65, 461
66, 403
67, 407
68, 409
69, 399
70, 393
71, 409
72, 414
73, 415
74, 417
75, 423
76, 413
77, 404
78, 403
79, 404
80, 409
81, 392
82, 396
83, 401
84, 410
85, 403
86, 408
87, 404
88, 408
89, 426
90, 423
91, 392
92, 402
93, 396
94, 383
95, 395
96, 390
97, 389
98, 401
99, 436
100, 434
101, 406
102, 413
103, 409
104, 402
105, 412
106, 389
107, 398
108, 389
109, 399
110, 399
111, 404
112, 391
113, 397
114, 397
115, 404
116, 399
117, 400
118, 397
119, 394
120, 400
121, 400
122, 402
123, 403
124, 652
125, 440
126, 409
127, 437
128, 392
129, 402
130, 407
131, 403
132, 407
133, 404
134, 407
135, 404
136, 442
137, 402
138, 402
139, 444
140, 405
141, 418
142, 411
143, 431
144, 409
145, 413
146, 409
147, 435
148, 407
149, 408
150, 405
151, 439
152, 410
153, 407
154, 406
155, 411
156, 415
157, 414
158, 413
159, 405
160, 403
161, 416
162, 408
163, 407
164, 402
165, 413
166, 406
167, 407
168, 402
169, 417
170, 405
171, 406
172, 415
173, 416
174, 412
175, 405
176, 404
177, 413
178, 411
179, 404
180, 405
181, 641
182, 435
183, 438
184, 401
185, 430
186, 412
187, 402
188, 407
189, 407
190, 432
191, 422
192, 417
193, 414
194, 396
195, 423
196, 403
197, 387
198, 404
199, 423
200, 405
201, 385
202, 409
203, 420
204, 400
205, 405
206, 429
207, 393
208, 387
209, 396
210, 387
211, 409
212, 417
213, 411
214, 444
215, 434
216, 411
217, 409
218, 407
219, 407
220, 439
221, 421
222, 388
223, 414
224, 408
225, 411
226, 443
227, 406
228, 403
229, 411
230, 441
231, 413
232, 401
233, 418
234, 408
235, 416
236, 404
237, 420
238, 623
239, 462
240, 423
241, 395
242, 403
243, 396
244, 404
245, 403
246, 462
247, 406
248, 420
249, 453
250, 455
251, 421
252, 414
253, 399
254, 413
255, 400
256, 411
257, 416
258, 444
259, 404
260, 404
261, 401
262, 406
263, 401
264, 411
265, 416
266, 411
267, 394
268, 422
269, 411
270, 408
271, 427
272, 403
273, 400
274, 401
275, 423
276, 435
277, 408
278, 466
279, 402
280, 415
281, 402
282, 438
283, 406
284, 412
285, 412
286, 409
287, 405
288, 401
289, 432
290, 406
291, 416
292, 413
293, 408
294, 2177
295, 432
296, 423
297, 415
298, 417
299, 441
300, 401
301, 395
302, 387
303, 388
304, 385
305, 376
306, 379
307, 373
308, 382
309, 381
310, 370
311, 399
312, 428
313, 407
314, 402
315, 392
316, 398
317, 397
318, 392
319, 399
320, 411
321, 398
322, 398
323, 390
324, 392
325, 392
326, 395
327, 395
328, 390
329, 401
330, 399
331, 397
332, 401
333, 396
334, 398
335, 391
336, 960
337, 420
338, 398
339, 402
340, 406
341, 403
342, 404
343, 402
344, 411
345, 407
346, 407
347, 407
348, 413
349, 395
350, 413
351, 689
352, 422
353, 419
354, 425
355, 425
356, 416
357, 417
358, 414
359, 415
360, 417
361, 415
362, 411
363, 418
364, 413
365, 452
366, 408
367, 400
368, 402
369, 401
370, 402
371, 400
372, 406
373, 402
374, 402
375, 400
376, 404
377, 401
378, 412
379, 400
380, 402
381, 407
382, 402
383, 395
384, 409
385, 400
386, 403
387, 399
388, 410
389, 399
390, 401
391, 398
392, 404
393, 406
394, 411
395, 406
396, 403
397, 405
398, 412
399, 404
400, 404
401, 404
402, 402
403, 418
404, 407
405, 409
406, 404
407, 409
408, 11014
409, 769
410, 463
411, 432
412, 419
413, 412
414, 453
415, 428
416, 422
417, 423
418, 416
419, 416
420, 420
421, 416
422, 419
423, 411
424, 419
425, 420
426, 412
427, 410
428, 410
429, 410
430, 414
431, 403
432, 404
433, 402
434, 403
435, 409
436, 410
437, 406
438, 409
439, 405
440, 404
441, 405
442, 405
443, 404
444, 404
445, 404
446, 415
447, 411
448, 498
449, 416
450, 472
451, 419
452, 419
453, 419
454, 406
455, 417
456, 416
457, 416
458, 421
459, 413
460, 417
461, 417
462, 440
463, 419
464, 446
465, 2195
466, 1286
467, 1191
468, 1053
469, 430
470, 405
471, 400
472, 402
473, 402
474, 399
475, 400
476, 442
477, 456
478, 409
479, 410
480, 406
481, 415
482, 404
483, 406
484, 409
485, 410
486, 405
487, 406
488, 409
489, 477
490, 413
491, 424
492, 424
493, 521
494, 423
495, 1704
496, 416
497, 403
498, 410
499, 413
500, 410
501, 412
502, 409
503, 408
504, 411
505, 434
506, 420
507, 416
508, 408
509, 404
510, 421
511, 416
512, 414
513, 411
514, 406
515, 419
516, 418
517, 418
518, 416
519, 411
520, 417
521, 794
522, 429
523, 421
524, 418
525, 415
526, 415
527, 417
528, 414
529, 411
530, 413
531, 414
532, 411
533, 409
534, 407
535, 414
536, 407
537, 413
538, 410
539, 409
540, 415
541, 407
542, 408
543, 408
544, 418
545, 413
546, 416
547, 414
548, 407
549, 413
550, 408
551, 409
552, 413
553, 407
554, 411
555, 409
556, 412
557, 407
558, 408
