Löporder, Tid (mikrosekund) 
1, 1990
2, 380
3, 234
4, 231
5, 232
6, 230
7, 235
8, 225
9, 210
10, 207
11, 209
12, 222
13, 210
14, 213
15, 214
16, 213
17, 213
18, 213
19, 235
20, 205
21, 210
22, 211
23, 206
24, 206
25, 208
26, 213
27, 210
28, 207
29, 212
30, 213
31, 211
32, 205
33, 207
34, 206
35, 207
36, 211
37, 210
38, 205
39, 207
40, 206
41, 207
42, 205
43, 211
44, 208
45, 225
46, 203
47, 207
48, 204
49, 207
50, 204
51, 204
52, 202
53, 204
54, 203
55, 202
56, 205
57, 211
58, 204
59, 203
60, 209
61, 202
62, 203
63, 442
64, 334
65, 201
66, 222
67, 211
68, 212
69, 215
70, 205
71, 214
72, 220
73, 215
74, 208
75, 207
76, 218
77, 212
78, 210
79, 204
80, 212
81, 210
82, 206
83, 210
84, 206
85, 205
86, 212
87, 204
88, 204
89, 261
90, 218
91, 219
92, 211
93, 213
94, 203
95, 208
96, 207
97, 206
98, 215
99, 209
100, 215
101, 206
102, 215
103, 206
104, 207
105, 228
106, 210
107, 204
108, 210
109, 204
110, 205
111, 211
112, 204
113, 202
114, 213
115, 210
116, 207
117, 203
118, 206
119, 204
120, 207
121, 204
122, 212
123, 206
124, 383
125, 231
126, 221
127, 218
128, 216
129, 216
130, 216
131, 217
132, 211
133, 214
134, 204
135, 206
136, 206
137, 205
138, 205
139, 232
140, 218
141, 211
142, 216
143, 211
144, 212
145, 204
146, 310
147, 237
148, 211
149, 199
150, 201
151, 199
152, 200
153, 193
154, 202
155, 205
156, 211
157, 201
158, 202
159, 200
160, 200
161, 203
162, 203
163, 203
164, 204
165, 201
166, 200
167, 203
168, 203
169, 200
170, 199
171, 204
172, 202
173, 210
174, 202
175, 200
176, 199
177, 205
178, 203
179, 203
180, 199
181, 337
182, 242
183, 224
184, 221
185, 220
186, 223
187, 221
188, 222
189, 222
190, 220
191, 222
192, 221
193, 220
194, 220
195, 221
196, 225
197, 222
198, 221
199, 220
200, 222
201, 223
202, 220
203, 220
204, 221
205, 223
206, 221
207, 220
208, 220
209, 225
210, 224
211, 221
212, 219
213, 224
214, 224
215, 221
216, 221
217, 255
218, 218
219, 222
220, 217
221, 220
222, 217
223, 221
224, 223
225, 221
226, 219
227, 218
228, 217
229, 212
230, 216
231, 219
232, 219
233, 214
234, 216
235, 218
236, 217
237, 222
238, 369
239, 245
240, 239
241, 237
242, 236
243, 242
244, 237
245, 241
246, 241
247, 238
248, 239
249, 240
250, 243
251, 242
252, 239
253, 242
254, 243
255, 241
256, 238
257, 250
258, 241
259, 239
260, 240
261, 239
262, 237
263, 239
264, 241
265, 228
266, 236
267, 239
268, 232
269, 229
270, 230
271, 233
272, 235
273, 234
274, 235
275, 235
276, 234
277, 231
278, 230
279, 234
280, 234
281, 230
282, 234
283, 236
284, 230
285, 233
286, 236
287, 234
288, 230
289, 228
290, 238
291, 229
292, 237
293, 229
294, 236
295, 378
296, 249
297, 238
298, 240
299, 242
300, 241
301, 240
302, 242
303, 243
304, 240
305, 243
306, 243
307, 241
308, 242
309, 240
310, 242
311, 243
312, 242
313, 245
314, 301
315, 220
316, 260
317, 238
318, 220
319, 215
320, 217
321, 220
322, 221
323, 217
324, 222
325, 217
326, 220
327, 217
328, 220
329, 220
330, 220
331, 220
332, 220
333, 217
334, 217
335, 213
336, 220
337, 220
338, 219
339, 223
340, 216
341, 214
342, 219
343, 219
344, 220
345, 218
346, 218
347, 218
348, 212
349, 218
350, 220
351, 388
352, 248
353, 238
354, 231
355, 236
356, 237
357, 250
358, 228
359, 211
360, 205
361, 203
362, 202
363, 203
364, 208
365, 203
366, 208
367, 209
368, 211
369, 212
370, 207
371, 202
372, 206
373, 206
374, 212
375, 216
376, 214
377, 202
378, 200
379, 201
380, 193
381, 199
382, 199
383, 195
384, 201
385, 201
386, 197
387, 197
388, 266
389, 210
390, 206
391, 204
392, 205
393, 204
394, 203
395, 202
396, 203
397, 204
398, 208
399, 211
400, 211
401, 201
402, 200
403, 200
404, 204
405, 201
406, 205
407, 204
408, 2959
409, 488
410, 293
411, 221
412, 223
413, 219
414, 222
415, 213
416, 215
417, 216
418, 217
419, 218
420, 216
421, 216
422, 209
423, 210
424, 214
425, 208
426, 217
427, 214
428, 209
429, 213
430, 214
431, 214
432, 213
433, 215
434, 213
435, 213
436, 211
437, 215
438, 211
439, 216
440, 216
441, 216
442, 217
443, 219
444, 218
445, 219
446, 218
447, 218
448, 219
449, 218
450, 211
451, 218
452, 214
453, 217
454, 215
455, 218
456, 217
457, 219
458, 218
459, 217
460, 215
461, 220
462, 218
463, 218
464, 213
465, 401
466, 221
467, 209
468, 211
469, 211
470, 215
471, 216
472, 222
473, 205
474, 201
475, 210
476, 209
477, 206
478, 213
479, 213
480, 209
481, 211
482, 206
483, 203
484, 204
485, 206
486, 211
487, 205
488, 293
489, 214
490, 483
491, 229
492, 208
493, 213
494, 208
495, 205
496, 208
497, 204
498, 203
499, 202
500, 203
501, 199
502, 205
503, 200
504, 204
505, 202
506, 203
507, 210
508, 203
509, 205
510, 202
511, 202
512, 202
513, 200
514, 211
515, 210
516, 209
517, 208
518, 207
519, 204
520, 204
521, 198
522, 421
523, 237
524, 225
525, 228
526, 222
527, 263
528, 232
529, 221
530, 216
531, 223
532, 221
533, 221
534, 222
535, 221
536, 220
537, 219
538, 220
539, 220
540, 223
541, 221
542, 220
543, 221
544, 219
545, 222
546, 504
547, 359
548, 236
549, 314
550, 214
551, 209
552, 211
553, 207
554, 214
555, 207
556, 212
557, 206
558, 208
559, 210
560, 207
561, 204
562, 209
563, 213
564, 211
565, 212
566, 207
567, 207
568, 216
569, 239
570, 209
571, 207
572, 209
573, 209
574, 209
575, 205
576, 211
577, 211
578, 210
579, 396
580, 229
581, 219
582, 215
583, 215
584, 219
585, 221
586, 220
587, 223
588, 220
589, 222
590, 222
591, 218
592, 218
593, 218
594, 221
595, 219
596, 219
597, 213
598, 218
599, 225
600, 230
