Löporder, Tid (mikrosekund) 
1, 1971
2, 347
3, 249
4, 205
5, 197
6, 202
7, 206
8, 215
9, 202
10, 201
11, 206
12, 199
13, 203
14, 198
15, 202
16, 211
17, 203
18, 202
19, 203
20, 205
21, 199
22, 206
23, 203
24, 206
25, 202
26, 199
27, 203
28, 205
29, 200
30, 205
31, 200
32, 200
33, 197
34, 200
35, 203
36, 199
37, 206
38, 203
39, 200
40, 203
41, 199
42, 201
43, 201
44, 202
45, 204
46, 213
47, 200
48, 197
49, 200
50, 201
51, 203
52, 199
53, 200
54, 200
55, 281
56, 209
57, 206
58, 213
59, 213
60, 210
61, 210
62, 202
63, 356
64, 207
65, 200
66, 202
67, 197
68, 201
69, 192
70, 214
71, 195
72, 199
73, 192
74, 200
75, 208
76, 195
77, 201
78, 196
79, 199
80, 194
81, 197
82, 192
83, 202
84, 194
85, 198
86, 197
87, 196
88, 197
89, 201
90, 192
91, 195
92, 197
93, 201
94, 197
95, 196
96, 198
97, 205
98, 193
99, 200
100, 197
101, 195
102, 199
103, 195
104, 202
105, 199
106, 197
107, 197
108, 201
109, 197
110, 194
111, 196
112, 196
113, 197
114, 196
115, 199
116, 201
117, 195
118, 197
119, 201
120, 200
121, 189
122, 198
123, 198
124, 279
125, 211
126, 198
127, 197
128, 203
129, 195
130, 194
131, 199
132, 194
133, 199
134, 201
135, 200
136, 199
137, 204
138, 204
139, 198
140, 199
141, 195
142, 201
143, 198
144, 195
145, 196
146, 201
147, 196
148, 197
149, 199
150, 199
151, 203
152, 198
153, 197
154, 200
155, 203
156, 205
157, 199
158, 198
159, 196
160, 201
161, 193
162, 197
163, 198
164, 194
165, 198
166, 198
167, 188
168, 201
169, 198
170, 199
171, 199
172, 196
173, 195
174, 195
175, 193
176, 196
177, 193
178, 194
179, 191
180, 198
181, 274
182, 197
183, 200
184, 193
185, 193
186, 201
187, 199
188, 200
189, 199
190, 199
191, 196
192, 199
193, 201
194, 197
195, 196
196, 196
197, 199
198, 204
199, 194
200, 194
201, 198
202, 197
203, 198
204, 199
205, 198
206, 197
207, 194
208, 200
209, 198
210, 195
211, 198
212, 194
213, 199
214, 202
215, 194
216, 197
217, 189
218, 194
219, 196
220, 194
221, 196
222, 200
223, 200
224, 199
225, 204
226, 199
227, 198
228, 197
229, 193
230, 194
231, 195
232, 196
233, 197
234, 199
235, 194
236, 195
237, 196
238, 272
239, 201
240, 249
241, 202
242, 193
243, 201
244, 198
245, 202
246, 194
247, 194
248, 204
249, 204
250, 192
251, 199
252, 205
253, 203
254, 202
255, 202
256, 202
257, 198
258, 197
259, 203
260, 204
261, 203
262, 202
263, 205
264, 198
265, 200
266, 202
267, 202
268, 203
269, 201
270, 198
271, 211
272, 198
273, 205
274, 198
275, 201
276, 198
277, 200
278, 207
279, 203
280, 202
281, 202
282, 199
283, 200
284, 198
285, 204
286, 201
287, 202
288, 198
289, 200
290, 199
291, 203
292, 202
293, 201
294, 209
295, 277
296, 216
297, 199
298, 200
299, 213
300, 202
301, 204
302, 204
303, 200
304, 201
305, 213
306, 201
307, 217
308, 201
309, 206
310, 202
311, 199
312, 205
313, 205
314, 202
315, 201
316, 211
317, 218
318, 202
319, 202
320, 200
321, 203
322, 200
323, 204
324, 197
325, 198
326, 214
327, 203
328, 213
329, 202
330, 203
331, 204
332, 208
333, 206
334, 200
335, 203
336, 200
337, 200
338, 202
339, 202
340, 202
341, 203
342, 199
343, 205
344, 202
345, 204
346, 202
347, 199
348, 202
349, 205
350, 217
351, 292
352, 224
353, 226
354, 217
355, 221
356, 228
357, 231
358, 222
359, 219
360, 219
361, 230
362, 225
363, 226
364, 223
365, 223
366, 228
367, 227
368, 219
369, 218
370, 220
371, 221
372, 223
373, 219
374, 221
375, 222
376, 217
377, 218
378, 221
379, 229
380, 222
381, 225
382, 222
383, 218
384, 221
385, 220
386, 225
387, 223
388, 224
389, 225
390, 219
391, 225
392, 220
393, 217
394, 225
395, 220
396, 224
397, 224
398, 221
399, 227
400, 218
401, 216
402, 223
403, 221
404, 223
405, 224
406, 221
407, 225
408, 282
409, 226
410, 217
411, 218
412, 222
413, 215
414, 231
415, 219
416, 221
417, 219
418, 224
419, 216
420, 217
421, 226
422, 217
423, 216
424, 220
425, 223
426, 220
427, 218
428, 223
429, 214
430, 224
431, 215
432, 213
433, 216
434, 219
435, 225
436, 221
437, 219
438, 224
439, 223
440, 213
441, 220
442, 219
443, 219
444, 223
445, 221
446, 220
447, 220
448, 221
449, 221
450, 220
451, 218
452, 226
453, 218
454, 215
455, 219
456, 220
457, 216
458, 218
459, 218
460, 218
461, 223
462, 216
463, 218
464, 225
465, 274
466, 227
467, 227
468, 218
469, 226
470, 233
471, 234
472, 218
473, 220
474, 225
475, 217
476, 224
477, 220
478, 224
479, 223
480, 230
481, 222
482, 223
483, 238
484, 220
485, 216
486, 223
487, 242
488, 238
489, 222
490, 218
491, 222
492, 219
493, 223
494, 220
495, 243
496, 230
497, 223
498, 222
499, 221
500, 223
501, 218
502, 219
503, 218
504, 225
505, 219
506, 213
507, 220
508, 217
509, 222
510, 217
511, 224
512, 226
513, 219
514, 222
515, 215
516, 219
517, 225
518, 221
519, 219
520, 223
521, 228
522, 294
523, 230
524, 228
525, 218
526, 223
527, 224
528, 226
529, 224
530, 226
531, 219
532, 225
533, 219
534, 222
535, 222
536, 224
537, 217
538, 218
539, 224
540, 221
541, 220
542, 221
543, 219
544, 219
545, 219
546, 224
547, 225
548, 225
549, 221
550, 219
551, 223
552, 221
553, 218
554, 220
555, 226
556, 220
557, 221
558, 219
559, 218
560, 226
561, 222
562, 220
563, 220
564, 220
565, 224
566, 229
567, 222
568, 223
569, 224
570, 227
571, 223
572, 229
573, 225
574, 220
575, 223
576, 224
577, 223
578, 223
579, 284
580, 232
581, 224
582, 232
583, 227
584, 817
585, 243
586, 227
587, 223
588, 224
589, 232
590, 220
591, 223
592, 225
593, 218
594, 218
595, 223
596, 224
597, 223
598, 216
599, 221
600, 222
