Löporder, Tid (mikrosekund) 
1, 1519
2, 276
3, 245
4, 205
5, 209
6, 206
7, 216
8, 205
9, 214
10, 204
11, 210
12, 211
13, 217
14, 204
15, 206
16, 214
17, 208
18, 213
19, 205
20, 217
21, 211
22, 205
23, 204
24, 207
25, 205
26, 213
27, 213
28, 205
29, 211
30, 209
31, 206
32, 202
33, 217
34, 215
35, 204
36, 204
37, 206
38, 209
39, 203
40, 202
41, 218
42, 208
43, 205
44, 215
45, 219
46, 204
47, 204
48, 207
49, 203
50, 210
51, 204
52, 219
53, 206
54, 205
55, 204
56, 205
57, 279
58, 237
59, 229
60, 222
61, 207
62, 216
63, 614
64, 451
65, 261
66, 271
67, 219
68, 222
69, 221
70, 221
71, 227
72, 222
73, 229
74, 221
75, 219
76, 221
77, 224
78, 224
79, 214
80, 220
81, 217
82, 224
83, 218
84, 217
85, 219
86, 211
87, 204
88, 272
89, 220
90, 204
91, 207
92, 206
93, 203
94, 213
95, 204
96, 204
97, 203
98, 205
99, 216
100, 202
101, 206
102, 207
103, 208
104, 208
105, 220
106, 205
107, 208
108, 201
109, 203
110, 206
111, 207
112, 200
113, 209
114, 207
115, 203
116, 204
117, 207
118, 202
119, 209
120, 201
121, 212
122, 214
123, 205
124, 376
125, 249
126, 249
127, 235
128, 237
129, 237
130, 241
131, 238
132, 234
133, 240
134, 236
135, 249
136, 218
137, 212
138, 220
139, 209
140, 218
141, 208
142, 212
143, 221
144, 211
145, 227
146, 207
147, 211
148, 224
149, 222
150, 210
151, 225
152, 228
153, 234
154, 220
155, 223
156, 218
157, 215
158, 220
159, 217
160, 215
161, 220
162, 210
163, 218
164, 218
165, 216
166, 218
167, 218
168, 227
169, 223
170, 218
171, 218
172, 259
173, 221
174, 221
175, 227
176, 221
177, 223
178, 219
179, 229
180, 218
181, 378
182, 224
183, 228
184, 214
185, 210
186, 212
187, 210
188, 214
189, 207
190, 214
191, 216
192, 211
193, 213
194, 219
195, 221
196, 215
197, 208
198, 221
199, 213
200, 221
201, 211
202, 220
203, 209
204, 207
205, 209
206, 210
207, 209
208, 211
209, 209
210, 211
211, 210
212, 218
213, 210
214, 211
215, 206
216, 209
217, 208
218, 222
219, 216
220, 228
221, 215
222, 219
223, 235
224, 216
225, 222
226, 221
227, 212
228, 210
229, 211
230, 212
231, 220
232, 208
233, 218
234, 213
235, 214
236, 222
237, 211
238, 387
239, 242
240, 237
241, 225
242, 224
243, 238
244, 226
245, 223
246, 231
247, 228
248, 231
249, 231
250, 244
251, 227
252, 227
253, 214
254, 211
255, 214
256, 217
257, 215
258, 212
259, 211
260, 212
261, 216
262, 245
263, 216
264, 225
265, 220
266, 217
267, 218
268, 234
269, 226
270, 219
271, 229
272, 230
273, 221
274, 232
275, 236
276, 230
277, 228
278, 228
279, 224
280, 227
281, 225
282, 227
283, 235
284, 235
285, 229
286, 222
287, 223
288, 232
289, 221
290, 235
291, 231
292, 233
293, 220
294, 231
295, 371
296, 224
297, 215
298, 210
299, 215
300, 207
301, 213
302, 210
303, 208
304, 404
305, 255
306, 253
307, 250
308, 250
309, 247
310, 250
311, 249
312, 252
313, 245
314, 246
315, 250
316, 249
317, 288
318, 233
319, 285
320, 241
321, 219
322, 211
323, 211
324, 210
325, 220
326, 215
327, 210
328, 214
329, 216
330, 214
331, 228
332, 215
333, 216
334, 216
335, 210
336, 218
337, 217
338, 213
339, 217
340, 215
341, 217
342, 216
343, 224
344, 219
345, 213
346, 220
347, 206
348, 220
349, 216
350, 213
351, 790
352, 258
353, 268
354, 246
355, 256
356, 247
357, 251
358, 241
359, 245
360, 241
361, 249
362, 237
363, 243
364, 242
365, 247
366, 247
367, 239
368, 235
369, 238
370, 241
371, 242
372, 252
373, 246
374, 242
375, 243
376, 247
377, 241
378, 244
379, 242
380, 244
381, 239
382, 242
383, 243
384, 245
385, 241
386, 252
387, 243
388, 247
389, 240
390, 241
391, 241
392, 243
393, 249
394, 240
395, 249
396, 244
397, 246
398, 241
399, 242
400, 245
401, 241
402, 246
403, 246
404, 248
405, 242
406, 243
407, 242
408, 2225
409, 257
410, 229
411, 229
412, 232
413, 227
414, 237
415, 234
416, 231
417, 229
418, 233
419, 229
420, 227
421, 230
422, 235
423, 225
424, 234
425, 283
426, 223
427, 224
428, 231
429, 221
430, 253
431, 214
432, 251
433, 222
434, 216
435, 210
436, 217
437, 220
438, 218
439, 218
440, 218
441, 214
442, 226
443, 221
444, 217
445, 219
446, 216
447, 216
448, 219
449, 215
450, 214
451, 222
452, 215
453, 221
454, 217
455, 221
456, 217
457, 224
458, 220
459, 220
460, 217
461, 223
462, 222
463, 220
464, 264
465, 416
466, 245
467, 248
468, 240
469, 242
470, 239
471, 234
472, 233
473, 232
474, 236
475, 240
476, 232
477, 238
478, 237
479, 236
480, 239
481, 240
482, 278
483, 235
484, 231
485, 225
486, 226
487, 225
488, 232
489, 231
490, 226
491, 226
492, 226
493, 229
494, 224
495, 231
496, 225
497, 265
498, 229
499, 233
500, 221
501, 219
502, 217
503, 226
504, 224
505, 228
506, 223
507, 221
508, 226
509, 234
510, 230
511, 226
512, 302
513, 245
514, 233
515, 238
516, 237
517, 236
518, 234
519, 235
520, 263
521, 228
522, 452
523, 269
524, 236
525, 226
526, 228
527, 214
528, 217
529, 221
530, 272
531, 229
532, 229
533, 211
534, 217
535, 214
536, 222
537, 213
538, 221
539, 225
540, 216
541, 221
542, 228
543, 226
544, 230
545, 264
546, 237
547, 230
548, 220
549, 220
550, 220
551, 218
552, 217
553, 220
554, 219
555, 219
556, 217
557, 222
558, 219
559, 221
560, 221
561, 254
562, 243
563, 232
564, 221
565, 224
566, 222
567, 224
568, 222
569, 225
570, 228
571, 222
572, 223
573, 261
574, 278
575, 222
576, 214
577, 209
578, 217
579, 3005
580, 431
581, 288
582, 239
583, 229
584, 224
585, 238
586, 224
587, 226
588, 229
589, 287
590, 235
591, 218
592, 224
593, 224
594, 220
595, 212
596, 224
597, 222
598, 217
599, 214
600, 221
