Löporder, Tid (mikrosekund) 
1, 3118
2, 1189
3, 1048
4, 1035
5, 1051
6, 1033
7, 1019
8, 1028
9, 1029
10, 1024
11, 1028
12, 1027
13, 1035
14, 1016
15, 1032
16, 1022
17, 1027
18, 1029
19, 1025
20, 1026
21, 1045
22, 1032
23, 1027
24, 1022
25, 1032
26, 1689
27, 1045
28, 1063
29, 1027
30, 1040
31, 1031
32, 1070
33, 1033
34, 1038
35, 1035
36, 1021
37, 1027
38, 1031
39, 1036
40, 1033
41, 1035
42, 1031
43, 1023
44, 1039
45, 1047
46, 1034
47, 1654
48, 1090
49, 1055
50, 1058
51, 1064
52, 1063
53, 1059
54, 1054
55, 1076
56, 1135
57, 1066
58, 1048
59, 1063
60, 1055
61, 1060
62, 1062
63, 1069
64, 1049
65, 1102
66, 1091
67, 1101
68, 1094
69, 1103
70, 1091
71, 1076
72, 1098
73, 1096
74, 10013
75, 1054
76, 1051
77, 1070
78, 1050
79, 1048
80, 1044
81, 1049
82, 1071
83, 1076
84, 1059
85, 1049
86, 1055
87, 1050
88, 1059
89, 1081
90, 1055
91, 1057
92, 1059
93, 1067
94, 1060
95, 1060
96, 1086
97, 1063
98, 1064
99, 1070
100, 1051
101, 1068
102, 1061
103, 1082
104, 1060
105, 1049
106, 1065
107, 1072
108, 1061
109, 1065
110, 1053
111, 1753
112, 1098
113, 1045
114, 1058
115, 1056
116, 1051
117, 1050
118, 1068
119, 1069
120, 1050
121, 1043
122, 1062
123, 1047
124, 1050
125, 1048
126, 1050
127, 1065
128, 1046
129, 1066
130, 1053
131, 1061
132, 1069
133, 1061
134, 1093
135, 1055
136, 1052
137, 1062
138, 1056
139, 1052
140, 1082
141, 1080
142, 1084
143, 1090
144, 1097
145, 1095
146, 1097
147, 1105
148, 1084
149, 1081
150, 1085
151, 1085
152, 1085
153, 1085
154, 1643
155, 1095
156, 1103
157, 1095
158, 1060
159, 1053
160, 1448
161, 1081
162, 1059
163, 1069
164, 1075
165, 1054
166, 1066
167, 1053
168, 1076
169, 1053
170, 1048
171, 1063
172, 1047
173, 1090
174, 1050
175, 1771
176, 1065
177, 1065
178, 1054
179, 1053
180, 1049
181, 1046
182, 1049
183, 1051
184, 1068
185, 1061
186, 1054
187, 1068
188, 1056
189, 1053
190, 1050
191, 1062
192, 1054
193, 1063
194, 1051
195, 1055
196, 1053
197, 1054
198, 1081
199, 1062
200, 1060
201, 1048
202, 1060
203, 1059
204, 1060
205, 1092
206, 1069
207, 1055
208, 1065
209, 1051
210, 1052
211, 1061
212, 1056
213, 1069
214, 1116
215, 1083
216, 1054
217, 1065
218, 1063
219, 1061
220, 1066
221, 1043
222, 1054
223, 1048
224, 1057
225, 1050
226, 1055
227, 1048
228, 1065
229, 1057
230, 1059
231, 1048
232, 1063
233, 1053
234, 1048
235, 1050
236, 1070
237, 1061
238, 1060
239, 1652
240, 1067
241, 1071
242, 1053
243, 1052
244, 1056
245, 1052
246, 1066
247, 1070
248, 1071
249, 1054
250, 1072
251, 1058
252, 1068
253, 1055
254, 1063
255, 6015
256, 1220
257, 1106
258, 1087
259, 1097
260, 1094
261, 1086
262, 1083
263, 1086
264, 1085
265, 1136
266, 1066
267, 1065
268, 1060
269, 1045
270, 1065
271, 1046
272, 1048
273, 1061
274, 1054
275, 1053
276, 1061
277, 1052
278, 1062
279, 1053
280, 1056
281, 1059
282, 1701
283, 1060
284, 1052
285, 1049
286, 1053
287, 1056
288, 1043
289, 1061
290, 1059
291, 1049
292, 1054
293, 1060
294, 1054
295, 1050
296, 1051
297, 1061
298, 1058
299, 1059
300, 1075
301, 1059
302, 1055
303, 1676
304, 1074
305, 1058
306, 1067
307, 1055
308, 1063
309, 1051
310, 1058
311, 1066
312, 1057
313, 1060
314, 1075
315, 1084
316, 1217
317, 1104
318, 1085
319, 1140
320, 1088
321, 1077
322, 1077
323, 1090
324, 1087
325, 1091
326, 1082
327, 1116
328, 1069
329, 1097
330, 1086
331, 1067
332, 1059
333, 1058
334, 1066
335, 1046
336, 1050
337, 1060
338, 1065
339, 1051
340, 1057
341, 1050
342, 1071
343, 1070
344, 1051
345, 1060
346, 1064
347, 1044
348, 1062
349, 1067
350, 1053
351, 1049
352, 1068
353, 1046
354, 1070
355, 1063
356, 1058
357, 1059
358, 1063
359, 1065
360, 1051
361, 1055
362, 1064
363, 1063
364, 1048
365, 1061
366, 1054
367, 1685
368, 1126
369, 1082
370, 1055
371, 1062
372, 1058
373, 1091
374, 1064
375, 1074
376, 1046
377, 1070
378, 1061
379, 1055
380, 1086
381, 1054
382, 1041
383, 1026
384, 1028
385, 1041
386, 1042
387, 1025
388, 1028
389, 1075
390, 1073
391, 1060
392, 1074
393, 1063
394, 1056
395, 1067
396, 1061
397, 1064
398, 1060
399, 1061
400, 1061
401, 1065
402, 1070
403, 1061
404, 1058
405, 1066
406, 1057
407, 1069
408, 9940
409, 1056
410, 1471
411, 1024
412, 1037
413, 1049
414, 1036
415, 1019
416, 1033
417, 1025
418, 1033
419, 2241
420, 1088
421, 1085
422, 1057
423, 1056
424, 1049
425, 1112
426, 1064
427, 1065
428, 1061
429, 1061
430, 1050
431, 1799
432, 1055
433, 1053
434, 1067
435, 2924
436, 2419
437, 387
438, 266
439, 204
440, 202
441, 213
442, 200
443, 245
444, 202
445, 208
446, 203
447, 208
448, 202
449, 213
450, 200
451, 208
452, 204
453, 205
454, 209
455, 232
456, 201
457, 206
458, 203
459, 204
460, 204
461, 203
462, 203
463, 211
464, 204
465, 205
466, 202
467, 204
468, 215
469, 203
470, 202
471, 203
472, 204
473, 209
474, 382
475, 211
476, 217
477, 206
478, 206
479, 208
480, 207
481, 208
482, 208
483, 201
484, 205
485, 201
486, 216
487, 205
488, 205
489, 204
490, 10055
491, 224
492, 217
493, 208
494, 212
495, 213
496, 207
497, 219
498, 218
499, 210
500, 210
501, 206
502, 208
503, 210
504, 206
505, 213
506, 212
507, 213
508, 205
509, 211
510, 217
511, 211
512, 212
513, 210
514, 206
515, 208
516, 209
517, 209
518, 207
519, 206
520, 213
521, 212
522, 207
523, 208
524, 207
525, 211
526, 215
527, 208
528, 201
529, 211
530, 1047
531, 293
532, 214
533, 204
534, 199
535, 196
536, 195
537, 199
538, 203
539, 198
540, 202
541, 194
542, 195
543, 197
544, 199
545, 205
546, 198
547, 197
548, 204
549, 199
550, 203
551, 201
552, 193
553, 193
554, 201
555, 195
556, 199
557, 196
558, 203
559, 200
560, 193
561, 196
562, 195
563, 198
564, 205
565, 200
566, 197
567, 197
568, 201
569, 199
570, 203
