Löporder, Tid (mikrosekund) 
1, 34942
2, 2264
3, 1663
4, 1379
5, 8633
6, 1377
7, 1328
8, 1363
9, 1367
10, 1377
11, 1391
12, 1418
13, 8634
14, 1321
15, 1326
16, 1387
17, 1361
18, 1298
19, 1319
20, 1298
21, 1359
22, 1316
23, 1296
24, 1288
25, 1301
26, 1279
27, 1296
28, 1280
29, 1264
30, 1272
31, 1289
32, 1298
33, 1289
34, 1333
35, 1284
36, 1289
37, 1370
38, 1485
39, 1409
40, 1364
41, 1343
42, 1360
43, 1352
44, 1371
45, 1343
46, 1347
47, 1357
48, 1333
49, 1402
50, 1325
51, 1348
52, 1392
53, 1358
54, 1340
55, 1352
56, 2002
57, 1522
58, 1401
59, 3512
60, 1491
61, 1429
62, 1526
63, 1436
64, 1470
65, 1425
66, 1401
67, 1365
68, 1391
69, 3060
70, 1458
71, 1398
72, 1402
73, 1379
74, 1375
75, 1403
76, 1391
77, 1413
78, 1386
79, 8530
80, 1392
81, 1370
82, 1379
83, 1363
84, 1364
85, 1358
86, 1352
87, 1348
88, 1354
89, 1353
90, 1354
91, 1334
92, 1339
93, 1405
94, 1398
95, 1390
96, 1391
97, 1392
98, 1392
99, 1392
100, 1398
101, 1371
102, 1359
103, 1390
104, 1371
105, 1401
106, 1370
107, 1382
108, 1389
109, 1408
110, 1399
111, 1346
112, 7232
113, 1938
114, 1441
115, 1366
116, 1363
117, 1337
118, 1366
119, 1352
120, 1368
121, 1369
122, 8589
123, 1429
124, 1404
125, 1435
126, 1443
127, 1412
128, 2728
129, 1503
130, 1460
131, 1431
132, 1465
133, 1479
134, 1462
135, 1451
136, 1438
137, 5338
138, 8929
139, 1437
140, 1525
141, 1461
142, 1489
143, 1424
144, 1445
145, 1456
146, 1462
147, 1456
148, 1465
149, 1447
150, 1466
151, 1441
152, 8913
153, 1407
154, 1475
155, 1440
156, 1455
157, 1409
158, 1398
159, 1383
160, 1424
161, 1392
162, 1386
163, 7740
164, 2239
165, 1682
166, 1496
167, 1493
168, 9096
169, 1572
170, 1535
171, 1499
172, 1452
173, 1414
174, 1407
175, 1387
176, 1486
177, 1463
178, 1429
179, 13055
180, 650
181, 541
182, 554
183, 530
184, 533
185, 568
186, 533
187, 540
188, 590
189, 564
190, 555
191, 554
192, 560
193, 547
194, 572
195, 561
196, 548
197, 533
198, 579
199, 548
200, 549
201, 547
202, 532
203, 536
204, 531
205, 533
206, 537
207, 524
208, 532
209, 530
210, 670
211, 537
212, 519
213, 514
214, 695
215, 526
216, 520
217, 520
218, 4740
219, 1048
220, 620
221, 562
222, 502
223, 565
224, 546
225, 664
226, 539
227, 533
228, 550
229, 518
230, 524
231, 507
232, 560
233, 528
234, 548
235, 530
236, 523
237, 541
238, 529
239, 522
240, 535
241, 521
242, 582
243, 582
244, 526
245, 517
246, 527
247, 515
248, 569
249, 546
250, 525
251, 519
252, 530
253, 524
254, 526
255, 543
256, 1643
257, 621
258, 574
259, 611
260, 558
261, 555
262, 584
263, 569
264, 556
265, 551
266, 543
267, 550
268, 555
269, 554
270, 543
271, 553
272, 543
273, 541
274, 4769
275, 1140
276, 616
277, 554
278, 544
279, 536
280, 543
281, 539
282, 546
283, 544
284, 565
285, 546
286, 561
287, 561
288, 558
289, 545
290, 572
291, 551
292, 846
293, 621
294, 604
295, 636
296, 665
297, 593
298, 631
299, 567
300, 629
301, 592
302, 594
303, 594
304, 583
305, 601
306, 611
307, 585
308, 587
309, 628
310, 579
311, 621
312, 580
313, 595
314, 608
315, 587
316, 586
317, 615
318, 606
319, 642
320, 612
321, 599
322, 604
323, 596
324, 594
325, 608
326, 595
327, 599
328, 579
329, 611
330, 617
331, 4646
332, 1118
333, 647
334, 606
335, 609
336, 586
337, 583
338, 585
339, 605
340, 612
341, 598
342, 593
343, 590
344, 575
345, 611
346, 594
347, 600
348, 556
349, 584
350, 555
351, 549
352, 543
353, 541
354, 541
355, 548
356, 542
357, 541
358, 531
359, 550
360, 551
361, 542
362, 540
363, 534
364, 545
365, 540
366, 612
367, 550
368, 563
369, 560
370, 553
371, 560
372, 554
373, 568
374, 568
375, 553
376, 574
377, 548
378, 552
379, 550
380, 543
381, 554
382, 554
383, 551
384, 1626
385, 630
386, 578
387, 4646
388, 1128
389, 694
390, 638
391, 614
392, 606
393, 576
394, 726
395, 581
396, 609
397, 604
398, 627
399, 600
400, 587
401, 590
402, 598
403, 610
404, 612
405, 604
406, 609
407, 589
408, 654
409, 599
410, 599
411, 638
412, 588
413, 605
414, 596
415, 603
416, 595
417, 600
418, 597
419, 589
420, 597
421, 606
422, 749
423, 620
424, 586
425, 1058
426, 577
427, 589
428, 593
429, 599
430, 603
431, 645
432, 623
433, 608
434, 581
435, 579
436, 594
437, 582
438, 591
439, 586
440, 594
441, 584
442, 592
443, 590
444, 4457
445, 1263
446, 675
447, 561
448, 592
449, 581
450, 608
451, 567
452, 551
453, 561
454, 569
455, 562
456, 553
457, 562
458, 560
459, 590
460, 573
461, 574
462, 572
463, 564
464, 570
465, 562
466, 551
467, 555
468, 562
469, 553
470, 561
471, 565
472, 555
473, 564
474, 570
475, 544
476, 546
477, 545
478, 548
479, 559
480, 544
481, 549
482, 559
483, 575
484, 558
485, 557
486, 560
487, 556
488, 572
489, 578
490, 553
491, 568
492, 565
493, 562
494, 558
495, 553
496, 562
497, 562
498, 558
499, 562
500, 561
501, 1094
502, 624
503, 647
504, 589
505, 558
506, 589
507, 558
508, 567
509, 549
510, 546
511, 544
512, 21022
513, 844
514, 619
515, 589
516, 578
517, 552
518, 555
519, 563
520, 556
521, 591
522, 555
523, 553
524, 531
525, 544
526, 583
527, 582
528, 552
529, 561
530, 550
531, 567
532, 540
533, 551
534, 545
535, 542
536, 549
537, 599
538, 547
539, 553
540, 559
541, 561
542, 546
543, 548
544, 530
545, 534
546, 555
547, 534
548, 544
549, 535
550, 533
551, 541
552, 538
553, 541
554, 552
555, 538
556, 538
557, 1031
558, 631
559, 578
560, 535
561, 548
562, 539
563, 533
564, 538
565, 549
566, 539
567, 542
568, 569
569, 553
570, 552
571, 562
572, 565
573, 550
574, 562
575, 548
576, 555
577, 541
578, 563
579, 825
580, 562
581, 547
582, 546
583, 579
584, 559
585, 549
586, 583
587, 554
588, 579
589, 586
590, 577
591, 526
592, 551
593, 517
594, 580
595, 524
596, 567
597, 552
598, 537
599, 526
600, 573
