Löporder, Tid (mikrosekund) 
1, 51870
2, 19875
3, 13957
4, 14822
5, 14001
6, 7317
7, 1395
8, 1252
9, 1260
10, 1249
11, 1299
12, 1255
13, 1234
14, 1212
15, 1229
16, 1233
17, 1211
18, 1230
19, 1222
20, 1217
21, 1230
22, 1223
23, 1208
24, 1230
25, 1223
26, 1201
27, 1225
28, 1222
29, 1208
30, 1225
31, 1221
32, 1203
33, 1238
34, 1222
35, 1207
36, 1224
37, 1225
38, 1214
39, 1219
40, 12378
41, 1497
42, 1260
43, 1277
44, 1263
45, 1249
46, 1268
47, 1330
48, 1243
49, 8602
50, 1339
51, 1333
52, 1299
53, 1304
54, 1275
55, 1889
56, 3025
57, 1378
58, 1359
59, 1375
60, 1314
61, 1300
62, 1285
63, 1302
64, 1309
65, 1293
66, 1306
67, 1313
68, 1280
69, 1319
70, 1303
71, 1289
72, 1306
73, 1304
74, 1286
75, 1303
76, 1304
77, 1273
78, 1303
79, 1296
80, 1271
81, 1292
82, 1304
83, 1275
84, 1297
85, 1297
86, 1281
87, 1314
88, 1302
89, 1277
90, 1309
91, 1301
92, 1317
93, 1311
94, 1300
95, 1288
96, 1278
97, 1278
98, 1364
99, 1313
100, 2577
101, 1381
102, 1294
103, 1328
104, 1323
105, 1294
106, 1362
107, 1330
108, 1299
109, 1323
110, 1320
111, 1648
112, 1327
113, 1288
114, 1276
115, 1286
116, 1305
117, 1322
118, 1290
119, 1306
120, 1277
121, 1380
122, 1322
123, 1297
124, 1300
125, 1268
126, 1300
127, 1292
128, 1270
129, 1291
130, 1299
131, 1276
132, 1299
133, 1294
134, 1274
135, 1293
136, 1343
137, 1380
138, 1312
139, 1283
140, 1294
141, 1405
142, 1500
143, 1300
144, 1305
145, 1294
146, 1283
147, 1298
148, 1293
149, 1364
150, 1318
151, 1345
152, 1309
153, 1303
154, 1281
155, 1295
156, 1290
157, 8631
158, 1326
159, 1275
160, 1239
161, 2747
162, 7149
163, 1759
164, 1348
165, 1300
166, 1282
167, 1281
168, 1275
169, 1298
170, 1279
171, 1294
172, 1258
173, 1283
174, 1276
175, 1256
176, 1279
177, 1269
178, 1247
179, 1278
180, 1263
181, 1243
182, 1274
183, 1386
184, 2872
185, 1293
186, 1270
187, 1267
188, 1266
189, 1259
190, 16590
191, 1388
192, 1316
193, 1337
194, 1328
195, 1304
196, 1344
197, 1323
198, 1291
199, 1314
200, 1318
201, 1265
202, 1284
203, 1261
204, 1246
205, 1277
206, 1259
207, 1255
208, 1276
209, 1275
210, 1255
211, 1266
212, 1269
213, 1611
214, 1290
215, 1287
216, 1322
217, 1271
218, 1289
219, 1274
220, 1244
221, 3087
222, 1268
223, 1274
224, 1258
225, 1244
226, 1278
227, 1257
228, 1251
229, 1260
230, 1262
231, 1245
232, 1272
233, 1265
234, 1248
235, 1262
236, 1268
237, 1242
238, 1275
239, 1270
240, 1245
241, 1268
242, 1254
243, 1241
244, 1273
245, 1268
246, 1244
247, 1257
248, 1264
249, 1248
250, 1268
251, 1266
252, 1240
253, 1270
254, 1353
255, 1278
256, 1305
257, 1302
258, 1274
259, 1284
260, 1281
261, 1288
262, 1284
263, 1278
264, 1282
265, 6788
266, 1835
267, 1378
268, 1318
269, 1351
270, 1291
271, 1324
272, 1284
273, 1291
274, 1295
275, 1290
276, 1276
277, 1282
278, 1287
279, 1265
280, 1292
281, 4548
282, 1328
283, 1282
284, 1279
285, 1265
286, 1282
287, 1274
288, 1268
289, 1270
290, 1270
291, 1277
292, 1271
293, 1274
294, 1274
295, 1265
296, 1266
297, 1265
298, 1269
299, 1265
300, 1266
301, 1266
302, 1271
303, 1275
304, 1283
305, 1264
306, 1268
307, 1267
308, 1269
309, 1275
310, 1276
311, 1266
312, 2312
313, 1320
314, 1300
315, 1307
316, 6545
317, 9959
318, 1311
319, 1318
320, 1241
321, 1267
322, 1267
323, 1245
324, 1255
325, 1250
326, 1254
327, 1294
328, 1269
329, 1396
330, 1268
331, 1284
332, 1265
333, 1356
334, 1280
335, 1267
336, 1239
337, 1253
338, 1264
339, 1246
340, 1268
341, 3144
342, 1279
343, 1235
344, 1227
345, 1240
346, 1236
347, 1231
348, 1229
349, 1229
350, 1223
351, 1215
352, 1220
353, 1218
354, 1216
355, 1221
356, 1221
357, 1234
358, 1222
359, 1231
360, 1224
361, 8542
362, 1363
363, 1283
364, 1278
365, 1291
366, 1288
367, 11311
368, 14832
369, 345
370, 243
371, 219
372, 230
373, 229
374, 232
375, 234
376, 222
377, 218
378, 219
379, 217
380, 226
381, 216
382, 222
383, 235
384, 224
385, 222
386, 227
387, 227
388, 222
389, 218
390, 227
391, 229
392, 216
393, 260
394, 231
395, 228
396, 226
397, 226
398, 230
399, 230
400, 219
401, 216
402, 217
403, 217
404, 220
405, 219
406, 227
407, 227
408, 227
409, 225
410, 218
411, 218
412, 229
413, 225
414, 217
415, 218
416, 220
417, 220
418, 217
419, 221
420, 227
421, 226
422, 232
423, 454
424, 242
425, 238
426, 234
427, 235
428, 237
429, 236
430, 229
431, 239
432, 236
433, 236
434, 226
435, 241
436, 238
437, 239
438, 239
439, 229
440, 238
441, 238
442, 236
443, 228
444, 240
445, 228
446, 240
447, 237
448, 237
449, 236
450, 237
451, 234
452, 238
453, 237
454, 227
455, 237
456, 238
457, 228
458, 236
459, 235
460, 226
461, 239
462, 237
463, 241
464, 236
465, 239
466, 238
467, 233
468, 234
469, 226
470, 233
471, 238
472, 279
473, 230
474, 240
475, 219
476, 222
477, 220
478, 227
479, 219
480, 427
481, 244
482, 243
483, 237
484, 237
485, 238
486, 234
487, 236
488, 234
489, 230
490, 272
491, 238
492, 245
493, 242
494, 230
495, 229
496, 230
497, 231
498, 230
499, 218
500, 231
501, 217
502, 225
503, 215
504, 222
505, 217
506, 218
507, 229
508, 227
509, 218
510, 222
511, 219
512, 227
513, 228
514, 219
515, 217
516, 234
517, 226
518, 217
519, 227
520, 230
521, 218
522, 227
523, 219
524, 225
525, 218
526, 228
527, 217
528, 227
529, 219
530, 226
531, 226
532, 218
533, 223
534, 225
535, 216
536, 215
537, 385
538, 244
539, 252
540, 239
541, 230
542, 243
543, 242
544, 243
545, 242
546, 244
547, 254
548, 240
549, 239
550, 240
551, 242
552, 241
553, 239
554, 240
555, 237
556, 238
557, 239
558, 239
559, 239
560, 240
561, 242
562, 241
563, 239
564, 241
565, 240
566, 242
567, 239
568, 242
569, 241
570, 243
571, 240
572, 238
573, 242
574, 239
575, 239
576, 241
577, 239
578, 238
579, 234
580, 238
581, 239
582, 234
583, 237
584, 236
585, 240
586, 235
587, 239
588, 236
589, 237
590, 235
591, 239
592, 236
593, 241
594, 368
595, 249
596, 241
597, 241
598, 243
599, 240
600, 243
