Löporder, Tid (mikrosekund) 
1, 76765
2, 30743
3, 14066
4, 13856
5, 7891
6, 6530
7, 1204
8, 1103
9, 1108
10, 1105
11, 1097
12, 1119
13, 1081
14, 1089
15, 1082
16, 1106
17, 1070
18, 1051
19, 13154
20, 1208
21, 1108
22, 1054
23, 1228
24, 1087
25, 1112
26, 1353
27, 1119
28, 1109
29, 1123
30, 2247
31, 1103
32, 1070
33, 9940
34, 1147
35, 1046
36, 1043
37, 1058
38, 1069
39, 1083
40, 1045
41, 1070
42, 1039
43, 1053
44, 1034
45, 1063
46, 1066
47, 1041
48, 1045
49, 1088
50, 1048
51, 1075
52, 1051
53, 1073
54, 1047
55, 1046
56, 1919
57, 1136
58, 1111
59, 1091
60, 1197
61, 1090
62, 1098
63, 1115
64, 1098
65, 1081
66, 1103
67, 1086
68, 1100
69, 1095
70, 1092
71, 1076
72, 1083
73, 1101
74, 1079
75, 1123
76, 1078
77, 1079
78, 1103
79, 1101
80, 1091
81, 1114
82, 1095
83, 1077
84, 1099
85, 1091
86, 1092
87, 1074
88, 1102
89, 1086
90, 1078
91, 1067
92, 2831
93, 1130
94, 1093
95, 1074
96, 1076
97, 1079
98, 1057
99, 1099
100, 1079
101, 1099
102, 1078
103, 1112
104, 1052
105, 1066
106, 1083
107, 1079
108, 1115
109, 1077
110, 1088
111, 1398
112, 1128
113, 1117
114, 1146
115, 1092
116, 1104
117, 1101
118, 1103
119, 1076
120, 1081
121, 1106
122, 1092
123, 1075
124, 1075
125, 1094
126, 1108
127, 1111
128, 1098
129, 1076
130, 6451
131, 1319
132, 1175
133, 1138
134, 1127
135, 1120
136, 1116
137, 1131
138, 1094
139, 1086
140, 1087
141, 1100
142, 1101
143, 9985
144, 1118
145, 1100
146, 1083
147, 1229
148, 1096
149, 1077
150, 1078
151, 1075
152, 1064
153, 1064
154, 1068
155, 1078
156, 1075
157, 1093
158, 2146
159, 9976
160, 9884
161, 1142
162, 1703
163, 1140
164, 10155
165, 2920
166, 1123
167, 1084
168, 1122
169, 1107
170, 1091
171, 1081
172, 1079
173, 1073
174, 1083
