"","x"
"1",4754459.06355289
"2",4703624.58554175
"3",4805293.54156404
"4",5756226.89021956
"5",5732877.43113772
"6",5287687.78443114
"7",4579229.61077844
"8",4843789.70858283
"9",4551705.1756487
"10",4575875.70259481
"11",4876837.95209581
"12",4593685.53692615
"13",4913379.1257485
"14",4795668.88622755
"15",4669617.71257485
"16",4832751.18762475
"17",4784886.83632735
"18",4841095.18562874
"19",4973047.44710579
"20",4880016.36127745
"21",4521815.18363273
"22",4630259.37924152
"23",4513598.68063872
"24",4896208.6746507
"25",4571633.63872255
"26",5200936.18762475
"27",4764514.67065868
"28",4478326.05788423
"29",4653566.60279441
"30",4850263.52694611
"31",4869461.60678643
"32",4881183.48303393
"33",4997007.90219561
"34",4497181.51696607
"35",4604583.42914172
"36",4500132.93413174
"37",4612842.91217565
"38",4477529.14371257
"39",4619657.6506986
"40",4847695.63073852
"41",4927866.30139721
"42",4529239.34331337
"43",4882631.19361277
"44",4609304.79241517
"45",4638674.68063872
"46",4504164.60279441
"47",4819707.59081836
"48",4443025.33333333
"49",4557237.41117764
"50",5117984.53892216
"51",4627067.27145709
"52",4943523.03592814
"53",5144336.08782435
"54",4955464.71057884
"55",4506219.68263473
"56",4820801.43712575
"57",4598494.12175649
"58",4800155.81037924
"59",5046111.76646707
"60",4684638.31536926
"61",5007154.41516966
"62",4698933.46506986
"63",4843909.55888224
"64",5069918.17365269
"65",4992428.75449102
"66",5149959.35728543
"67",4477307.23952096
"68",5096971.12774451
"69",4427507.12974052
"70",4468513.7744511
"71",4743812.3493014
"72",4600745.22155689
"73",5229623.78842315
"74",4512917.4491018
"75",4644780.61477046
"76",4510163.43113772
"77",4525536.36726547
"78",4563299.79840319
"79",4562433.60878243
"80",4742166.53493014
"81",4999629.74451098
"82",4988240.79041916
"83",4546815.70858283
"84",4582172.52894212
"85",4523362.79840319
"86",4939043.09580838
"87",4784185.27145709
"88",4583522.09381238
"89",4669324.28143713
"90",4500756.91816367
"91",4513632.61277445
"92",5173500.01996008
"93",4440478.63273453
"94",4852060.06586826
"95",4511265.39321357
"96",4888353.4491018
"97",4804135.83433134
"98",4571113.15568862
"99",4440560.72255489
"100",4421813.46307385
"101",4846351.91616766
"102",4881559.35129741
"103",4482520.97205589
