"","x"
"1",13043979.6540833
"2",12990853.7443889
"3",13097105.5637778
"4",14492781.9133333
"5",13514998.8533333
"6",13104723.73
"7",13339831.9833333
"8",12943922.8533333
"9",13078467.8266667
"10",13014704.0016667
"11",13101069.985
"12",12839909.4016667
"13",13126964.12
"14",13135833.8433333
"15",13017981.4966667
"16",12983989.61
"17",13302369.255
"18",13034408.04
"19",13196851.6
"20",13092745.9966667
"21",13109007.3983333
"22",13069158.6883333
"23",13170305.76
"24",13536962.1133333
"25",13206312.2433333
"26",12976220.63
"27",13482833.0233333
"28",13099944.2316667
"29",13084955.4766667
"30",12981540.5816667
"31",13200668.8316667
"32",13199038.9033333
"33",13236462.1883333
"34",12904614.71
"35",13162767.3716667
"36",13654821.1283333
"37",13233278.4333333
"38",13156221.3516667
"39",13274886.555
"40",13199983.3483333
"41",13292703.2016667
"42",12920112.2633333
"43",13350804.735
"44",13201280.645
"45",13718520.3116667
"46",13085644.405
"47",13366127.3
"48",13195440.0383333
"49",13025531.0533333
"50",13234452.88
"51",13224306.03
"52",12837064.2166667
"53",12834930.7066667
"54",12812230.36
"55",13375372.375
"56",12986782.9316667
"57",13182917.2516667
"58",13075592.28
"59",13009366.8133333
"60",13154613.3716667
"61",12972122.4183333
"62",12959219.8133333
"63",12922400.9566667
"64",13110149.585
"65",13385551.9183333
"66",12745668.9516667
"67",12940049.0683333
"68",13024669.945
"69",12979662.4166667
"70",12752501.3283333
"71",12905259.0033333
"72",13029025.7066667
"73",12978695.5666667
"74",12952303.6783333
"75",12848153.5133333
"76",12724670.685
"77",12830017.9433333
"78",12779506.5066667
"79",12960702.8133333
"80",12588598.92
"81",12677423.0433333
"82",13145524.78
"83",12917432.8833333
"84",13001399.6283333
"85",12724560.9833333
"86",12932049.38
"87",12833313.5166667
"88",12798806.6483333
"89",12697579.7166667
"90",12703524.4866667
"91",12937148.2433333
"92",12900445.6516667
"93",12828569.8583333
"94",12692890.225
"95",12842466.6983333
"96",12693354.26
"97",12870651.8233333
"98",12754220.34
"99",12715432.2616667
"100",12874747.4933333
"101",13080397.805
"102",12551569.175
"103",12690195.12
