"","x"
"1",6727138.63087824
"2",6656240.52397812
"3",6798036.73777836
"4",8655701.29540918
"5",8131367.60678643
"6",7284755.10179641
"7",6545624.3493014
"8",6456900.30738523
"9",6942619.30538922
"10",6767157.58283433
"11",7049685.82634731
"12",6630697.10578842
"13",6754899.35728543
"14",6767399.27744511
"15",6643086.66067864
"16",6728776.94610778
"17",6831758.62075848
"18",6463269.11976048
"19",6266439.06387226
"20",6096150.06786427
"21",6728908.25349301
"22",6843155.68662675
"23",6872798.66267465
"24",6636481.57884232
"25",6598774.38922156
"26",7398529.55688623
"27",6602268.03992016
"28",6841176.22954092
"29",6510308.22155689
"30",6255442.89021956
"31",6711384.32135729
"32",7213673.31536926
"33",6557640.43912176
"34",6530839.02794411
"35",6895089.51896208
"36",6920091.34331337
"37",6691513.11776447
"38",6837762.8003992
"39",6811872.45908184
"40",6566285.59481038
"41",7112322.87025948
"42",6531015.23153693
"43",6784974.38922156
"44",6587320.14770459
"45",6805108.7005988
"46",6466910.87225549
"47",6587138.21556886
"48",6708029.05788423
"49",6788489.1237525
"50",7180332.11576846
"51",6681940.40718563
"52",6594844.27145709
"53",6649205.85628743
"54",6743774.9261477
"55",6440374.16566866
"56",6524678.78043912
"57",7570710.3253493
"58",6764215.98203593
"59",6270942.26546906
"60",6893532.20958084
"61",6846544.46307385
"62",6580615.36327345
"63",7087037.67065868
"64",7274911.39121757
"65",6556689.71457086
"66",7163884.30938124
"67",6482884.74650699
"68",6869268.96606786
"69",6698952.84630738
"70",6567538.27944112
"71",6811159.79241517
"72",6667453.49101796
"73",6829349.8502994
"74",6394895.57085828
"75",6420619.58882236
"76",6791142.1257485
"77",6210423.43512974
"78",6223152.24351297
"79",6756451.23353293
"80",6334818.70658683
"81",6705944.85229541
"82",7168144.20359281
"83",6702193.88223553
"84",6450831.4510978
"85",6440317.72255489
"86",6804644.10978044
"87",6520358.67065868
"88",6658806.43113772
"89",6811835.11776447
"90",6507945.78243513
"91",6415155.14371257
"92",6958290.01397206
"93",6505174.54091816
"94",6642754.39321357
"95",6262112.76247505
"96",6600776.53692615
"97",6646018.05588822
"98",6762115.72854291
"99",6357325.28942116
"100",6282360.7744511
"101",6957554.43313373
"102",6890387.7744511
"103",6368878.67265469
