"","x"
"1",122.629783333333
"2",119.556923372709
"3",125.702643293958
"4",103.586666666667
"5",129.423333333333
"6",139.296666666667
"7",111.505
"8",131.566666666667
"9",132.691666666667
"10",133.891666666667
"11",130.946666666667
"12",115.981666666667
"13",118.638333333333
"14",130.971666666667
"15",120.73
"16",104.576666666667
"17",111.823333333333
"18",120.54
"19",114.351666666667
"20",106.493333333333
"21",153.728333333333
"22",121.685
"23",117.32
"24",133.611666666667
"25",129.6
"26",148.971666666667
"27",108.49
"28",120.155
"29",115.555
"30",109.623333333333
"31",103.54
"32",104.893333333333
"33",111.853333333333
"34",104.461666666667
"35",125.661666666667
"36",116.798333333333
"37",105.751666666667
"38",122.95
"39",124.941666666667
"40",117.993333333333
"41",131.163333333333
"42",100.931666666667
"43",113.723333333333
"44",107.711666666667
"45",126.808333333333
"46",137.79
"47",117.506666666667
"48",103.763333333333
"49",137.475
"50",116.786666666667
"51",114.471666666667
"52",206.153333333333
"53",127.676666666667
"54",137.326666666667
"55",106.005
"56",115.178333333333
"57",122.083333333333
"58",137.366666666667
"59",125.218333333333
"60",103.026666666667
"61",112.171666666667
"62",132.313333333333
"63",140.16
"64",114.933333333333
"65",106.221666666667
"66",114.916666666667
"67",121.246666666667
"68",119.16
"69",144.631666666667
"70",156.03
"71",111.158333333333
"72",115.161666666667
"73",112.9
"74",105.601666666667
"75",137.258333333333
"76",103.268333333333
"77",135.145
"78",111.285
"79",131.883333333333
"80",123.071666666667
"81",106.213333333333
"82",121.778333333333
"83",151.92
"84",134.633333333333
"85",109.775
"86",118.495
"87",114.215
"88",127.18
"89",143.791666666667
"90",139.086666666667
"91",119.068333333333
"92",117.996666666667
"93",128.47
"94",115.435
"95",117.508333333333
"96",107.43
"97",121.958333333333
"98",131.121666666667
"99",107.57
"100",132.666666666667
"101",110.011666666667
"102",150.7
"103",144.668333333333
