"","x"
"1",128.230469798658
"2",124.927325393734
"3",131.533614203581
"4",110.55033557047
"5",119.927852348993
"6",132.640939597315
"7",123.36744966443
"8",155.243288590604
"9",140.890939597315
"10",218.629194630872
"11",124.003355704698
"12",146.221476510067
"13",167.80033557047
"14",123.822147651007
"15",110.362416107383
"16",118.813758389262
"17",128.815436241611
"18",119.147651006711
"19",141.204697986577
"20",126.491610738255
"21",140.825503355705
"22",152.109060402685
"23",118.479865771812
"24",145.956375838926
"25",134
"26",126.189597315436
"27",126.88255033557
"28",137.260067114094
"29",120.156040268456
"30",114.246644295302
"31",117.911073825503
"32",112.672818791946
"33",188.968120805369
"34",116.773489932886
"35",124.697986577181
"36",116.239932885906
"37",112.672818791946
"38",126.090604026846
"39",126.048657718121
"40",149.124161073825
"41",123.731543624161
"42",113.238255033557
"43",127.186241610738
"44",119.580536912752
"45",119.172818791946
"46",111.318791946309
"47",112.624161073826
"48",119.651006711409
"49",128.627516778523
"50",120.859060402685
"51",122.927852348993
"52",123.224832214765
"53",128.744966442953
"54",123.434563758389
"55",120.489932885906
"56",178.036912751678
"57",118.374161073826
"58",146.244966442953
"59",127.315436241611
"60",111.931208053691
"61",123.447986577181
"62",114.531879194631
"63",123.78355704698
"64",139.51677852349
"65",129.592281879195
"66",127.221476510067
"67",144.303691275168
"68",131.790268456376
"69",147.481543624161
"70",125.285234899329
"71",121.285234899329
"72",121.471476510067
"73",112.973154362416
"74",138.276845637584
"75",135.409395973154
"76",127.546979865772
"77",139.260067114094
"78",121.520134228188
"79",121.86744966443
"80",107.085570469799
"81",123.744966442953
"82",109.402684563758
"83",112.236577181208
"84",122.458053691275
"85",115.271812080537
"86",118.605704697987
"87",110.647651006711
"88",125.436241610738
"89",113.724832214765
"90",130.129194630872
"91",146.597315436242
"92",127.048657718121
"93",125.218120805369
"94",129.795302013423
"95",126.342281879195
"96",136.974832214765
"97",138.884228187919
"98",119.89932885906
"99",149.822147651007
"100",124.431208053691
"101",123.56711409396
"102",112.859060402685
"103",114.345637583893
