"","x"
"1",113.361316666667
"2",111.189930041887
"3",115.532703291446
"4",128.546666666667
"5",111.976666666667
"6",103.31
"7",100.816666666667
"8",122.858333333333
"9",108.718333333333
"10",105.785
"11",113.385
"12",115.396666666667
"13",101.365
"14",107.65
"15",106.951666666667
"16",106.01
"17",106.705
"18",105.998333333333
"19",120.168333333333
"20",118.325
"21",155.973333333333
"22",112.463333333333
"23",120.211666666667
"24",120.976666666667
"25",106.306666666667
"26",137.811666666667
"27",125.115
"28",138.966666666667
"29",100.441666666667
"30",110.84
"31",138.563333333333
"32",119.03
"33",109.475
"34",112.393333333333
"35",111.156666666667
"36",109.011666666667
"37",109.28
"38",116.12
"39",118.931666666667
"40",105.575
"41",107.611666666667
"42",105.731666666667
"43",100.07
"44",103.16
"45",105.016666666667
"46",98.82
"47",134.665
"48",106.775
"49",130.705
"50",136.095
"51",108.925
"52",142.491666666667
"53",106.615
"54",121.601666666667
"55",99.9083333333333
"56",128.655
"57",103.885
"58",108.586666666667
"59",136.913333333333
"60",100.47
"61",118.781666666667
"62",111.273333333333
"63",121.253333333333
"64",122.835
"65",109.573333333333
"66",107.893333333333
"67",106.398333333333
"68",115.953333333333
"69",113.055
"70",106.81
"71",109.805
"72",107.575
"73",115.82
"74",105.823333333333
"75",107.255
"76",106.126666666667
"77",130.481666666667
"78",108.046666666667
"79",108.226666666667
"80",108.125
"81",130.085
"82",104.54
"83",106.081666666667
"84",118.346666666667
"85",110.468333333333
"86",115.528333333333
"87",108.596666666667
"88",111.04
"89",127.941666666667
"90",110.646666666667
"91",105.861666666667
"92",115.931666666667
"93",110.393333333333
"94",107.768333333333
"95",97.0766666666667
"96",108.515
"97",119.581666666667
"98",97.2466666666667
"99",110.555
"100",102.983333333333
"101",111.685
"102",105.066666666667
"103",109.768333333333
