"","x"
"1",136.964866666667
"2",133.842830684154
"3",140.08690264918
"4",117.92
"5",125.183333333333
"6",127.345
"7",133.413333333333
"8",176.041666666667
"9",131.49
"10",147.245
"11",145.243333333333
"12",133.99
"13",123.206666666667
"14",128.768333333333
"15",131.151666666667
"16",125.155
"17",128.556666666667
"18",125.096666666667
"19",170.601666666667
"20",138.821666666667
"21",158.925
"22",132.095
"23",124.343333333333
"24",152.913333333333
"25",211.063333333333
"26",138.066666666667
"27",145.703333333333
"28",136.25
"29",139.73
"30",126.258333333333
"31",135.775
"32",124.001666666667
"33",143.811666666667
"34",129.303333333333
"35",130.318333333333
"36",140.566666666667
"37",130.851666666667
"38",155.863333333333
"39",145.465
"40",121.205
"41",123.691666666667
"42",147.685
"43",134.013333333333
"44",122.65
"45",126.265
"46",130.763333333333
"47",129.57
"48",139.84
"49",124.395
"50",130.191666666667
"51",147.133333333333
"52",121.17
"53",125.536666666667
"54",126.19
"55",130.788333333333
"56",194.793333333333
"57",121.615
"58",139.115
"59",147.216666666667
"60",125.768333333333
"61",126.88
"62",127.906666666667
"63",137.72
"64",168.108333333333
"65",130.273333333333
"66",154.891666666667
"67",153.665
"68",139.521666666667
"69",132.453333333333
"70",153.008333333333
"71",151.243333333333
"72",140.48
"73",142.813333333333
"74",118.423333333333
"75",123.92
"76",129.316666666667
"77",153.905
"78",122.443333333333
"79",131.208333333333
"80",128.42
"81",135.565
"82",123.788333333333
"83",126.023333333333
"84",128.861666666667
"85",131.21
"86",142.955
"87",127.408333333333
"88",127.885
"89",190.368333333333
"90",142.298333333333
"91",148.62
"92",130.85
"93",133.13
"94",132.205
"95",136.041666666667
"96",150.476666666667
"97",138.32
"98",129.373333333333
"99",127.16
"100",127.756666666667
"101",127.92
"102",125.33
"103",126.206666666667
