"","x"
"1",385.81067114094
"2",292.763973487072
"3",478.857368794807
"4",361.538590604027
"5",303.379194630872
"6",363.939597315436
"7",314.427852348993
"8",385.343959731544
"9",300.637583892617
"10",5053.4110738255
"11",351.164429530201
"12",279.76677852349
"13",422.005033557047
"14",378.006711409396
"15",363.191275167785
"16",320.598993288591
"17",335.728187919463
"18",341.05033557047
"19",407.528523489933
"20",389.848993288591
"21",342.25
"22",321.25
"23",302.125838926174
"24",333.291946308725
"25",289.875838926174
"26",334.151006711409
"27",246.196308724832
"28",350.590604026846
"29",333.713087248322
"30",375.562080536913
"31",364.770134228188
"32",259.456375838926
"33",391.268456375839
"34",361.927852348993
"35",342.161073825503
"36",300.895973154362
"37",294.904362416107
"38",341.041946308725
"39",285.676174496644
"40",360.994966442953
"41",307.13255033557
"42",295.692953020134
"43",356.265100671141
"44",317.424496644295
"45",335.481543624161
"46",347.672818791946
"47",382.545302013423
"48",305.172818791946
"49",303.843959731544
"50",278.052013422819
"51",307.832214765101
"52",453.947986577181
"53",557.010067114094
"54",404.840604026846
"55",294.085570469799
"56",363.036912751678
"57",271.201342281879
"58",449.765100671141
"59",383.572147651007
"60",293.030201342282
"61",344.635906040268
"62",297.122483221477
"63",305.748322147651
"64",272.169463087248
"65",432.154362416107
"66",325.922818791946
"67",322.453020134228
"68",314.860738255034
"69",624.563758389262
"70",312.145973154362
"71",321.142617449664
"72",321.479865771812
"73",306.870805369128
"74",321.597315436242
"75",348.187919463087
"76",313.226510067114
"77",275.615771812081
"78",293.251677852349
"79",329.159395973154
"80",365.021812080537
"81",377.312080536913
"82",335.751677852349
"83",277.840604026846
"84",297.28355704698
"85",284.390939597315
"86",409.348993288591
"87",356.401006711409
"88",287.872483221477
"89",366.097315436242
"90",278.553691275168
"91",344.031879194631
"92",299.124161073826
"93",323.944630872483
"94",352.189597315436
"95",353.535234899329
"96",340.251677852349
"97",357.865771812081
"98",305.991610738255
"99",307.684563758389
"100",310.469798657718
"101",315.895973154362
"102",429.426174496644
"103",311.196308724832
