"","x"
"1",118.426633333333
"2",115.654458179676
"3",121.19880848699
"4",111.678333333333
"5",116.668333333333
"6",125.331666666667
"7",109.003333333333
"8",128.611666666667
"9",105.735
"10",108.486666666667
"11",128.48
"12",106.866666666667
"13",128.408333333333
"14",108.991666666667
"15",124.1
"16",103.245
"17",103.048333333333
"18",127.901666666667
"19",131.62
"20",109.343333333333
"21",178.075
"22",111.03
"23",138.763333333333
"24",122.973333333333
"25",131.705
"26",130.643333333333
"27",133.945
"28",107.983333333333
"29",119.705
"30",120.358333333333
"31",131.14
"32",104.573333333333
"33",113.486666666667
"34",113.425
"35",124.92
"36",105.686666666667
"37",105.78
"38",157.703333333333
"39",118.165
"40",113.183333333333
"41",108.375
"42",108.031666666667
"43",103.353333333333
"44",107.651666666667
"45",113.445
"46",105.091666666667
"47",105.085
"48",137.351666666667
"49",129.248333333333
"50",107.648333333333
"51",109.236666666667
"52",142.156666666667
"53",137.11
"54",123.516666666667
"55",106.106666666667
"56",117.185
"57",110.025
"58",109.17
"59",133.905
"60",105.446666666667
"61",125.998333333333
"62",113.631666666667
"63",119.923333333333
"64",128.408333333333
"65",128.416666666667
"66",108.923333333333
"67",107.49
"68",110.051666666667
"69",112.24
"70",106.518333333333
"71",109.44
"72",103.87
"73",106.821666666667
"74",114.41
"75",122.098333333333
"76",103.061666666667
"77",153.245
"78",121.916666666667
"79",106.535
"80",134.381666666667
"81",135.801666666667
"82",101.426666666667
"83",102.878333333333
"84",107.171666666667
"85",122.25
"86",107.396666666667
"87",112.051666666667
"88",113.605
"89",111.976666666667
"90",131.876666666667
"91",102.865
"92",113.091666666667
"93",135.673333333333
"94",105.711666666667
"95",103.881666666667
"96",122.721666666667
"97",133.49
"98",158.353333333333
"99",118.508333333333
"100",120.101666666667
"101",134.281666666667
"102",106.093333333333
"103",124.168333333333
