"","x"
"1",138.276979865772
"2",134.96488157509
"3",141.589078156454
"4",121.343959731544
"5",131.088926174497
"6",144.609060402685
"7",149.629194630872
"8",208.08389261745
"9",140.218120805369
"10",155.25
"11",162.828859060403
"12",165.610738255034
"13",135.226510067114
"14",125.902684563758
"15",147.008389261745
"16",123.889261744966
"17",138.318791946309
"18",123.048657718121
"19",172.713087248322
"20",138.312080536913
"21",196.098993288591
"22",153.476510067114
"23",169.728187919463
"24",140.813758389262
"25",154.055369127517
"26",138.058724832215
"27",126.427852348993
"28",138.681208053691
"29",126.236577181208
"30",140.348993288591
"31",137.964765100671
"32",134.53355704698
"33",172.988255033557
"34",133.145973154362
"35",134.218120805369
"36",144.520134228188
"37",130.41610738255
"38",119.580536912752
"39",132.964765100671
"40",132.098993288591
"41",142.295302013423
"42",122.055369127517
"43",122.14932885906
"44",126.775167785235
"45",129.035234899329
"46",128.602348993289
"47",129.43288590604
"48",121.847315436242
"49",137.91610738255
"50",134.773489932886
"51",138.085570469799
"52",118.187919463087
"53",125.721476510067
"54",131.219798657718
"55",152.671140939597
"56",179.21644295302
"57",120.223154362416
"58",126.404362416107
"59",149.845637583893
"60",137.444630872483
"61",137.988255033557
"62",147.788590604027
"63",161.332214765101
"64",136.552013422819
"65",127.486577181208
"66",139.218120805369
"67",152.057046979866
"68",123.989932885906
"69",156.181208053691
"70",122.005033557047
"71",129.458053691275
"72",170.179530201342
"73",117.588926174497
"74",135.053691275168
"75",127.590604026846
"76",131.345637583893
"77",154.535234899329
"78",143.213087248322
"79",126.848993288591
"80",122.285234899329
"81",124.417785234899
"82",117.652684563758
"83",123.832214765101
"84",121.463087248322
"85",129.575503355705
"86",118.469798657718
"87",134.785234899329
"88",138.729865771812
"89",129.563758389262
"90",143.322147651007
"91",128.941275167785
"92",130.246644295302
"93",130.981543624161
"94",132.937919463087
"95",130.08389261745
"96",170.01677852349
"97",156.03355704698
"98",121.171140939597
"99",126.134228187919
"100",139.384228187919
"101",148.523489932886
"102",130.380872483221
"103",125.010067114094
