"","x"
"1",23779570.5090563
"2",23565482.5556091
"3",23993658.4625034
"4",27170804.7731397
"5",22852361.0254083
"6",23253656.6025408
"7",23506141.6696915
"8",23693104.6606171
"9",23577504.2068966
"10",23301002.8566243
"11",23293703.7350272
"12",23457202.3756806
"13",24343386.137931
"14",23837558.9546279
"15",23585109.2450091
"16",23666594.1923775
"17",23726776.168784
"18",23728289.2087114
"19",23088395.9473684
"20",23497532.7205082
"21",24076873.2105263
"22",23481104.7313975
"23",23696673.2558984
"24",23551285.4845735
"25",23337070.0526316
"26",23295976.1923775
"27",23894398.0526316
"28",22639359.2250454
"29",23265291.9673321
"30",23592584.2885662
"31",23525965.7132486
"32",23011629.2794918
"33",23337565.5898367
"34",23886206.6805808
"35",23512408.3901996
"36",23852046.7277677
"37",23828106.0344828
"38",23708823.3466425
"39",23661651.1778584
"40",24040093.2413793
"41",23172495.5499093
"42",22910694.8203267
"43",23190629.7586207
"44",23837260.3303085
"45",23112467.0598911
"46",24055698.0834846
"47",23671619.3611615
"48",23463009.8747731
"49",23967122.1705989
"50",23923391.8584392
"51",23808198.5299456
"52",23717417.446461
"53",23797102.3684211
"54",33045906.1343013
"55",23418182.7404719
"56",25239397.4174229
"57",23849001.4555354
"58",24680786.6424682
"59",24853288.2577132
"60",24508487.8838475
"61",23454722.5263158
"62",23556675.7422868
"63",23665804.845735
"64",23517970.0181488
"65",23742284.8747731
"66",23698837.3647913
"67",24323408.4736842
"68",24443622.1633394
"69",23641183.9038113
"70",24185984.137931
"71",24427501.7858439
"72",24247817.7477314
"73",23755496.1179673
"74",23073290.2232305
"75",23791066.1361162
"76",22858921.4555354
"77",24019652.1778584
"78",24038954.1470054
"79",23153947.3411978
"80",23449186.1960073
"81",23813169.1488203
"82",23642885.4192377
"83",24180352.4754991
"84",23412826.8112523
"85",23885783.8021779
"86",24182482.0961887
"87",23716795.0798548
"88",23166147.0471869
"89",24005466.6388385
"90",23529424.6823956
"91",23635858.3938294
"92",23327042.3502722
"93",22499945.5644283
"94",23589092.8384755
"95",23773148.2903811
"96",23593602.2595281
"97",23448870.0635209
"98",23151285.154265
"99",23369378.7041742
"100",23729642.6823956
"101",23408779.1197822
"102",23416152.9782214
"103",23436197.0580762
