Löporder, Tid (mikrosekund) 
1, 63577114
2, 45251878
3, 61886053
4, 43909600
5, 38001917
6, 39813492
7, 35979626
8, 36511011
9, 38854216
10, 36623198
11, 38408558
12, 49082101
13, 51409007
14, 56871769
15, 40215515
16, 35945054
17, 36172679
18, 36205431
19, 35488584
20, 37659366
21, 36738336
22, 35559657
23, 35650543
24, 35714020
25, 35227745
26, 36068148
27, 35692487
28, 49602439
29, 55736474
30, 36354785
31, 37220086
32, 35943291
33, 35865397
34, 36294170
35, 35908926
36, 37300110
37, 36907886
38, 35878735
39, 36928231
40, 36422930
41, 37351533
42, 36078163
43, 35755322
44, 35659401
45, 36453422
46, 34938638
47, 35994014
48, 37601807
49, 36694347
50, 36170272
51, 45772217
52, 50868937
53, 36566177
54, 41541684
55, 39218701
56, 57019696
57, 38469674
58, 47651283
59, 47535213
60, 36458968
61, 36110125
62, 36686907
63, 36037641
64, 36131251
65, 47917962
66, 37840459
67, 37971968
68, 36385711
69, 35713166
70, 36502455
71, 35695555
72, 36050059
73, 36826074
74, 35972439
75, 36014027
76, 36332450
77, 35600094
78, 35669035
79, 36149116
80, 35330484
81, 36708812
82, 36454232
83, 37597548
84, 36661933
85, 35580149
86, 35554940
87, 36128259
88, 37446292
89, 37521344
90, 40474261
91, 50638673
92, 36893201
93, 36157312
94, 36285980
95, 36316150
96, 35575645
97, 36293916
98, 35785246
99, 37745746
100, 36672021
101, 35344111
102, 39956423
103, 36520996
104, 37118104
105, 35849950
106, 35862914
107, 36757585
108, 36361261
109, 35904811
110, 36008567
111, 36202776
112, 35797034
113, 35487765
114, 36679059
115, 38634169
116, 37419414
117, 36698684
118, 35805069
119, 37308348
120, 35967516
121, 35605981
122, 36372863
123, 35151532
124, 36374218
125, 36154949
126, 37554355
127, 37048163
128, 36572916
129, 35693787
130, 57501401
131, 38384171
132, 36985621
133, 35666270
134, 35637124
135, 35909836
136, 35735934
137, 36672746
138, 39247941
139, 40779192
140, 35902512
141, 36666032
142, 36028629
143, 48414606
144, 52963988
145, 60902933
146, 42562059
147, 36167502
148, 35944399
149, 38572461
150, 36119622
151, 36100103
152, 36075637
153, 36902973
154, 35610828
155, 36682421
156, 36710874
157, 35936081
158, 36106164
159, 35718230
160, 37561459
161, 36352677
162, 39107116
163, 37612143
164, 36208334
165, 35429920
166, 58127467
167, 37022575
168, 36814474
169, 36575075
170, 36314544
171, 35896106
172, 36291541
173, 35512289
174, 36107412
175, 36318323
176, 39963324
177, 36091536
178, 37386894
179, 36007010
180, 36081728
181, 35837726
182, 36271808
183, 37102401
184, 46003461
185, 45942995
186, 37076591
187, 39808844
188, 36167810
189, 36128560
190, 36882009
191, 46368970
192, 44385830
