"","x"
"1",44759432.6835667
"2",44378498.7370795
"3",45140366.6300538
"4",43216440.48
"5",45401468.24
"6",45086516.3733333
"7",45101788.6416667
"8",43997518.44
"9",44709744.4366667
"10",44531020.0466667
"11",45742672.0466667
"12",46042485.3133333
"13",40923518.93
"14",44725109.2966667
"15",43960785.005
"16",45275432.5283333
"17",45152435.7616667
"18",43965379.075
"19",45156069.3633333
"20",41865542.305
"21",45107767.5266667
"22",45318129.3283333
"23",45302968.4966667
"24",46141256.375
"25",41707531.4733333
"26",41263289.9133333
"27",45888750.3633333
"28",47277228.51
"29",43244979.8516667
"30",46122713.8316667
"31",45618959.9083333
"32",40496867.2533333
"33",44723177.3583333
"34",45396740.5083333
"35",41240011.2666667
"36",46548624.2483333
"37",45948405.8683333
"38",44833404.9533333
"39",45406571.7183333
"40",40847585.1883333
"41",41371342.8583333
"42",45979743.405
"43",42136636.405
"44",46412147.9933333
"45",45297802.86
"46",46455860.2916667
"47",45583133.4566667
"48",45641042.1033333
"49",44366670.67
"50",45612834.5983333
"51",45895083.2733333
"52",45989052.2616667
"53",46514496.7016667
"54",53634164.6616667
"55",44259243.0466667
"56",45320169.0616667
"57",46766610.4333333
"58",46247126.6033333
"59",45511690.945
"60",47930157.535
"61",45367856.11
"62",45233590.8983333
"63",46449043.72
"64",45731191.4516667
"65",41314316.6633333
"66",45034007.22
"67",46274559.6483333
"68",42853036.3533333
"69",45503417.8333333
"70",46296752.885
"71",46071758.2066667
"72",47111973.1366667
"73",44975100.1116667
"74",45100614.3433333
"75",44839970.0933333
"76",40707762.02
"77",45403132.6866667
"78",43383967.6733333
"79",45056139.36
"80",44909976.645
"81",44293211.4766667
"82",45272897.2866667
"83",43967266.21
"84",45837443.67
"85",40013022.0116667
"86",42663470.3766667
"87",45856134.6116667
"88",40549146.8183333
"89",45757958.635
"90",44668306.2983333
"91",45210251.295
"92",44229415.3883333
"93",44697471.31
"94",45117453.125
"95",40164350.4766667
"96",44771321.6283333
"97",44636010.3916667
"98",46048803.38
"99",45197160.2316667
"100",45120753.5433333
"101",45020040.65
"102",44249383.125
"103",44769929.9666667
