"","x"
"1",320.000383333333
"2",314.044981559548
"3",325.955785107118
"4",370.421666666667
"5",334.368333333333
"6",323.758333333333
"7",346.633333333333
"8",345.991666666667
"9",353.875
"10",305.058333333333
"11",302.123333333333
"12",309.705
"13",326.201666666667
"14",335.336666666667
"15",289.726666666667
"16",281.11
"17",289.821666666667
"18",301.388333333333
"19",354.3
"20",310.683333333333
"21",307.401666666667
"22",317.305
"23",310.326666666667
"24",280.943333333333
"25",327.72
"26",289.51
"27",304.308333333333
"28",340.948333333333
"29",323.21
"30",298.113333333333
"31",315.605
"32",294.685
"33",316.143333333333
"34",312.015
"35",290.49
"36",307.561666666667
"37",326.465
"38",296.523333333333
"39",323.155
"40",312.283333333333
"41",306.418333333333
"42",292.438333333333
"43",322.093333333333
"44",328.178333333333
"45",309.31
"46",355.133333333333
"47",360.153333333333
"48",305.87
"49",306.235
"50",272.025
"51",263.691666666667
"52",321.983333333333
"53",353.288333333333
"54",321.215
"55",326.616666666667
"56",304.615
"57",276.738333333333
"58",345.706666666667
"59",327.596666666667
"60",448.205
"61",317.586666666667
"62",418.803333333333
"63",327.345
"64",337.453333333333
"65",285.445
"66",315.316666666667
"67",298.285
"68",325.833333333333
"69",325.355
"70",331.001666666667
"71",315.613333333333
"72",330.77
"73",298.758333333333
"74",323.195
"75",396.67
"76",297.671666666667
"77",313.87
"78",304.958333333333
"79",325.801666666667
"80",322.565
"81",303.228333333333
"82",312.083333333333
"83",275.456666666667
"84",389.825
"85",280.08
"86",330.618333333333
"87",331.138333333333
"88",396.381666666667
"89",298.436666666667
"90",299.008333333333
"91",318.166666666667
"92",359.061666666667
"93",368.461666666667
"94",328.78
"95",315.498333333333
"96",330.573333333333
"97",313.235
"98",299.226666666667
"99",283.456666666667
"100",313.215
"101",295.766666666667
"102",342.325
"103",280.988333333333
