"","x"
"1",231.82572147651
"2",208.474070140524
"3",255.177372812496
"4",227.743288590604
"5",196.362416107383
"6",203.484899328859
"7",205.290268456376
"8",218.401006711409
"9",198.332214765101
"10",220.323825503356
"11",190.96644295302
"12",211.562080536913
"13",188.308724832215
"14",218.805369127517
"15",191.238255033557
"16",878.545302013423
"17",185.145973154362
"18",218.293624161074
"19",235.768456375839
"20",216.055369127517
"21",211.798657718121
"22",180.55033557047
"23",219.630872483221
"24",202.953020134228
"25",209.176174496644
"26",203.355704697987
"27",279.525167785235
"28",251.330536912752
"29",212.187919463087
"30",196.758389261745
"31",216.513422818792
"32",213.874161073825
"33",250.19966442953
"34",213.912751677852
"35",214.206375838926
"36",213.926174496644
"37",218.348993288591
"38",207.857382550336
"39",201.082214765101
"40",233.271812080537
"41",226.681208053691
"42",185.05033557047
"43",217.677852348993
"44",206.959731543624
"45",244.917785234899
"46",215.595637583893
"47",228.135906040268
"48",203.006711409396
"49",284.521812080537
"50",1162.52852348993
"51",204.23322147651
"52",194.105704697987
"53",192.093959731544
"54",209.968120805369
"55",198.530201342282
"56",234.570469798658
"57",181.312080536913
"58",193.058724832215
"59",183.479865771812
"60",199.394295302013
"61",219.562080536913
"62",199.523489932886
"63",199.812080536913
"64",230.645973154362
"65",182.258389261745
"66",220.998322147651
"67",185.444630872483
"68",217.860738255034
"69",195.01677852349
"70",214.654362416107
"71",205.486577181208
"72",195.352348993289
"73",221.152684563758
"74",211.238255033557
"75",229.56711409396
"76",202.211409395973
"77",200.719798657718
"78",202.036912751678
"79",190.520134228188
"80",269.285234899329
"81",216.204697986577
"82",207.211409395973
"83",187.33389261745
"84",201.020134228188
"85",214.265100671141
"86",226.781879194631
"87",238.557046979866
"88",215.521812080537
"89",199.127516778523
"90",235.35067114094
"91",242.647651006711
"92",206.894295302013
"93",210.407718120805
"94",197.152684563758
"95",243.043624161074
"96",204.947986577181
"97",222.991610738255
"98",451.293624161074
"99",210.263422818792
"100",239.088926174497
"101",221.021812080537
"102",250.053691275168
"103",227.134228187919
