"","x"
"1",441.768875838926
"2",387.762550804678
"3",495.775200873174
"4",579.223154362416
"5",250.291946308725
"6",279.238255033557
"7",1091.74832214765
"8",695.521812080537
"9",437.627516778523
"10",867.102348993289
"11",249.093959731544
"12",200.541946308725
"13",845.343959731544
"14",253.434563758389
"15",236.654362416107
"16",747.588926174497
"17",347.491610738255
"18",284.010067114094
"19",580.776845637584
"20",1050.60402684564
"21",201.437919463087
"22",543.56711409396
"23",241.380872483221
"24",366.320469798658
"25",226.852348993289
"26",219.104026845638
"27",232.043624161074
"28",791.181208053691
"29",273.674496644295
"30",910.630872483221
"31",624.964765100671
"32",644.39932885906
"33",895.860738255034
"34",213.991610738255
"35",236.686241610738
"36",1054.10234899329
"37",223.038590604027
"38",213.31711409396
"39",841.513422818792
"40",303.194630872483
"41",678.307046979866
"42",322.919463087248
"43",388.941275167785
"44",223.751677852349
"45",929.384228187919
"46",226.063758389262
"47",276.605704697987
"48",478.530201342282
"49",607.652684563758
"50",805.661073825503
"51",238.711409395973
"52",241.687919463087
"53",219.947986577181
"54",498.515100671141
"55",421.912751677852
"56",202.493288590604
"57",656.043624161074
"58",237.164429530201
"59",1121.69295302013
"60",236.404362416107
"61",207.063758389262
"62",276.555369127517
"63",230.337248322148
"64",448.684563758389
"65",253.05033557047
"66",1088.68288590604
"67",224.515100671141
"68",219.855704697987
"69",735.39932885906
"70",262.11744966443
"71",208.395973154362
"72",300.890939597315
"73",604.323825503356
"74",237.063758389262
"75",355.644295302013
"76",244.018456375839
"77",274.273489932886
"78",551.587248322148
"79",230.69966442953
"80",231.598993288591
"81",217.112416107383
"82",253.19966442953
"83",1083.42953020134
"84",578.802013422819
"85",216.246644295302
"86",273.830536912752
"87",233.947986577181
"88",297.313758389262
"89",248.192953020134
"90",296.674496644295
"91",302.169463087248
"92",214.474832214765
"93",210.471476510067
"94",225.338926174497
"95",921.251677852349
"96",228.765100671141
"97",618.795302013423
"98",389.028523489933
"99",959.93288590604
"100",257.780201342282
"101",873.417785234899
"102",614.082214765101
"103",211.924496644295
