"","x"
"1",414.820983333333
"2",406.937627598076
"3",422.704339068591
"4",404.003333333333
"5",411.976666666667
"6",426.845
"7",428.886666666667
"8",423.983333333333
"9",416.313333333333
"10",397.991666666667
"11",423.063333333333
"12",419.723333333333
"13",430.548333333333
"14",423.085
"15",412.841666666667
"16",438.451666666667
"17",407.496666666667
"18",435.48
"19",408.42
"20",437.66
"21",467.571666666667
"22",450.338333333333
"23",323.863333333333
"24",441.34
"25",369.721666666667
"26",427.988333333333
"27",433.563333333333
"28",467.748333333333
"29",427.013333333333
"30",307.188333333333
"31",342.611666666667
"32",436.298333333333
"33",393.446666666667
"34",426.953333333333
"35",393.138333333333
"36",405.16
"37",434.461666666667
"38",428.765
"39",414.573333333333
"40",424.04
"41",321.445
"42",336.491666666667
"43",426.19
"44",450.77
"45",435.766666666667
"46",435.395
"47",442.04
"48",320.701666666667
"49",400.606666666667
"50",414.931666666667
"51",421.288333333333
"52",407.301666666667
"53",425.651666666667
"54",453.85
"55",467.465
"56",444.801666666667
"57",427.295
"58",412.615
"59",390.945
"60",450.823333333333
"61",486.46
"62",431.53
"63",430.385
"64",338.336666666667
"65",439.805
"66",318.415
"67",420.783333333333
"68",409.47
"69",493.245
"70",452.91
"71",415.528333333333
"72",412.58
"73",321.596666666667
"74",384.731666666667
"75",370.005
"76",416.888333333333
"77",406.191666666667
"78",414.16
"79",353.878333333333
"80",410.966666666667
"81",446.028333333333
"82",441.131666666667
"83",381.478333333333
"84",414.463333333333
"85",502.653333333333
"86",532.761666666667
"87",475.75
"88",339.305
"89",406.315
"90",410.841666666667
"91",432.413333333333
"92",412.621666666667
"93",448.868333333333
"94",423.406666666667
"95",419.07
"96",437.115
"97",419.411666666667
"98",386.546666666667
"99",403.95
"100",358.726666666667
"101",398.831666666667
"102",393.16
"103",420.451666666667
