"","x"
"1",367.147869127517
"2",313.154874811377
"3",421.140863443656
"4",196.937919463087
"5",205.906040268456
"6",217.224832214765
"7",786.877516778523
"8",872.758389261745
"9",219.144295302013
"10",852.56711409396
"11",907.630872483221
"12",249.909395973154
"13",172.634228187919
"14",203.062080536913
"15",631.437919463087
"16",991.045302013423
"17",217.295302013423
"18",191.518456375839
"19",1026.89261744966
"20",720.370805369128
"21",196.805369127517
"22",185.986577181208
"23",213.313758389262
"24",179.397651006711
"25",180.991610738255
"26",199.912751677852
"27",216.969798657718
"28",931.451342281879
"29",199.026845637584
"30",253.585570469799
"31",183.335570469799
"32",192.560402684564
"33",186.406040268456
"34",197.719798657718
"35",189.607382550336
"36",1033.62583892617
"37",204.548657718121
"38",182.494966442953
"39",218.536912751678
"40",219.592281879195
"41",741.087248322148
"42",426.421140939597
"43",204.755033557047
"44",207.508389261745
"45",187.946308724832
"46",176.058724832215
"47",192.189597315436
"48",205.33389261745
"49",962.520134228188
"50",1080.38087248322
"51",191.810402684564
"52",182.090604026846
"53",236.068791946309
"54",202.119127516779
"55",186.538590604027
"56",196.689597315436
"57",384.057046979866
"58",655.473154362416
"59",206.902684563758
"60",191.151006711409
"61",373.563758389262
"62",195.092281879195
"63",597.005033557047
"64",978.553691275168
"65",193.39932885906
"66",572.145973154362
"67",567.741610738255
"68",182.654362416107
"69",180.325503355705
"70",596.577181208054
"71",198.25
"72",214.919463087248
"73",841.684563758389
"74",513.446308724832
"75",208.323825503356
"76",699.926174496644
"77",189.05033557047
"78",482.647651006711
"79",178.947986577181
"80",205.169463087248
"81",178.852348993289
"82",192.696308724832
"83",193.218120805369
"84",713.352348993289
"85",221.541946308725
"86",233.085570469799
"87",184.171140939597
"88",199.151006711409
"89",195.989932885906
"90",190.065436241611
"91",181.402684563758
"92",613.369127516779
"93",193.474832214765
"94",166.06711409396
"95",208.167785234899
"96",185.176174496644
"97",178.946308724832
"98",1083.76342281879
"99",511.852348993289
"100",190.343959731544
"101",562.69966442953
"102",540.51677852349
"103",181.273489932886
