"","x"
"1",743.994899328859
"2",730.015867725153
"3",757.973930932565
"4",871.753355704698
"5",787.612416107383
"6",775.359060402685
"7",745.085570469799
"8",657.276845637584
"9",795.58389261745
"10",799.981543624161
"11",818.56711409396
"12",734.043624161074
"13",704.669463087248
"14",843.238255033557
"15",856.696308724832
"16",598.290268456376
"17",689.64932885906
"18",759.901006711409
"19",752.5
"20",660.630872483221
"21",870.625838926175
"22",764.981543624161
"23",737.112416107383
"24",732.979865771812
"25",617.672818791946
"26",595.889261744966
"27",647.56711409396
"28",825.360738255034
"29",810.768456375839
"30",706.043624161074
"31",737.338926174497
"32",743.515100671141
"33",805.177852348993
"34",750.922818791946
"35",627.437919463087
"36",783.446308724832
"37",744.196308724832
"38",606.005033557047
"39",796.453020134228
"40",757.775167785235
"41",629.593959731544
"42",763.890939597315
"43",682.327181208054
"44",713.171140939597
"45",801.775167785235
"46",733.444630872483
"47",810.557046979866
"48",684.593959731544
"49",844.484899328859
"50",748.206375838926
"51",729.397651006711
"52",638.122483221477
"53",791.406040268456
"54",639.689597315436
"55",804.204697986577
"56",653.065436241611
"57",667.406040268456
"58",658.956375838926
"59",969.93288590604
"60",821.60067114094
"61",804.612416107383
"62",741.060402684564
"63",746.045302013423
"64",755.139261744966
"65",630.907718120805
"66",696.043624161074
"67",707.008389261745
"68",627.411073825503
"69",712.085570469799
"70",823.724832214765
"71",771.890939597315
"72",674.244966442953
"73",733.276845637584
"74",774.375838926175
"75",733.83389261745
"76",775.889261744966
"77",804.518456375839
"78",774.697986577181
"79",754.129194630872
"80",749.907718120805
"81",791.404362416107
"82",768.137583892617
"83",679.38255033557
"84",769.765100671141
"85",615.560402684564
"86",771.895973154362
"87",788.956375838926
"88",743.931208053691
"89",723.401006711409
"90",760.808724832215
"91",791.592281879195
"92",766.840604026846
"93",767.526845637584
"94",741.417785234899
"95",696.885906040268
"96",644.488255033557
"97",776.203020134228
"98",751.598993288591
"99",767.412751677852
"100",705.275167785235
"101",712.390939597315
"102",930.830536912752
"103",845.043624161074
