"","x"
"1",1004.84830536913
"2",969.360443622141
"3",1040.33616711611
"4",1212.45637583893
"5",849.503355704698
"6",902.328859060403
"7",1263.5855704698
"8",1176.04194630872
"9",1140.1677852349
"10",1179.89429530201
"11",1258.54026845638
"12",858.909395973154
"13",931.293624161074
"14",846.864093959732
"15",1157.7533557047
"16",1121.45134228188
"17",1190.47483221477
"18",800.786912751678
"19",1153.01510067114
"20",1178.08389261745
"21",906.744966442953
"22",1325.69127516779
"23",969.768456375839
"24",1113.84731543624
"25",877.827181208054
"26",806.937919463087
"27",811.174496644295
"28",1187.73657718121
"29",1306.46979865772
"30",816.184563758389
"31",863.942953020134
"32",1010.79697986577
"33",762.145973154362
"34",875.86744966443
"35",854.664429530201
"36",1164.4932885906
"37",725.340604026846
"38",822.672818791946
"39",1019.09731543624
"40",643.14932885906
"41",1157.11744966443
"42",1223.58389261745
"43",810.912751677852
"44",740.139261744966
"45",800.328859060403
"46",804.291946308725
"47",831.348993288591
"48",1145.24496644295
"49",1301.36577181208
"50",1165.49832214765
"51",855.372483221477
"52",816.780201342282
"53",920.860738255034
"54",728.671140939597
"55",1137.30536912752
"56",773.880872483221
"57",1230.18456375839
"58",1170.92785234899
"59",883.929530201342
"60",853.973154362416
"61",1224.68288590604
"62",1056.36241610738
"63",1245.47483221477
"64",1104.66610738255
"65",805.221476510067
"66",1251.45973154362
"67",1060.47147651007
"68",1203.5
"69",1057.55536912752
"70",1172.20134228188
"71",1172.76174496644
"72",1100.63590604027
"73",1260.10738255034
"74",1059.40268456376
"75",919.134228187919
"76",1168.28187919463
"77",846.640939597315
"78",1140.60067114094
"79",832.451342281879
"80",925.204697986577
"81",894.162751677852
"82",1013.06879194631
"83",1196.10738255034
"84",1176.05704697987
"85",1091.02013422819
"86",838.981543624161
"87",615.548657718121
"88",766.813758389262
"89",886.453020134228
"90",937.243288590604
"91",777.498322147651
"92",1224.2533557047
"93",878.543624161074
"94",853.93288590604
"95",855.276845637584
"96",876.830536912752
"97",1108.88255033557
"98",1208.31375838926
"99",1181.89765100671
"100",855.493288590604
"101",1205.43959731544
"102",1157.39765100671
"103",841.374161073825
