"","x"
"1",1113.80905245347
"2",1090.74068286842
"3",1136.87742203852
"4",1175.83756345178
"5",1135.00676818951
"6",1133.04568527919
"7",1162.20812182741
"8",1157.54991539763
"9",1143.2758037225
"10",1083.89170896785
"11",1073.16243654822
"12",1159.58544839256
"13",1071.09644670051
"14",1227.00846023689
"15",1194.28595600677
"16",1178.93739424704
"17",1125.53976311337
"18",1096.05583756345
"19",1082.51099830795
"20",1076.77495769882
"21",1089.78510998308
"22",1057.77157360406
"23",1092.60236886633
"24",1117.03214890017
"25",1089.56852791878
"26",1195.77664974619
"27",1140.36209813875
"28",1039.91370558376
"29",1115.43824027073
"30",1104.07783417936
"31",1141.67343485618
"32",1147.34686971235
"33",1056.54653130288
"34",1086.08460236887
"35",1138.15397631134
"36",1077.83248730964
"37",1051.10998307953
"38",1129.64467005076
"39",1034.23181049069
"40",1129.0524534687
"41",1161.24873096447
"42",408.169204737733
"43",1122.16074450085
"44",1154.79526226734
"45",1081.31302876481
"46",1230.4027072758
"47",1188.09306260575
"48",1178.42470389171
"49",1160.48730964467
"50",1127.96446700508
"51",1156.06768189509
"52",1134.26226734349
"53",1122.37055837563
"54",1069.7461928934
"55",1163.46700507614
"56",1138.86463620981
"57",1116.90693739425
"58",1133.43485617597
"59",1111.42808798646
"60",1185.38240270728
"61",1129.82402707276
"62",333.703891708968
"63",1184.4703891709
"64",1102.02876480541
"65",1109.95939086294
"66",1106.81049069374
"67",1169.68020304569
"68",1083.59898477157
"69",1009.65989847716
"70",1107.13874788494
"71",1112.66328257191
"72",1327.10152284264
"73",1129.1116751269
"74",1157.04737732657
"75",1147.65820642978
"76",1129.75803722504
"77",1126.42131979695
"78",1040.45685279188
"79",1127.7614213198
"80",1126.21996615905
"81",1089.45685279188
"82",1208.76988155668
"83",1038.10152284264
"84",1121.90524534687
"85",1141.04230118443
"86",1163.69543147208
"87",1248.49746192893
"88",1167.90862944162
"89",1143.2165820643
"90",1101.820642978
"91",1161.71742808799
"92",1215.15905245347
"93",1102.75634517767
"94",1123.30964467005
"95",1119.85279187817
"96",1101.08291032149
"97",1074.87817258883
"98",1106.70219966159
"99",1169.93570219966
"100",1195.45346869712
"101",1136.92893401015
"102",1088.4551607445
"103",1144.41624365482
